miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	52403	7888.471824	N
hsa-let-7a-2	52400	7888.020220	Y
hsa-let-7a-3	52945	7970.061652	N
hsa-let-7b	53486	8051.500944	N
hsa-let-7c	5120	770.737854	Y
hsa-let-7d	7210	1085.355454	N
hsa-let-7e	14414	2169.807699	N
hsa-let-7f-1	24109	3629.241975	N
hsa-let-7f-2	24925	3752.078320	N
hsa-let-7g	4618	695.169416	N
hsa-let-7i	3547	533.946712	N
hsa-mir-100	22454	3380.106985	Y
hsa-mir-101-1	46099	6939.500842	N
hsa-mir-101-2	47006	7076.035848	N
hsa-mir-103a-1	154839	23308.648145	Y
hsa-mir-103a-2	155703	23438.710158	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.150535	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	163	24.537162	Y
hsa-mir-106b	5341	804.006030	N
hsa-mir-107	1140	171.609600	Y
hsa-mir-10a	109927	16547.832036	N
hsa-mir-10b	613625	92371.878004	N
hsa-mir-1-1	3	0.451604	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	530	79.783411	N
hsa-mir-1181	3	0.451604	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.150535	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	5	0.752674	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	0.602139	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	21	3.161229	N
hsa-mir-1227	2	0.301069	N
hsa-mir-1228	11	1.655882	N
hsa-mir-1229	14	2.107486	N
hsa-mir-1231	2	0.301069	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.602139	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.150535	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.150535	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	1.655882	N
hsa-mir-1245b	1	0.150535	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	645	97.094905	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	20	3.010695	N
hsa-mir-1250	1	0.150535	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	7	1.053743	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.150535	N
hsa-mir-1254-2	1	0.150535	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.150535	N
hsa-mir-1257	1	0.150535	N
hsa-mir-1258	6	0.903208	N
hsa-mir-125a	10384	1563.152709	N
hsa-mir-125b-1	2243	337.649415	N
hsa-mir-125b-2	2275	342.466527	N
hsa-mir-126	26099	3928.806101	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	4	0.602139	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	90	13.548126	N
hsa-mir-1267	1	0.150535	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	63	9.483688	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	7166	1078.731925	N
hsa-mir-1270	10	1.505347	N
hsa-mir-1271	15	2.258021	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.150535	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.301069	N
hsa-mir-1275	2	0.301069	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	9	1.354813	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	514	77.374855	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	301	45.310956	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.301069	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.301069	N
hsa-mir-1287	537	80.837154	N
hsa-mir-1288	5	0.752674	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.752674	N
hsa-mir-129-1	21	3.161229	N
hsa-mir-1292	8	1.204278	N
hsa-mir-129-2	25	3.763368	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	4	0.602139	N
hsa-mir-1295a	4	0.602139	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	76	11.440640	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	91	13.698661	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.150535	N
hsa-mir-1304	2	0.301069	N
hsa-mir-1305	1	0.150535	N
hsa-mir-1306	73	10.989036	N
hsa-mir-1307	19928	2999.856239	N
hsa-mir-130a	232	34.924059	N
hsa-mir-130b	310	46.665768	N
hsa-mir-132	800	120.427790	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	16	2.408556	Y
hsa-mir-133a-2	8	1.204278	Y
hsa-mir-133b	2	0.301069	Y
hsa-mir-134	2483	373.777752	N
hsa-mir-1343	16	2.408556	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	1	0.150535	N
hsa-mir-136	242	36.429406	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	2	0.301069	N
hsa-mir-138-2	1	0.150535	N
hsa-mir-139	347	52.235554	N
hsa-mir-140	4235	637.514611	N
hsa-mir-141	10738	1616.442006	N
hsa-mir-142	21354	3214.518774	N
hsa-mir-143	193309	29099.719479	N
hsa-mir-144	557	83.847849	N
hsa-mir-145	11030	1660.398149	N
hsa-mir-1468	21	3.161229	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	533	80.235015	N
hsa-mir-146b	2241	337.348346	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	5	0.752674	N
hsa-mir-148a	174081	26205.237555	N
hsa-mir-148b	1883	283.456910	N
hsa-mir-149	2966	446.486030	N
hsa-mir-150	7490	1127.505180	N
hsa-mir-151a	51943	7819.225845	N
hsa-mir-151b	8	1.204278	N
hsa-mir-152	1481	222.941946	N
hsa-mir-153-1	16	2.408556	N
hsa-mir-153-2	339	51.031276	N
hsa-mir-1537	4	0.602139	N
hsa-mir-1538	3	0.451604	N
hsa-mir-1539	1	0.150535	N
hsa-mir-154	23	3.462299	N
hsa-mir-155	1846	277.887125	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1138	171.308531	N
hsa-mir-15b	1486	223.694619	N
hsa-mir-16-1	1823	274.424826	N
hsa-mir-16-2	1816	273.371082	N
hsa-mir-17	8396	1263.889652	Y
hsa-mir-181a-1	13299	2001.961468	N
hsa-mir-181a-2	15743	2369.868365	N
hsa-mir-181b-1	2544	382.960371	N
hsa-mir-181b-2	1924	289.628834	N
hsa-mir-181c	334	50.278602	N
hsa-mir-181d	49	7.376202	N
hsa-mir-182	135062	20331.522651	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	122290	18408.892990	N
hsa-mir-184	15	2.258021	N
hsa-mir-185	442	66.536354	N
hsa-mir-186	2129	320.488455	N
hsa-mir-187	30	4.516042	N
hsa-mir-188	59	8.881549	N
hsa-mir-18a	90	13.548126	Y
hsa-mir-18b	9	1.354813	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	33	4.967646	N
hsa-mir-190b	113	17.010425	N
hsa-mir-191	7690	1157.612128	N
hsa-mir-1910	11	1.655882	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	5	0.752674	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	2455	369.562779	Y
hsa-mir-193a	5295	797.081433	N
