miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	181511	13741.082370	N
hsa-let-7a-2	180926	13696.795615	Y
hsa-let-7a-3	181711	13756.223141	N
hsa-let-7b	588161	44526.054882	N
hsa-let-7c	32544	2463.706247	Y
hsa-let-7d	3609	273.215212	N
hsa-let-7e	16331	1236.319651	N
hsa-let-7f-1	39661	3002.490581	N
hsa-let-7f-2	40330	3053.136460	N
hsa-let-7g	5654	428.029594	N
hsa-let-7i	5204	393.962860	N
hsa-mir-100	41286	3125.509345	Y
hsa-mir-101-1	146362	11080.167581	N
hsa-mir-101-2	147511	11167.151310	N
hsa-mir-103a-1	108772	8234.459683	Y
hsa-mir-103a-2	109147	8262.848629	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	132	9.992909	Y
hsa-mir-106b	7897	597.833341	N
hsa-mir-107	1310	99.172050	Y
hsa-mir-10a	173697	13149.532449	N
hsa-mir-10b	614627	46529.633101	N
hsa-mir-1-1	2	0.151408	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.075704	N
hsa-mir-1180	460	34.823773	N
hsa-mir-1181	3	0.227112	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.454223	N
hsa-mir-1185-2	1	0.075704	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.075704	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	7	0.529927	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	9	0.681335	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	16	1.211262	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	15	1.135558	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	1	0.075704	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.075704	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	1	0.075704	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	18	1.362669	N
hsa-mir-1245b	1	0.075704	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	362	27.404795	N
hsa-mir-1248	3	0.227112	N
hsa-mir-1249	13	0.984150	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	28	2.119708	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.151408	N
hsa-mir-1254-2	5	0.378519	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.378519	N
hsa-mir-125a	10217	773.466283	N
hsa-mir-125b-1	5304	401.533245	N
hsa-mir-125b-2	5609	424.622921	N
hsa-mir-126	14620	1106.790356	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	0.681335	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	73	5.526381	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
