miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	121643	13532.663377	N
hsa-let-7a-2	121672	13535.889598	Y
hsa-let-7a-3	121894	13560.586879	N
hsa-let-7b	115905	12894.316555	N
hsa-let-7c	36459	4056.027672	Y
hsa-let-7d	1379	153.412385	N
hsa-let-7e	12643	1406.521239	N
hsa-let-7f-1	63022	7011.135136	N
hsa-let-7f-2	64005	7120.492913	N
hsa-let-7g	3792	421.856248	N
hsa-let-7i	3302	367.344232	N
hsa-mir-100	44545	4955.587170	N
hsa-mir-101-1	69223	7700.990250	N
hsa-mir-101-2	70580	7851.955157	N
hsa-mir-103a-1	93203	10368.741520	Y
hsa-mir-103a-2	93501	10401.893725	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	31	3.448719	Y
hsa-mir-106b	2726	303.264802	N
hsa-mir-107	566	62.966940	Y
hsa-mir-10a	163830	18225.925380	N
hsa-mir-10b	444700	49472.434943	N
hsa-mir-1-1	22	2.447478	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.111249	N
hsa-mir-1180	96	10.679905	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.556245	N
hsa-mir-1185-2	3	0.333747	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	20	2.224980	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.111249	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	0.778743	N
