miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	53138	17167.473489	N
hsa-let-7a-2	53117	17160.688948	N
hsa-let-7a-3	53623	17324.164080	N
hsa-let-7b	105248	34002.827538	N
hsa-let-7c	3583	1157.571936	N
hsa-let-7d	1771	572.162963	N
hsa-let-7e	4022	1299.401151	N
hsa-let-7f-1	9569	3091.489213	N
hsa-let-7f-2	9708	3136.396414	N
hsa-let-7g	2654	857.436762	N
hsa-let-7i	1560	503.994479	N
hsa-mir-100	5565	1797.903383	Y
hsa-mir-101-1	15717	5077.744379	N
hsa-mir-101-2	15636	5051.575435	N
hsa-mir-103a-1	30242	9770.385284	Y
hsa-mir-103a-2	30190	9753.585468	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	30	9.692202	Y
hsa-mir-106b	921	297.550587	N
hsa-mir-107	99	31.984265	Y
hsa-mir-10a	32220	10409.424438	N
hsa-mir-10b	153787	49684.486533	N
hsa-mir-1-1	13	4.199954	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	37	11.953715	N
hsa-mir-1181	1	0.323073	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.323073	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	20	6.461468	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	30	9.692202	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	1.292294	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	4	1.292294	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	1.292294	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	47	15.184449	N
hsa-mir-1248	3	0.969220	N
hsa-mir-1249	12	3.876881	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	18	5.815321	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.969220	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.323073	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.969220	N
hsa-mir-125a	6048	1953.947828	N
hsa-mir-125b-1	758	244.889625	N
hsa-mir-125b-2	758	244.889625	N
hsa-mir-126	23424	7567.670951	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	56	18.092110	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1688	545.347872	N
hsa-mir-1270	5	1.615367	N
hsa-mir-1271	16	5.169174	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	10	3.230734	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	285	92.075914	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	165	53.307108	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	4	1.292294	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	54	17.445963	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.323073	N
hsa-mir-129-1	7	2.261514	N
hsa-mir-1292	3	0.969220	N
hsa-mir-129-2	2	0.646147	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	38	12.276789	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	63	20.353623	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	1	0.323073	N
hsa-mir-1306	39	12.599862	N
hsa-mir-1307	5735	1852.825858	N
hsa-mir-130a	119	38.445733	N
hsa-mir-130b	92	29.722751	N
hsa-mir-132	308	99.506602	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	10	3.230734	N
hsa-mir-133a-2	16	5.169174	Y
hsa-mir-133b	1	0.323073	Y
hsa-mir-134	580	187.382563	N
hsa-mir-1343	16	5.169174	N
hsa-mir-135a-1	18	5.815321	N
hsa-mir-135a-2	20	6.461468	N
hsa-mir-135b	6	1.938440	N
hsa-mir-136	174	56.214769	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	1	0.323073	N
hsa-mir-139	300	96.922015	N
hsa-mir-140	2969	959.204878	N
hsa-mir-141	5427	1753.319256	N
hsa-mir-142	15887	5132.666854	N
hsa-mir-143	99330	32090.879251	N
hsa-mir-144	159	51.368668	N
hsa-mir-145	5559	1795.964943	N
hsa-mir-1468	9	2.907660	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	309	99.829676	N
hsa-mir-146b	2417	780.868370	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.646147	N
hsa-mir-148a	62426	20168.179081	N
hsa-mir-148b	624	201.597792	N
hsa-mir-149	346	111.783391	N
