miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	218400	9898.959902	N
hsa-let-7a-2	218600	9908.024884	Y
hsa-let-7a-3	219445	9946.324431	N
hsa-let-7b	273663	12403.750292	N
hsa-let-7c	76052	3447.049901	Y
hsa-let-7d	5335	241.808384	N
hsa-let-7e	26583	1204.872029	N
hsa-let-7f-1	107147	4856.427915	N
hsa-let-7f-2	107602	4877.050748	N
hsa-let-7g	12207	553.281152	N
hsa-let-7i	14679	665.324324	N
hsa-mir-100	112779	5111.697797	Y
hsa-mir-101-1	157099	7120.497718	N
hsa-mir-101-2	158021	7162.287283	N
hsa-mir-103a-1	601895	27280.835487	Y
hsa-mir-103a-2	600710	27227.125471	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.045325	N
hsa-mir-106a	64	2.900794	Y
hsa-mir-106b	26608	1206.005151	N
hsa-mir-107	3935	178.353513	Y
hsa-mir-10a	333400	15111.324319	N
hsa-mir-10b	1136670	51519.463150	N
hsa-mir-1-1	35	1.586372	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.271949	N
hsa-mir-1180	258	11.693826	N
hsa-mir-1181	6	0.271949	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.226625	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.090650	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	42	1.903646	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	1	0.045325	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	22	0.997148	N
hsa-mir-1225	1	0.045325	N
hsa-mir-1226	35	1.586372	N
hsa-mir-1227	1	0.045325	N
hsa-mir-1228	12	0.543899	N
hsa-mir-1229	23	1.042473	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.135975	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.045325	N
hsa-mir-1238	1	0.045325	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	28	1.269097	N
hsa-mir-1245b	5	0.226625	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	230	10.424729	N
hsa-mir-1248	30	1.359747	N
hsa-mir-1249	19	0.861173	N
hsa-mir-1250	45	2.039621	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	10	0.453249	N
hsa-mir-1254-2	8	0.362599	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.045325	N
hsa-mir-1258	30	1.359747	N
hsa-mir-125a	13735	622.537611	N
hsa-mir-125b-1	9943	450.665560	N
hsa-mir-125b-2	10610	480.897274	N
hsa-mir-126	27205	1233.064122	N
hsa-mir-1260a	1	0.045325	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.226625	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	4	0.181300	N
hsa-mir-1266	359	16.271642	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	14	0.634549	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	21106	956.627508	N
hsa-mir-1270	4	0.181300	N
hsa-mir-1271	25	1.133123	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.045325	N
hsa-mir-1275	23	1.042473	N
hsa-mir-1276	7	0.317274	N
hsa-mir-1277	2	0.090650	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	3952	179.124036	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	3005	136.201348	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	6	0.271949	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	563	25.517923	N
hsa-mir-1288	8	0.362599	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	15	0.679874	N
hsa-mir-129-1	25	1.133123	N
hsa-mir-1292	7	0.317274	N
hsa-mir-129-2	24	1.087798	N
