miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	76626	14955.856159	N
hsa-let-7a-2	76405	14912.721397	N
hsa-let-7a-3	77446	15115.903689	N
hsa-let-7b	339732	66308.862847	N
hsa-let-7c	8645	1687.330364	N
hsa-let-7d	1545	301.552969	N
hsa-let-7e	4012	783.061819	N
hsa-let-7f-1	8469	1652.978699	N
hsa-let-7f-2	8705	1699.041159	N
hsa-let-7g	2577	502.978641	N
hsa-let-7i	1560	304.480667	N
hsa-mir-100	7421	1448.430148	N
hsa-mir-101-1	69139	13494.544136	N
hsa-mir-101-2	69637	13591.743733	N
hsa-mir-103a-1	25032	4885.743630	Y
hsa-mir-103a-2	24938	4867.396718	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.390360	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	11	2.146979	Y
hsa-mir-106b	1466	286.133755	N
hsa-mir-107	344	67.141891	Y
hsa-mir-10a	568017	110865.509718	N
hsa-mir-10b	116491	22736.703466	N
hsa-mir-1-1	3	0.585540	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.195180	N
hsa-mir-1180	98	19.127632	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	5	0.975900	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	24	4.684318	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	1.171079	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	1.561439	N
hsa-mir-1229	5	0.975900	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	2	0.390360	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	51	9.954176	N
hsa-mir-1248	6	1.171079	N
hsa-mir-1249	17	3.318059	N
hsa-mir-1250	3	0.585540	N
hsa-mir-1251	11	2.146979	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.195180	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.195180	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
