miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	47643	8965.017745	N
hsa-let-7a-2	47294	8899.346163	N
hsa-let-7a-3	47624	8961.442502	N
hsa-let-7b	102166	19224.650064	N
hsa-let-7c	3286	618.328995	N
hsa-let-7d	8313	1564.263218	N
hsa-let-7e	12456	2343.854523	N
hsa-let-7f-1	21449	4036.073833	N
hsa-let-7f-2	22055	4150.105291	N
hsa-let-7g	6753	1270.716891	N
hsa-let-7i	4833	909.429103	N
hsa-mir-100	7127	1341.092741	N
hsa-mir-101-1	15372	2892.560351	N
hsa-mir-101-2	15423	2902.157057	N
hsa-mir-103a-1	26469	4980.690861	Y
hsa-mir-103a-2	26236	4936.847083	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	7	1.317195	N
hsa-mir-105-2	8	1.505366	N
hsa-mir-106a	197	37.069632	Y
hsa-mir-106b	3542	666.500700	N
hsa-mir-107	181	34.058901	Y
hsa-mir-10a	48935	9208.134319	N
hsa-mir-10b	148015	27852.089532	N
hsa-mir-1-1	3	0.564512	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	32	6.021463	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.188171	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	3	0.564512	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	397	74.703777	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	45	8.467683	N
hsa-mir-1227	6	1.129024	N
hsa-mir-1228	8	1.505366	N
hsa-mir-1229	8	1.505366	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.376341	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.564512	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	2.446219	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	16	3.010732	N
hsa-mir-1248	3	0.564512	N
hsa-mir-1249	25	4.704268	N
hsa-mir-1250	2	0.376341	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.376341	N
hsa-mir-1254-2	1	0.188171	N
hsa-mir-1255a	3	0.564512	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.564512	N
hsa-mir-125a	11685	2198.774896	N
hsa-mir-125b-1	1268	238.600476	N
hsa-mir-125b-2	1237	232.767184	N
hsa-mir-126	15598	2935.086934	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.752683	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	246	46.289998	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	210	39.515852	N
hsa-mir-1269b	1	0.188171	N
hsa-mir-127	2255	424.324980	N
hsa-mir-1270	1	0.188171	N
hsa-mir-1271	33	6.209634	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	16	3.010732	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	1	0.188171	N
hsa-mir-128-1	263	49.488900	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	175	32.929876	N
hsa-mir-1283-1	257	48.359876	N
hsa-mir-1283-2	364	68.494143	Y
hsa-mir-1284	2	0.376341	N
hsa-mir-1285-1	1	0.188171	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.188171	N
hsa-mir-1287	333	62.660851	N
hsa-mir-1288	2	0.376341	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.376341	N
hsa-mir-129-1	5	0.940854	N
hsa-mir-1292	5	0.940854	N
hsa-mir-129-2	3	0.564512	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	34	6.397805	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	57	10.725731	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	198	37.257803	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	11	2.069878	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	58	10.913902	N
hsa-mir-1307	13083	2461.837566	N
hsa-mir-130a	1020	191.934137	N
hsa-mir-130b	386	72.633899	N
hsa-mir-132	365	68.682314	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	6	1.129024	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	4	0.752683	N
hsa-mir-133a-2	1	0.188171	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	1417	266.637914	N
hsa-mir-1343	22	4.139756	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	294	55.322192	N
hsa-mir-136	121	22.768657	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	9	1.693537	N
hsa-mir-138-2	8	1.505366	N
hsa-mir-139	77	14.489146	N
hsa-mir-140	2060	387.631689	N
hsa-mir-141	3775	710.344478	N
hsa-mir-142	32533	6121.758124	N
hsa-mir-143	88438	16641.442381	N
hsa-mir-144	26	4.892439	N
hsa-mir-145	5207	979.804954	N
hsa-mir-1468	20	3.763414	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1027	193.251332	N
hsa-mir-146b	5054	951.014833	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	7	1.317195	N
hsa-mir-148a	1152139	216798.828374	N
hsa-mir-148b	1320	248.385354	N
hsa-mir-149	900	169.353651	N
hsa-mir-150	3323	625.291312	N
hsa-mir-151a	13061	2457.697810	N
hsa-mir-151b	7	1.317195	N
hsa-mir-152	1853	348.680349	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	31	5.833292	N
hsa-mir-1537	1	0.188171	N
hsa-mir-1538	2	0.376341	N
hsa-mir-1539	1	0.188171	N
hsa-mir-154	27	5.080610	N
hsa-mir-155	3406	640.909482	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	810	152.418285	N
hsa-mir-15b	2527	475.507416	N
hsa-mir-16-1	2734	514.458756	N
hsa-mir-16-2	2733	514.270585	N
hsa-mir-17	8337	1568.779316	Y
hsa-mir-181a-1	2581	485.668635	N
hsa-mir-181a-2	5203	979.052271	N
hsa-mir-181b-1	624	117.418531	N
hsa-mir-181b-2	490	92.203654	N
hsa-mir-181c	501	94.273532	N
hsa-mir-181d	128	24.085853	N
hsa-mir-182	77479	14579.279430	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	54351	10227.266954	N
hsa-mir-184	2	0.376341	N
hsa-mir-185	190	35.752437	N
hsa-mir-186	2509	472.120343	N
hsa-mir-187	1570	295.428035	N
hsa-mir-188	76	14.300975	N
hsa-mir-18a	89	16.747194	Y
hsa-mir-18b	2	0.376341	Y
hsa-mir-1908	1	0.188171	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	39	7.338658	N
hsa-mir-190b	2	0.376341	N
hsa-mir-191	7593	1428.780298	N
hsa-mir-1910	7	1.317195	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
