miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	25029	7238.873872	N
hsa-let-7a-2	25113	7263.168307	N
hsa-let-7a-3	25740	7444.508908	N
hsa-let-7b	51690	14949.753903	N
hsa-let-7c	1745	504.687958	N
hsa-let-7d	1832	529.850051	N
hsa-let-7e	3375	976.115679	N
hsa-let-7f-1	11067	3200.791767	N
hsa-let-7f-2	11404	3298.258725	N
hsa-let-7g	1775	513.364542	N
hsa-let-7i	1415	409.245536	N
hsa-mir-100	2499	722.759431	N
hsa-mir-101-1	15265	4414.935062	N
hsa-mir-101-2	15491	4480.298660	N
hsa-mir-103a-1	114729	33181.859461	Y
hsa-mir-103a-2	114630	33153.226735	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	193	55.819356	Y
hsa-mir-106b	1601	463.040356	N
hsa-mir-107	288	83.295205	Y
hsa-mir-10a	25425	7353.404778	N
hsa-mir-10b	84880	24548.947791	N
hsa-mir-1-1	3	0.867658	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	113	32.681799	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.289219	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	3	0.867658	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	3.759853	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.289219	N
hsa-mir-1229	5	1.446097	N
hsa-mir-1231	1	0.289219	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	2.024536	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	79	22.848337	N
hsa-mir-1248	3	0.867658	N
hsa-mir-1249	10	2.892195	N
hsa-mir-1250	1	0.289219	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.289219	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	1.156878	N
hsa-mir-1254-2	9	2.602975	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	5088	1471.548614	N
hsa-mir-125b-1	503	145.477389	N
hsa-mir-125b-2	490	141.717536	N
hsa-mir-126	7735	2237.112525	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.289219	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	59	17.063948	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.578439	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1065	308.018725	N
hsa-mir-1270	1	0.289219	N
hsa-mir-1271	1	0.289219	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	4	1.156878	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	249	72.015646	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	156	45.118236	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	176	50.902625	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	1	0.289219	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.289219	N
hsa-mir-129-1	23	6.652048	N
hsa-mir-1292	2	0.578439	N
hsa-mir-129-2	13	3.759853	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	11	3.181414	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	164	47.431991	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	1	0.289219	N
hsa-mir-1306	35	10.122681	N
hsa-mir-1307	10267	2969.416199	N
hsa-mir-130a	125	36.152433	N
hsa-mir-130b	57	16.485509	N
hsa-mir-132	185	53.505600	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	0	0.000000	N
hsa-mir-133a-2	4	1.156878	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	494	142.874413	N
hsa-mir-1343	5	1.446097	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	3	0.867658	N
hsa-mir-136	69	19.956143	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	1	0.289219	N
hsa-mir-139	111	32.103360	N
hsa-mir-140	1914	553.566047	N
hsa-mir-141	13510	3907.354909	N
hsa-mir-142	4139	1197.079346	N
hsa-mir-143	44088	12751.107566	N
hsa-mir-144	65	18.799265	N
hsa-mir-145	2458	710.901433	N
hsa-mir-1468	17	4.916731	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	302	87.344277	N
hsa-mir-146b	2422	700.489533	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.289219	N
hsa-mir-148a	25714	7436.989202	N
hsa-mir-148b	607	175.556212	N
hsa-mir-149	143	41.358383	N
hsa-mir-150	969	280.253657	N
hsa-mir-151a	7941	2296.691734	N
hsa-mir-151b	4	1.156878	N
hsa-mir-152	134	38.755408	N
hsa-mir-153-1	1	0.289219	N
hsa-mir-153-2	44	12.725656	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	18	5.205950	N
hsa-mir-155	1165	336.940671	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1008	291.533216	N
hsa-mir-15b	482	139.403780	N
hsa-mir-16-1	582	168.325726	N
hsa-mir-16-2	599	173.242457	N
hsa-mir-17	3765	1088.911268	Y
hsa-mir-181a-1	5608	1621.942733	N
hsa-mir-181a-2	6906	1997.349593	N
hsa-mir-181b-1	1317	380.902029	N
hsa-mir-181b-2	1303	376.852957	N
hsa-mir-181c	966	279.385999	N
hsa-mir-181d	506	146.345047	N
hsa-mir-182	950006	274760.222606	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	316957	91670.132480	N
hsa-mir-184	37	10.701120	N
hsa-mir-185	431	124.653587	N
hsa-mir-186	1050	303.680433	N
hsa-mir-187	57	16.485509	N
hsa-mir-188	2	0.578439	N
hsa-mir-18a	38	10.990339	N
hsa-mir-18b	1	0.289219	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	48	13.882534	N
hsa-mir-190b	196	56.687014	N
hsa-mir-191	6578	1902.485610	N
hsa-mir-1910	3	0.867658	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.289219	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	2689	777.711129	Y
hsa-mir-193a	860	248.728736	N
hsa-mir-193b	503	145.477389	N
hsa-mir-194-1	730	211.130206	N
hsa-mir-194-2	930	268.974098	N
hsa-mir-195	37	10.701120	N
hsa-mir-196a-1	6439	1862.284105	N
hsa-mir-196a-2	7891	2282.230761	N
hsa-mir-196b	10174	2942.518789	N
hsa-mir-197	889	257.116100	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	73	21.113021	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	2331	674.170562	Y
hsa-mir-199a-2	3389	980.164751	Y
hsa-mir-199b	3505	1013.714208	Y
hsa-mir-19a	254	73.461743	N
hsa-mir-19b-1	471	136.222366	N
hsa-mir-19b-2	432	124.942807	N
hsa-mir-200a	7848	2269.794324	N
hsa-mir-200b	7376	2133.282739	N
hsa-mir-200c	126370	36548.663199	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	53386	15440.270108	N
hsa-mir-203b	758	219.228351	N
hsa-mir-204	2	0.578439	N
hsa-mir-205	2052	593.478333	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	2634	761.804058	N
hsa-mir-20b	379	109.614175	N
hsa-mir-21	579209	167518.514384	N
hsa-mir-210	2544	735.774307	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	9	2.602975	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	6	1.735317	N
hsa-mir-2115	2	0.578439	N
hsa-mir-2116	0	0.000000	N
hsa-mir-2117	1	0.289219	N
hsa-mir-212	3	0.867658	N
hsa-mir-214	30	8.676584	N
hsa-mir-215	8	2.313756	Y
hsa-mir-216a	0	0.000000	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	81	23.426776	N
hsa-mir-218-1	34	9.833462	N
hsa-mir-218-2	38	10.990339	N
hsa-mir-219a-1	3	0.867658	N
hsa-mir-219a-2	0	0.000000	N
