miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	30001	11436.977872	N
hsa-let-7a-2	29954	11419.060537	N
hsa-let-7a-3	30252	11532.664064	N
hsa-let-7b	32845	12521.167234	N
hsa-let-7c	2230	850.120351	N
hsa-let-7d	1511	576.023251	N
hsa-let-7e	4860	1852.728658	N
hsa-let-7f-1	20740	7906.500485	N
hsa-let-7f-2	21090	8039.927446	N
hsa-let-7g	2828	1078.089844	N
hsa-let-7i	1335	508.928551	N
hsa-mir-100	2381	907.684554	N
hsa-mir-101-1	6431	2451.625102	N
hsa-mir-101-2	6529	2488.984651	N
hsa-mir-103a-1	17448	6651.524613	Y
hsa-mir-103a-2	17522	6679.734884	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	49	18.679775	Y
hsa-mir-106b	1211	461.657285	N
hsa-mir-107	204	77.768857	Y
hsa-mir-10a	418022	159358.300186	N
hsa-mir-10b	91879	35026.102126	N
hsa-mir-1-1	2	0.762440	N
hsa-mir-1178	1	0.381220	N
hsa-mir-1179	1	0.381220	N
hsa-mir-1180	11	4.193419	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.381220	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	2	0.762440	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.381220	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.762440	N
hsa-mir-1229	1	0.381220	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.381220	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	3.049759	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	12	4.574639	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	5	1.906099	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	26	9.911717	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.381220	N
hsa-mir-1254-2	1	0.381220	N
hsa-mir-1255a	1	0.381220	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.381220	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	4754	1812.319349	N
hsa-mir-125b-1	1283	489.105117	N
hsa-mir-125b-2	1217	463.944604	N
hsa-mir-126	14624	5574.959648	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.381220	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.381220	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	41	15.630015	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	50	19.060994	N
hsa-mir-127	1258	479.574620	N
hsa-mir-1270	9	3.430979	N
hsa-mir-1271	10	3.812199	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	1.143660	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	5	1.906099	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	135	51.464685	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	103	39.265649	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.381220	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	52	19.823434	N
hsa-mir-1288	2	0.762440	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.762440	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-1292	1	0.381220	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1293	2	0.762440	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	0.381220	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	8	3.049759	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	37	14.105136	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	5	1.906099	N
hsa-mir-1305	3	1.143660	N
hsa-mir-1306	30	11.436597	N
hsa-mir-1307	3186	1214.566564	N
hsa-mir-130a	85	32.403691	N
hsa-mir-130b	24	9.149277	N
hsa-mir-132	125	47.652486	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	2	0.762440	N
hsa-mir-133a-2	0	0.000000	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	826	314.887628	N
hsa-mir-1343	3	1.143660	N
