miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	33318	5652.794433	N
hsa-let-7a-2	32823	5568.811804	N
hsa-let-7a-3	33558	5693.513284	N
hsa-let-7b	48133	8166.335147	N
hsa-let-7c	2750	466.570163	N
hsa-let-7d	6853	1162.692846	N
hsa-let-7e	9122	1547.655646	N
hsa-let-7f-1	14162	2402.751508	N
hsa-let-7f-2	14569	2471.803893	N
hsa-let-7g	3257	552.588735	N
hsa-let-7i	3164	536.810180	N
hsa-mir-100	5225	886.483310	N
hsa-mir-101-1	27650	4691.150912	N
hsa-mir-101-2	27660	4692.847530	N
hsa-mir-103a-1	56662	9613.381300	Y
hsa-mir-103a-2	56883	9650.876575	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	10	1.696619	N
hsa-mir-105-2	9	1.526957	N
hsa-mir-106a	111	18.832468	Y
hsa-mir-106b	4494	762.460477	N
hsa-mir-107	458	77.705140	Y
hsa-mir-10a	56425	9573.171435	N
hsa-mir-10b	164244	27865.945400	N
hsa-mir-1-1	7	1.187633	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.339324	N
hsa-mir-1180	141	23.922325	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	6	1.017971	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.339324	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.339324	N
hsa-mir-1227	3	0.508986	N
hsa-mir-1228	14	2.375266	N
hsa-mir-1229	6	1.017971	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.339324	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.169662	N
hsa-mir-1238	1	0.169662	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.169662	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	2	0.339324	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	23	3.902223	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	18	3.053914	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	35	5.938166	N
hsa-mir-1250	14	2.375266	N
hsa-mir-1251	1	0.169662	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.169662	N
hsa-mir-1254-2	1	0.169662	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	2	0.339324	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	9995	1695.770465	N
hsa-mir-125b-1	1200	203.594253	N
hsa-mir-125b-2	1264	214.452613	N
hsa-mir-126	52033	8828.016469	N
