miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	16972	1722.837371	N
hsa-let-7a-2	17047	1730.450663	N
hsa-let-7a-3	17306	1756.741901	N
hsa-let-7b	24325	2469.244582	N
hsa-let-7c	2972	301.689410	N
hsa-let-7d	4643	471.313570	N
hsa-let-7e	6297	639.212051	N
hsa-let-7f-1	12955	1315.069416	N
hsa-let-7f-2	13362	1356.384218	N
hsa-let-7g	1645	166.984885	N
hsa-let-7i	1645	166.984885	N
hsa-mir-100	2266	230.022948	N
hsa-mir-101-1	11777	1195.489967	N
hsa-mir-101-2	11827	1200.565495	N
hsa-mir-103a-1	108248	10988.316032	Y
hsa-mir-103a-2	107915	10954.513013	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	280	28.422959	N
hsa-mir-105-2	248	25.174621	N
hsa-mir-106a	250	25.377642	Y
hsa-mir-106b	8208	833.198747	N
hsa-mir-107	537	54.511175	Y
hsa-mir-10a	21715	2204.301998	N
hsa-mir-10b	131340	13332.398083	N
hsa-mir-1-1	3	0.304532	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	1413	143.434433	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.203021	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.101511	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	6	0.609063	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	33	3.349849	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.203021	N
hsa-mir-1229	8	0.812085	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.101511	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.101511	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.507553	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	32	3.248338	N
hsa-mir-1248	14	1.421148	N
hsa-mir-1249	14	1.421148	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	3	0.304532	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	18	1.827190	N
hsa-mir-1254-2	15	1.522659	N
hsa-mir-1255a	3	0.304532	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.203021	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.203021	N
hsa-mir-125a	5620	570.489396	N
hsa-mir-125b-1	567	57.556492	N
hsa-mir-125b-2	658	66.793954	N
hsa-mir-126	10618	1077.839218	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.101511	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	361	36.645315	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.101511	N
hsa-mir-1269b	60	6.090634	N
hsa-mir-127	1658	168.304523	N
hsa-mir-1270	1	0.101511	N
hsa-mir-1271	1	0.101511	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	4	0.406042	N
hsa-mir-1277	11	1.116616	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	1096	111.255583	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	619	62.835042	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	7	0.710574	N
hsa-mir-1285-1	1	0.101511	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	253	25.682174	N
hsa-mir-1288	3	0.304532	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.203021	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-1292	6	0.609063	N
hsa-mir-129-2	4	0.406042	N
hsa-mir-1293	1	0.101511	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	4	0.406042	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	201	20.403624	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1078	109.428393	N
