miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	194126	10837.150112	N
hsa-let-7a-2	193879	10823.361253	Y
hsa-let-7a-3	194711	10869.807936	N
hsa-let-7b	378291	21118.224004	N
hsa-let-7c	79712	4449.949567	Y
hsa-let-7d	3313	184.949354	N
hsa-let-7e	11425	637.804519	N
hsa-let-7f-1	46815	2613.463330	N
hsa-let-7f-2	47342	2642.883285	N
hsa-let-7g	4660	260.146088	N
hsa-let-7i	7511	419.304135	N
hsa-mir-100	104331	5824.313633	N
hsa-mir-101-1	129056	7204.595185	N
hsa-mir-101-2	130121	7264.049173	N
hsa-mir-103a-1	151804	8474.510038	Y
hsa-mir-103a-2	151954	8482.883839	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.055825	N
hsa-mir-105-2	2	0.111651	N
hsa-mir-106a	62	3.461171	Y
hsa-mir-106b	4640	259.029581	N
hsa-mir-107	710	39.635992	Y
hsa-mir-10a	1293442	72206.840480	N
hsa-mir-10b	2187223	122102.469423	N
hsa-mir-1-1	36	2.009712	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.223301	N
hsa-mir-1180	90	5.024281	N
hsa-mir-1181	8	0.446603	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	11	0.614079	N
hsa-mir-1185-2	8	0.446603	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.055825	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	31	1.730586	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.111651	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.167476	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	15	0.837380	N
hsa-mir-1229	2	0.111651	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.055825	N
hsa-mir-1243	2	0.111651	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	125	6.978168	N
hsa-mir-1245b	1	0.055825	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	765	42.706386	N
hsa-mir-1248	13	0.725729	N
hsa-mir-1249	35	1.953887	N
hsa-mir-1250	1	0.055825	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	4	0.223301	N
hsa-mir-1255b-1	0	0.000000	N
