miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	54536	10956.180701	N
hsa-let-7a-2	54747	10998.570208	Y
hsa-let-7a-3	54807	11010.624096	N
hsa-let-7b	114535	23009.867916	N
hsa-let-7c	41116	8260.127727	Y
hsa-let-7d	2283	458.650443	N
hsa-let-7e	9784	1965.587355	N
hsa-let-7f-1	21493	4317.903620	N
hsa-let-7f-2	21686	4356.676960	N
hsa-let-7g	2430	488.182469	N
hsa-let-7i	3267	656.334208	N
hsa-mir-100	19631	3943.831292	Y
hsa-mir-101-1	23419	4704.833428	N
hsa-mir-101-2	23898	4801.063635	N
hsa-mir-103a-1	50981	10241.987831	Y
hsa-mir-103a-2	51359	10317.927326	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	5	1.004491	N
hsa-mir-105-2	6	1.205389	N
hsa-mir-106a	34	6.830537	Y
hsa-mir-106b	3132	629.212959	N
hsa-mir-107	670	134.601751	Y
hsa-mir-10a	70630	14189.435289	N
hsa-mir-10b	86270	17331.482124	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	53	10.647601	N
hsa-mir-1181	1	0.200898	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	1.406287	N
hsa-mir-1185-2	3	0.602694	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.602694	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	0.803593	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	1.406287	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	12	2.410778	N
hsa-mir-1229	1	0.200898	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.401796	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	7	1.406287	N
hsa-mir-124-2	12	2.410778	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	6	1.205389	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	49	9.844009	N
hsa-mir-1245b	1	0.200898	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	208	41.786812	N
hsa-mir-1248	4	0.803593	N
hsa-mir-1249	12	2.410778	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.200898	N
hsa-mir-1254-2	2	0.401796	N
hsa-mir-1255a	2	0.401796	N
hsa-mir-1255b-1	0	0.000000	N
