miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	8624	5152.769703	N
hsa-let-7a-2	8865	5296.765239	N
hsa-let-7a-3	9023	5391.168951	N
hsa-let-7b	33987	20306.955462	N
hsa-let-7c	897	535.950188	N
hsa-let-7d	1475	881.300477	N
hsa-let-7e	2203	1316.274543	N
hsa-let-7f-1	2484	1484.169752	N
hsa-let-7f-2	2367	1414.263206	N
hsa-let-7g	1351	807.211488	N
hsa-let-7i	669	399.722047	N
hsa-mir-100	1557	930.294808	N
hsa-mir-101-1	5867	3505.484676	N
hsa-mir-101-2	5963	3562.843894	N
hsa-mir-103a-1	27131	16210.551348	Y
hsa-mir-103a-2	27087	16184.261706	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.597492	N
hsa-mir-105-2	2	1.194984	N
hsa-mir-106a	56	33.459544	Y
hsa-mir-106b	942	562.837321	N
hsa-mir-107	111	66.321595	Y
hsa-mir-10a	58131	34732.798658	N
hsa-mir-10b	33942	20280.068329	N
hsa-mir-1-1	3	1.792476	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	44	26.289641	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	1	0.597492	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.597492	N
hsa-mir-1226	3	1.792476	N
hsa-mir-1227	1	0.597492	N
hsa-mir-1228	3	1.792476	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.597492	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.597492	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	8	4.779935	N
hsa-mir-1248	33	19.717231	N
hsa-mir-1249	5	2.987459	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	3	1.792476	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.597492	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	1.194984	N
hsa-mir-125a	1199	716.392727	N
hsa-mir-125b-1	152	90.818761	N
hsa-mir-125b-2	153	91.416253	N
hsa-mir-126	9077	5423.433511	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	18	10.754853	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	162	96.793679	N
hsa-mir-1269b	11	6.572410	N
hsa-mir-127	401	239.594231	N
hsa-mir-1270	7	4.182443	N
hsa-mir-1271	3	1.792476	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	1.194984	N
hsa-mir-1276	1	0.597492	N
hsa-mir-1277	3	1.792476	N
hsa-mir-1278	1	0.597492	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	148	88.428794	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	98	58.554201	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	54	32.264560	N
hsa-mir-1288	3	1.792476	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	7	4.182443	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-1292	3	1.792476	N
hsa-mir-129-2	1	0.597492	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	9	5.377427	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	82	48.994332	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.597492	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	36	21.509707	N
hsa-mir-1307	1435	857.400803	N
hsa-mir-130a	73	43.616905	N
hsa-mir-130b	42	25.094658	N
hsa-mir-132	66	39.434462	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1	0.597492	N
hsa-mir-133a-2	1	0.597492	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	299	178.650063	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	8	4.779935	N
hsa-mir-135a-2	4	2.389967	N
hsa-mir-135b	14	8.364886	N
hsa-mir-136	30	17.924755	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	40	23.899674	N
hsa-mir-140	566	338.180386	N
hsa-mir-141	5562	3323.249663	N
hsa-mir-142	12461	7445.345927	N
hsa-mir-143	26151	15625.009336	N
hsa-mir-144	43	25.692149	N
hsa-mir-145	1341	801.236569	N
hsa-mir-1468	17	10.157361	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	792	473.213544	N
hsa-mir-146b	1790	1069.510409	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	7	4.182443	N
hsa-mir-148a	193171	115418.097909	N
hsa-mir-148b	1398	835.293605	N
hsa-mir-149	268	160.127815	N
hsa-mir-150	999	596.894357	N
hsa-mir-151a	5449	3255.733084	N
hsa-mir-151b	8	4.779935	N
hsa-mir-152	456	272.456283	N
hsa-mir-153-1	3	1.792476	N
hsa-mir-153-2	44	26.289641	N
hsa-mir-1537	2	1.194984	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	6	3.584951	N
hsa-mir-155	1539	919.539955	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	244	145.788011	N
hsa-mir-15b	336	200.757261	N
hsa-mir-16-1	1525	911.175069	N
hsa-mir-16-2	1508	901.017708	N
hsa-mir-17	1046	624.976474	Y
hsa-mir-181a-1	2810	1678.952095	N
hsa-mir-181a-2	3485	2082.259093	N
hsa-mir-181b-1	634	378.809832	N
hsa-mir-181b-2	523	312.488237	N
hsa-mir-181c	78	46.604364	N
hsa-mir-181d	24	14.339804	N
hsa-mir-182	108086	64580.503960	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	58479	34940.725821	N
hsa-mir-184	7	4.182443	N
hsa-mir-185	275	164.310258	N
hsa-mir-186	1206	720.575170	N
hsa-mir-187	4	2.389967	N
hsa-mir-188	6	3.584951	N
hsa-mir-18a	12	7.169902	Y
hsa-mir-18b	2	1.194984	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	3	1.792476	N
hsa-mir-190b	195	116.510910	N
hsa-mir-191	2706	1616.812943	N
hsa-mir-1910	2	1.194984	N
hsa-mir-1911	2	1.194984	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.597492	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1780	1063.535491	Y
hsa-mir-193a	824	492.333283	N
hsa-mir-193b	450	268.871332	N
hsa-mir-194-1	126	75.283973	N
hsa-mir-194-2	181	108.146025	N
hsa-mir-195	50	29.874592	N
hsa-mir-196a-1	2551	1524.201706	N
hsa-mir-196a-2	3176	1897.634112	N
hsa-mir-196b	259	154.750389	N
hsa-mir-197	1336	798.249110	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	5	2.987459	N
hsa-mir-198	1	0.597492	N
hsa-mir-199a-1	1964	1173.473991	Y
hsa-mir-199a-2	3425	2046.409582	Y
hsa-mir-199b	4730	2826.136444	Y
hsa-mir-19a	128	76.478957	N
hsa-mir-19b-1	214	127.863256	N
hsa-mir-19b-2	174	103.963582	N
hsa-mir-200a	1508	901.017708	N
hsa-mir-200b	1140	681.140708	N
hsa-mir-200c	31808	19005.020724	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	4631	2766.984751	N
hsa-mir-203b	9	5.377427	N
hsa-mir-204	0	0.000000	N
hsa-mir-205	935	558.654879	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	395	236.009280	N
hsa-mir-20b	141	84.246351	N
hsa-mir-21	358436	214162.588287	N
hsa-mir-210	931	556.264911	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	5	2.987459	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	1	0.597492	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	2	1.194984	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	7	4.182443	N
hsa-mir-214	37	22.107198	N
hsa-mir-215	11	6.572410	Y
hsa-mir-216a	1	0.597492	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	5	2.987459	N
hsa-mir-218-1	12	7.169902	N
hsa-mir-218-2	17	10.157361	N
hsa-mir-219a-1	1	0.597492	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	1	0.597492	N
hsa-mir-22	71773	42883.782458	N
hsa-mir-221	100	59.749185	N
hsa-mir-222	79	47.201856	N
hsa-mir-223	149	89.026285	N
hsa-mir-224	15	8.962378	N
hsa-mir-2276	1	0.597492	N
hsa-mir-2277	0	0.000000	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	40	23.899674	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	6394	3820.362881	Y
hsa-mir-23b	1475	881.300477	Y
hsa-mir-23c	3	1.792476	N
hsa-mir-24-1	1180	705.040381	N
hsa-mir-24-2	1284	767.179534	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	22802	13624.009134	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	1706	1019.321094	N
hsa-mir-26a-2	1712	1022.906045	N
hsa-mir-26b	2055	1227.845749	N
hsa-mir-27a	2022	1208.128518	Y
hsa-mir-27b	940	561.642338	Y
hsa-mir-28	5642	3371.049010	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	60	35.849511	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	1	0.597492	N
hsa-mir-29a	7037	4204.550139	N
hsa-mir-29b-1	1236	738.499925	Y
hsa-mir-29b-2	1526	911.772561	N
hsa-mir-29c	4862	2905.005368	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	114	68.114071	N
hsa-mir-301b	5	2.987459	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	2	1.194984	N
hsa-mir-3065	13	7.767394	N
hsa-mir-3074	42	25.094658	N
hsa-mir-30a	187927	112284.850654	Y
hsa-mir-30b	2338	1396.935942	Y
hsa-mir-30c-1	2477	1479.987309	Y
hsa-mir-30c-2	2489	1487.157211	Y
hsa-mir-30d	33330	19914.403318	N
hsa-mir-30e	26100	15594.537252	Y
hsa-mir-31	2	1.194984	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	36	21.509707	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	1	0.597492	N
hsa-mir-3130-1	2	1.194984	N
hsa-mir-3130-2	2	1.194984	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	2	1.194984	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	1	0.597492	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
