miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	11973	7127.944005	N
hsa-let-7a-2	12042	7169.022109	N
hsa-let-7a-3	12132	7222.602244	N
hsa-let-7b	70605	42033.616177	N
hsa-let-7c	1969	1172.214294	N
hsa-let-7d	595	354.224228	N
hsa-let-7e	709	422.092400	N
hsa-let-7f-1	1886	1122.801503	N
hsa-let-7f-2	1872	1114.466815	N
hsa-let-7g	617	367.321595	N
hsa-let-7i	920	547.708050	N
hsa-mir-100	3925	2336.689236	Y
hsa-mir-101-1	4077	2427.180131	N
hsa-mir-101-2	4300	2559.939800	N
hsa-mir-103a-1	18000	10716.027069	Y
hsa-mir-103a-2	17937	10678.520974	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	43	25.599398	Y
hsa-mir-106b	475	282.784048	N
hsa-mir-107	117	69.654176	Y
hsa-mir-10a	122926	73182.130191	N
hsa-mir-10b	88232	52527.583351	N
hsa-mir-1-1	1	0.595335	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	10	5.953348	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.595335	N
hsa-mir-1185-2	1	0.595335	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	1	0.595335	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.595335	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	1.786005	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	1.190670	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	1.786005	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	4	2.381339	N
hsa-mir-1248	3	1.786005	N
hsa-mir-1249	1	0.595335	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	1185	705.471782	N
hsa-mir-125b-1	443	263.733333	N
hsa-mir-125b-2	394	234.561926	N
hsa-mir-126	5954	3544.623620	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	1.190670	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	38	22.622724	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1598	951.345070	N
hsa-mir-1270	14	8.334688	N
hsa-mir-1271	7	4.167344	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	2	1.190670	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	43	25.599398	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	25	14.883371	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.595335	N
hsa-mir-1285-1	1	0.595335	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	33	19.646050	N
hsa-mir-1288	1	0.595335	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	1.786005	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-1292	1	0.595335	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	3	1.786005	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	7	4.167344	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	14	8.334688	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	6	3.572009	N
hsa-mir-1307	962	572.712113	N
hsa-mir-130a	124	73.821520	N
hsa-mir-130b	19	11.311362	N
hsa-mir-132	34	20.241384	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	2	1.190670	N
hsa-mir-133a-2	7	4.167344	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	994	591.762828	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	3	1.786005	N
hsa-mir-136	73	43.459443	N
hsa-mir-137	3	1.786005	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	30	17.860045	N
hsa-mir-140	868	516.750639	N
hsa-mir-141	3486	2075.337242	N
hsa-mir-142	1199	713.806470	N
hsa-mir-143	62492	37203.664643	N
hsa-mir-144	57	33.934086	N
hsa-mir-145	3267	1944.958913	N
hsa-mir-1468	7	4.167344	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	66	39.292099	N
hsa-mir-146b	690	410.781038	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	3	1.786005	N
hsa-mir-148a	65499	38993.836498	N
hsa-mir-148b	297	176.814447	N
hsa-mir-149	165	98.230248	N
hsa-mir-150	85	50.603461	N
hsa-mir-151a	2255	1342.480058	N
hsa-mir-151b	8	4.762679	N
hsa-mir-152	396	235.752596	N
hsa-mir-153-1	5	2.976674	N
hsa-mir-153-2	229	136.331678	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	15	8.930023	N
hsa-mir-155	363	216.106546	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	252	150.024379	N
hsa-mir-15b	131	77.988864	N
hsa-mir-16-1	499	297.072084	N
hsa-mir-16-2	476	283.379382	N
hsa-mir-17	420	250.040632	Y
hsa-mir-181a-1	980	583.428140	N
hsa-mir-181a-2	1455	866.212188	N
hsa-mir-181b-1	169	100.611587	N
hsa-mir-181b-2	201	119.662302	N
hsa-mir-181c	160	95.253574	N
hsa-mir-181d	55	32.743416	N
hsa-mir-182	72884	43390.384271	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	11963	7121.990657	N
hsa-mir-184	578	344.103536	N
hsa-mir-185	80	47.626787	N
hsa-mir-186	432	257.184650	N
hsa-mir-187	7	4.167344	N
hsa-mir-188	0	0.000000	N
hsa-mir-18a	4	2.381339	Y
hsa-mir-18b	1	0.595335	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	3	1.786005	N
hsa-mir-190b	37	22.027389	N
hsa-mir-191	1279	761.433257	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	498	296.476749	Y
hsa-mir-193a	585	348.270880	N
hsa-mir-193b	347	206.581188	N
hsa-mir-194-1	100	59.533484	N
hsa-mir-194-2	86	51.198796	N
hsa-mir-195	60	35.720090	N
hsa-mir-196a-1	82	48.817457	N
hsa-mir-196a-2	127	75.607524	N
hsa-mir-196b	320	190.507148	N
hsa-mir-197	302	179.791121	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	11	6.548683	N
hsa-mir-198	1	0.595335	N
hsa-mir-199a-1	4315	2568.869822	Y
hsa-mir-199a-2	7391	4400.119781	Y
hsa-mir-199b	9659	5750.339192	Y
hsa-mir-19a	31	18.455380	N
hsa-mir-19b-1	68	40.482769	N
hsa-mir-19b-2	54	32.148081	N
hsa-mir-200a	1814	1079.937395	N
hsa-mir-200b	1156	688.207072	N
hsa-mir-200c	21106	12565.137073	N
hsa-mir-202	2	1.190670	N
hsa-mir-203a	7004	4169.725199	N
hsa-mir-203b	65	38.696764	N
hsa-mir-204	1	0.595335	N
hsa-mir-205	97	57.747479	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	199	118.471633	N
hsa-mir-20b	95	56.556810	N
hsa-mir-21	561872	334501.975619	N
hsa-mir-210	860	511.987960	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	3	1.786005	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	0	0.000000	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	4	2.381339	N
hsa-mir-214	66	39.292099	N
hsa-mir-215	17	10.120692	Y
hsa-mir-216a	4	2.381339	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	174	103.588262	N
hsa-mir-218-1	17	10.120692	N
hsa-mir-218-2	12	7.144018	N
hsa-mir-219a-1	2	1.190670	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	0	0.000000	N
hsa-mir-22	153727	91519.038510	N
hsa-mir-221	298	177.409781	N
hsa-mir-222	195	116.090293	N
hsa-mir-223	68	40.482769	N
hsa-mir-224	23	13.692701	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	1	0.595335	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	68	40.482769	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	3423	2037.831148	Y
hsa-mir-23b	1303	775.721293	Y
hsa-mir-23c	2	1.190670	N
hsa-mir-24-1	960	571.521444	N
hsa-mir-24-2	966	575.093453	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	8375	4985.929261	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	1473	876.928215	N
hsa-mir-26a-2	1394	829.896763	N
hsa-mir-26b	1105	657.844995	N
hsa-mir-27a	1290	767.981940	Y
hsa-mir-27b	970	577.474792	Y
hsa-mir-28	6380	3798.236261	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	6	3.572009	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	5	2.976674	N
hsa-mir-29a	7189	4279.862144	N
hsa-mir-29b-1	1034	615.576222	N
hsa-mir-29b-2	1250	744.168546	N
hsa-mir-29c	5705	3396.385246	N
hsa-mir-300	0	0.000000	N
hsa-mir-301a	19	11.311362	N
hsa-mir-301b	0	0.000000	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	1	0.595335	N
hsa-mir-3065	65	38.696764	N
hsa-mir-3074	18	10.716027	N
hsa-mir-30a	141951	84508.375468	Y
hsa-mir-30b	627	373.274943	Y
hsa-mir-30c-1	1224	728.689841	Y
hsa-mir-30c-2	1332	792.986003	Y
hsa-mir-30d	8194	4878.173656	N
hsa-mir-30e	16835	10022.461983	Y
hsa-mir-31	2	1.190670	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	1	0.595335	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	1	0.595335	N
hsa-mir-3127	7	4.167344	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	0	0.000000	N
hsa-mir-3130-1	0	0.000000	N
hsa-mir-3130-2	0	0.000000	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	2	1.190670	N
hsa-mir-3137	2	1.190670	N
hsa-mir-3138	1	0.595335	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	5	2.976674	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	1	0.595335	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	0	0.000000	N
hsa-mir-3158-1	0	0.000000	N
hsa-mir-3158-2	1	0.595335	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
