miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	13132	9908.348531	N
hsa-let-7a-2	13124	9902.312376	N
hsa-let-7a-3	13280	10020.017399	N
hsa-let-7b	87624	66114.006370	N
hsa-let-7c	1269	957.485096	N
hsa-let-7d	799	602.860987	N
hsa-let-7e	2154	1625.234750	N
hsa-let-7f-1	1895	1429.814230	N
hsa-let-7f-2	1910	1441.132021	N
hsa-let-7g	1652	1246.466020	N
hsa-let-7i	562	424.039893	N
hsa-mir-100	1793	1352.853253	N
hsa-mir-101-1	3597	2714.006219	N
hsa-mir-101-2	3592	2710.233622	N
hsa-mir-103a-1	9136	6893.289078	Y
hsa-mir-103a-2	9076	6848.017915	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	80	60.361551	Y
hsa-mir-106b	799	602.860987	N
hsa-mir-107	95	71.679341	Y
hsa-mir-10a	105301	79451.645494	N
hsa-mir-10b	23429	17677.634612	N
hsa-mir-1-1	3	2.263558	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	1.509039	N
hsa-mir-1180	4	3.018078	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.754519	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	1	0.754519	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	2.263558	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.754519	N
hsa-mir-1229	1	0.754519	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	6.790674	N
hsa-mir-1245b	1	0.754519	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1	0.754519	N
hsa-mir-1248	5	3.772597	N
hsa-mir-1249	3	2.263558	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.754519	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.754519	N
hsa-mir-1254-2	1	0.754519	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	1277	963.521251	N
hsa-mir-125b-1	248	187.120807	N
hsa-mir-125b-2	284	214.283505	N
hsa-mir-126	3837	2895.090871	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	5.281636	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1095	826.198724	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	2	1.509039	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.754519	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	97	73.188380	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	52	39.235008	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	1.509039	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	24	18.108465	N
