miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	163482	23668.085653	N
hsa-let-7a-2	163048	23605.253359	N
hsa-let-7a-3	164739	23850.067668	N
hsa-let-7b	660147	95572.697544	N
hsa-let-7c	13545	1960.975644	N
hsa-let-7d	5207	753.842759	N
hsa-let-7e	12688	1836.903578	N
hsa-let-7f-1	29575	4281.716845	N
hsa-let-7f-2	30136	4362.935548	N
hsa-let-7g	5850	846.933002	N
hsa-let-7i	3344	484.127173	N
hsa-mir-100	17154	2483.468157	Y
hsa-mir-101-1	42682	6179.281094	N
hsa-mir-101-2	43385	6281.057829	N
hsa-mir-103a-1	26626	3854.775747	Y
hsa-mir-103a-2	26517	3838.995286	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	117	16.938660	Y
hsa-mir-106b	6983	1010.962932	N
hsa-mir-107	413	59.792022	Y
hsa-mir-10a	103068	14921.656526	N
hsa-mir-10b	372215	53887.379048	N
hsa-mir-1-1	25	3.619372	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.144775	N
hsa-mir-1180	253	36.628043	N
hsa-mir-1181	5	0.723874	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.144775	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	24	3.474597	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.144775	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	14	2.026848	N
hsa-mir-1227	1	0.144775	N
hsa-mir-1228	13	1.882073	N
hsa-mir-1229	4	0.579099	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	2	0.289550	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	1	0.144775	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	12	1.737298	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	78	11.292440	N
hsa-mir-1248	4	0.579099	N
hsa-mir-1249	15	2.171623	N
hsa-mir-1250	1	0.144775	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	1.013424	N
hsa-mir-1254-2	6	0.868649	N
hsa-mir-1255a	1	0.144775	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.144775	N
hsa-mir-125a	11010	1593.971343	N
hsa-mir-125b-1	1977	286.219922	N
hsa-mir-125b-2	1977	286.219922	N
hsa-mir-126	54475	7886.611162	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.144775	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	86	12.450639	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	16	2.316398	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	8700	1259.541388	N
hsa-mir-1270	6	0.868649	N
hsa-mir-1271	24	3.474597	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	0.723874	N
hsa-mir-1276	1	0.144775	N
hsa-mir-1277	9	1.302974	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	561	81.218703	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	364	52.698053	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.434325	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	127	18.386409	N
hsa-mir-1288	3	0.434325	N
hsa-mir-1289-1	5	0.723874	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.289550	N
hsa-mir-129-1	6	0.868649	N
hsa-mir-1292	3	0.434325	N
hsa-mir-129-2	4	0.579099	N
hsa-mir-1293	3	0.434325	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	10	1.447749	N
hsa-mir-1295b	1	0.144775	N
hsa-mir-1296	58	8.396943	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	80	11.581990	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	12	1.737298	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	94	13.608838	N
hsa-mir-1307	14406	2085.626809	N
hsa-mir-130a	275	39.813090	N
hsa-mir-130b	190	27.507226	N
hsa-mir-132	800	115.819898	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	21	3.040272	Y
hsa-mir-133a-2	13	1.882073	N
hsa-mir-133b	4	0.579099	Y
hsa-mir-134	3816	552.460912	N
hsa-mir-1343	10	1.447749	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	1	0.144775	N
hsa-mir-136	286	41.405613	N
hsa-mir-137	1	0.144775	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	1	0.144775	N
hsa-mir-139	413	59.792022	N
hsa-mir-140	4726	684.206046	N
hsa-mir-141	24821	3593.457102	N
hsa-mir-142	12648	1831.112583	N
hsa-mir-143	432298	62585.887693	N
hsa-mir-144	902	130.586935	N
hsa-mir-145	14250	2063.041929	N
hsa-mir-1468	24	3.474597	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	200	28.954974	N
hsa-mir-146b	1357	196.459502	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.289550	N
hsa-mir-148a	576874	83516.859613	N
hsa-mir-148b	1450	209.923565	N
hsa-mir-149	2202	318.794269	N
hsa-mir-150	2899	419.702354	N
hsa-mir-151a	21401	3098.327039	N
hsa-mir-151b	14	2.026848	N
hsa-mir-152	2148	310.976425	N
hsa-mir-153-1	9	1.302974	N
hsa-mir-153-2	572	82.811227	N
hsa-mir-1537	6	0.868649	N
hsa-mir-1538	4	0.579099	N
hsa-mir-1539	1	0.144775	N
hsa-mir-154	52	7.528293	N
hsa-mir-155	1457	210.936989	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1754	253.935126	N
hsa-mir-15b	3848	557.093708	N
hsa-mir-16-1	3939	570.268222	N
hsa-mir-16-2	4051	586.483007	N
hsa-mir-17	3804	550.723614	Y
hsa-mir-181a-1	4062	588.075531	N
hsa-mir-181a-2	8566	1240.141555	N
hsa-mir-181b-1	739	106.988631	N
hsa-mir-181b-2	626	90.629070	N
hsa-mir-181c	1540	222.953303	N
hsa-mir-181d	379	54.869677	N
hsa-mir-182	82281	11912.221258	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	18159	2628.966904	N
hsa-mir-184	19	2.750723	N
hsa-mir-185	382	55.304001	N
hsa-mir-186	1205	174.453721	N
hsa-mir-187	18	2.605948	N
hsa-mir-188	16	2.316398	N
hsa-mir-18a	42	6.080545	Y
hsa-mir-18b	5	0.723874	Y
hsa-mir-1908	3	0.434325	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	22	3.185047	N
hsa-mir-190b	863	124.940715	N
hsa-mir-191	9813	1420.675821	N
hsa-mir-1910	1	0.144775	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.144775	N
hsa-mir-1914	2	0.289550	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1851	267.978288	Y
hsa-mir-193a	6159	891.668438	N
hsa-mir-193b	1074	155.488213	N
hsa-mir-194-1	208	30.113173	N
hsa-mir-194-2	196	28.375875	N
hsa-mir-195	747	108.146830	N
