miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	84027	12624.628144	N
hsa-let-7a-2	84090	12634.093573	Y
hsa-let-7a-3	84145	12642.357042	N
hsa-let-7b	152031	22841.882268	N
hsa-let-7c	24037	3611.436642	Y
hsa-let-7d	2801	420.835963	N
hsa-let-7e	6105	917.245110	N
hsa-let-7f-1	24710	3712.551459	N
hsa-let-7f-2	25103	3771.597704	N
hsa-let-7g	3316	498.212086	N
hsa-let-7i	3363	505.273596	N
hsa-mir-100	35613	5350.671595	N
hsa-mir-101-1	61847	9292.196280	N
hsa-mir-101-2	63788	9583.821629	N
hsa-mir-103a-1	92091	13836.203011	Y
hsa-mir-103a-2	92282	13864.899787	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.300490	N
hsa-mir-105-2	5	0.751224	N
hsa-mir-106a	121	18.179633	Y
hsa-mir-106b	3131	470.416779	N
hsa-mir-107	255	38.312449	Y
hsa-mir-10a	130091	19545.509180	N
hsa-mir-10b	875925	131603.263319	N
hsa-mir-1-1	46	6.911265	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	96	14.423510	N
hsa-mir-1181	1	0.150245	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	1.051714	N
hsa-mir-1185-2	2	0.300490	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	35	5.258571	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.150245	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.751224	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	2	0.300490	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	17	2.554163	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	135	20.283061	N
hsa-mir-1248	7	1.051714	N
hsa-mir-1249	3	0.450735	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	3	0.450735	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.300490	N
hsa-mir-1254-2	7	1.051714	N
hsa-mir-1255a	1	0.150245	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.751224	N
hsa-mir-125a	6715	1008.894498	N
hsa-mir-125b-1	3614	542.985066	N
hsa-mir-125b-2	3768	566.122780	N
hsa-mir-126	15874	2384.987530	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	2.103429	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	52	7.812735	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	5872	882.238048	N
hsa-mir-1270	20	3.004898	N
hsa-mir-1271	10	1.502449	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.150245	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	6	0.901469	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	420	63.102858	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	232	34.856817	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	199	29.898735	N
hsa-mir-1288	4	0.600980	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.600980	N
hsa-mir-129-1	5	0.751224	N
hsa-mir-1292	6	0.901469	N
hsa-mir-129-2	1	0.150245	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.300490	N
hsa-mir-1295a	13	1.953184	N
hsa-mir-1295b	1	0.150245	N
hsa-mir-1296	26	3.906367	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.150245	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	31	4.657592	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	34	5.108327	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	32	4.807837	N
hsa-mir-1307	6648	998.828090	N
hsa-mir-130a	587	88.193756	N
hsa-mir-130b	80	12.019592	N
hsa-mir-132	1010	151.747348	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.150245	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	16	2.403918	N
hsa-mir-133a-2	20	3.004898	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	2323	349.018901	N
hsa-mir-1343	5	0.751224	N
hsa-mir-135a-1	5	0.751224	N
hsa-mir-135a-2	17	2.554163	N
hsa-mir-135b	16	2.403918	N
hsa-mir-136	387	58.144776	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.150245	N
hsa-mir-138-2	1	0.150245	N
hsa-mir-139	754	113.284654	N
hsa-mir-140	7811	1173.562908	N
hsa-mir-141	9902	1487.724992	N
hsa-mir-142	6573	987.559722	N
hsa-mir-143	252530	37941.344391	N
hsa-mir-144	164	24.640163	N
hsa-mir-145	17048	2561.375041	N
hsa-mir-1468	46	6.911265	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	556	83.536164	N
hsa-mir-146b	7028	1055.921151	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	3	0.450735	N
hsa-mir-148a	406430	61064.034376	N
hsa-mir-148b	732	109.979266	N
hsa-mir-149	362	54.388654	N
