miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	41956	8472.182201	N
hsa-let-7a-2	41906	8462.085692	Y
hsa-let-7a-3	42390	8559.819894	N
hsa-let-7b	114632	23147.659215	N
hsa-let-7c	19796	3997.409640	Y
hsa-let-7d	2142	432.534424	N
hsa-let-7e	4437	895.964163	N
hsa-let-7f-1	10822	2185.288297	N
hsa-let-7f-2	10882	2197.404107	N
hsa-let-7g	1638	330.761618	N
hsa-let-7i	2950	595.694001	N
hsa-mir-100	22064	4455.387265	N
hsa-mir-101-1	18356	3706.630195	N
hsa-mir-101-2	18436	3722.784609	N
hsa-mir-103a-1	44371	8959.843561	Y
hsa-mir-103a-2	44056	8896.235557	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.201930	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	31	6.259835	Y
hsa-mir-106b	1359	274.423101	N
hsa-mir-107	198	39.982174	Y
hsa-mir-10a	145291	29338.636289	N
hsa-mir-10b	435520	87944.627517	N
hsa-mir-1-1	5	1.009651	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.201930	N
hsa-mir-1180	28	5.654045	N
hsa-mir-1181	1	0.201930	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	1.009651	N
hsa-mir-1185-2	1	0.201930	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	4	0.807721	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.201930	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	1.211581	N
hsa-mir-1229	3	0.605791	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	29	5.855975	N
hsa-mir-1245b	1	0.201930	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	180	36.347431	N
hsa-mir-1248	6	1.211581	N
hsa-mir-1249	8	1.615441	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.201930	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.201930	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	1.413511	N
hsa-mir-125a	5603	1131.414741	N
hsa-mir-125b-1	3440	694.639784	N
hsa-mir-125b-2	3724	751.987952	N
hsa-mir-126	13369	2699.604439	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.605791	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
