miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	41772	8962.721413	N
hsa-let-7a-2	41434	8890.199153	Y
hsa-let-7a-3	41875	8984.821391	N
hsa-let-7b	137858	29579.212116	N
hsa-let-7c	14204	3047.651416	Y
hsa-let-7d	3833	822.419591	N
hsa-let-7e	2777	595.841170	N
hsa-let-7f-1	10955	2350.536557	N
hsa-let-7f-2	11110	2383.793807	N
hsa-let-7g	4522	970.253429	N
hsa-let-7i	4416	947.509762	N
hsa-mir-100	28390	6091.440700	Y
hsa-mir-101-1	65187	13986.711691	N
hsa-mir-101-2	66512	14271.007532	N
hsa-mir-103a-1	17983	3858.484611	Y
hsa-mir-103a-2	18005	3863.204995	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.214563	N
hsa-mir-105-2	1	0.214563	N
hsa-mir-106a	127	27.249488	Y
hsa-mir-106b	2258	484.483026	N
hsa-mir-107	253	54.284413	Y
hsa-mir-10a	58005	12445.720951	N
hsa-mir-10b	304885	65417.009431	N
hsa-mir-1-1	6	1.287377	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.214563	N
hsa-mir-1180	28	6.007761	N
hsa-mir-1181	2	0.429126	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.429126	N
hsa-mir-1185-2	2	0.429126	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	5	1.072814	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	8	1.716503	N
hsa-mir-1225	1	0.214563	N
hsa-mir-1226	10	2.145629	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	1.931066	N
hsa-mir-1229	5	1.072814	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
