miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	149592	10625.482292	N
hsa-let-7a-2	149948	10650.768883	Y
hsa-let-7a-3	149619	10627.400095	N
hsa-let-7b	392133	27853.108773	N
hsa-let-7c	36806	2614.320961	Y
hsa-let-7d	2491	176.935106	N
hsa-let-7e	15108	1073.117456	N
hsa-let-7f-1	35069	2490.942286	N
hsa-let-7f-2	35713	2536.685445	N
hsa-let-7g	6311	448.268749	N
hsa-let-7i	4020	285.539593	N
hsa-mir-100	145279	10319.130982	Y
hsa-mir-101-1	249533	17724.266490	N
hsa-mir-101-2	249847	17746.569831	N
hsa-mir-103a-1	32460	2305.625670	Y
hsa-mir-103a-2	32770	2327.644892	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.071030	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	60	4.261785	Y
hsa-mir-106b	2392	169.903161	N
hsa-mir-107	740	52.562015	Y
hsa-mir-10a	2663197	189166.215865	N
hsa-mir-10b	1040611	73914.338690	N
hsa-mir-1-1	45	3.196339	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.142059	N
hsa-mir-1180	110	7.813272	N
hsa-mir-1181	2	0.142059	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.071030	N
hsa-mir-1185-2	1	0.071030	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	61	4.332815	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.142059	N
hsa-mir-1224	3	0.213089	N
hsa-mir-1225	2	0.142059	N
hsa-mir-1226	2	0.142059	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	0.426178	N
hsa-mir-1229	5	0.355149	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.071030	N
hsa-mir-124-1	3	0.213089	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	2	0.142059	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.355149	N
hsa-mir-1245b	1	0.071030	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	25	1.775744	N
hsa-mir-1248	12	0.852357	N
hsa-mir-1249	1	0.071030	N
hsa-mir-1250	1	0.071030	N
hsa-mir-1251	62	4.403844	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	5	0.355149	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.142059	N
hsa-mir-125a	12310	874.376217	N
hsa-mir-125b-1	11651	827.567612	N
hsa-mir-125b-2	12018	853.635530	N
hsa-mir-126	33006	2344.407913	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	20	1.420595	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	16	1.136476	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	1	0.071030	N
hsa-mir-1269a	19	1.349565	N
hsa-mir-1269b	20	1.420595	N
hsa-mir-127	4873	346.127969	N
hsa-mir-1270	39	2.770160	N
hsa-mir-1271	25	1.775744	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.071030	N
hsa-mir-1276	1	0.071030	N
hsa-mir-1277	11	0.781327	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	747	53.059223	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	598	42.475790	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.071030	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	162	11.506819	N
hsa-mir-1288	8	0.568238	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	8	0.568238	N
hsa-mir-129-1	58	4.119725	N
hsa-mir-1292	2	0.142059	N
hsa-mir-129-2	60	4.261785	N
hsa-mir-1293	1	0.071030	N
hsa-mir-1294	1	0.071030	N
hsa-mir-1295a	1	0.071030	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	44	3.125309	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	16	1.136476	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	4	0.284119	N
hsa-mir-1306	31	2.201922	N
hsa-mir-1307	14710	1044.847616	N
hsa-mir-130a	332	23.581877	N
hsa-mir-130b	103	7.316064	N
hsa-mir-132	714	50.715241	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	16	1.136476	Y
hsa-mir-133a-2	19	1.349565	Y
hsa-mir-133b	9	0.639268	Y
hsa-mir-134	1184	84.099223	N
hsa-mir-1343	6	0.426178	N
hsa-mir-135a-1	39	2.770160	N
hsa-mir-135a-2	44	3.125309	N
hsa-mir-135b	12	0.852357	N
hsa-mir-136	376	26.707186	N
hsa-mir-137	7	0.497208	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	993	70.532541	N
hsa-mir-140	18592	1320.585103	N
hsa-mir-141	17929	1273.492379	N
hsa-mir-142	15059	1069.636998	N
hsa-mir-143	1426606	101331.466861	N
hsa-mir-144	2142	152.145723	N
hsa-mir-145	19275	1369.098422	N
hsa-mir-1468	822	58.386454	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	389	27.630573	N
hsa-mir-146b	1186	84.241283	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	5	0.355149	N
hsa-mir-148a	174131	12368.481316	N
hsa-mir-148b	1005	71.384898	N
hsa-mir-149	177	12.572266	N
hsa-mir-150	4132	293.494925	N
hsa-mir-151a	30549	2169.887818	N
hsa-mir-151b	19	1.349565	N
hsa-mir-152	2980	211.668654	N
hsa-mir-153-1	5	0.355149	N
hsa-mir-153-2	67	4.758993	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.071030	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	23	1.633684	N
hsa-mir-155	625	44.393593	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1499	106.473595	N
hsa-mir-15b	881	62.577209	N
hsa-mir-16-1	2416	171.607875	N
hsa-mir-16-2	2326	165.215197	N
hsa-mir-17	3780	268.492453	Y
hsa-mir-181a-1	13187	936.669307	N
hsa-mir-181a-2	27832	1976.899989	N
hsa-mir-181b-1	2649	188.157807	N
hsa-mir-181b-2	2626	186.524122	N
hsa-mir-181c	1127	80.050528	N
hsa-mir-181d	236	16.763021	N
hsa-mir-182	144798	10284.965673	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	31385	2229.268689	N
hsa-mir-184	8	0.568238	N
hsa-mir-185	1261	89.568514	N
hsa-mir-186	1212	86.088056	N
hsa-mir-187	2774	197.036525	N
hsa-mir-188	60	4.261785	N
hsa-mir-18a	45	3.196339	Y
hsa-mir-18b	9	0.639268	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	59	4.190755	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	1631	115.849521	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.071030	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	2	0.142059	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	13852	983.904091	Y
hsa-mir-193a	978	69.467095	N
hsa-mir-193b	302	21.450984	N
hsa-mir-194-1	1860	132.115334	N
hsa-mir-194-2	2111	149.943801	N
hsa-mir-195	570	40.486957	N
hsa-mir-196a-1	959	68.117530	N
hsa-mir-196a-2	1162	82.536569	N
hsa-mir-196b	4029	286.178861	N
