miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	14683	4269.238541	N
hsa-let-7a-2	14441	4198.874466	N
hsa-let-7a-3	14516	4220.681514	N
hsa-let-7b	40288	11714.164841	N
hsa-let-7c	4687	1362.795140	N
hsa-let-7d	1466	426.255105	N
hsa-let-7e	2555	742.893446	N
hsa-let-7f-1	3897	1133.094231	N
hsa-let-7f-2	3935	1144.143136	N
hsa-let-7g	1048	304.717155	N
hsa-let-7i	1681	488.768643	N
hsa-mir-100	9076	2638.943608	Y
hsa-mir-101-1	21082	6129.815905	N
hsa-mir-101-2	21426	6229.837567	N
hsa-mir-103a-1	28897	8402.110341	Y
hsa-mir-103a-2	29083	8456.191821	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.290761	N
hsa-mir-105-2	2	0.581521	N
hsa-mir-106a	71	20.644006	Y
hsa-mir-106b	825	239.877532	N
hsa-mir-107	106	30.820628	Y
hsa-mir-10a	37872	11011.687124	N
hsa-mir-10b	909654	264491.583206	N
hsa-mir-1-1	27	7.850537	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.290761	N
hsa-mir-1180	23	6.687495	N
hsa-mir-1181	1	0.290761	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	29	8.432059	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	123	35.763559	N
hsa-mir-1224	1	0.290761	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.581521	N
hsa-mir-1229	1	0.290761	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	2	0.581521	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.872282	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	12	3.489128	N
hsa-mir-1248	1	0.290761	N
hsa-mir-1249	3	0.872282	N
hsa-mir-1250	0	0.000000	N
