miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	20609	5579.757035	N
hsa-let-7a-2	20290	5493.389792	N
hsa-let-7a-3	20437	5533.189117	N
hsa-let-7b	69484	18812.355660	N
hsa-let-7c	7866	2129.669990	N
hsa-let-7d	2746	743.462216	N
hsa-let-7e	3507	949.498177	N
hsa-let-7f-1	5120	1386.207774	N
hsa-let-7f-2	5296	1433.858666	N
hsa-let-7g	1876	507.915192	N
hsa-let-7i	1705	461.618019	N
hsa-mir-100	10777	2917.804918	N
hsa-mir-101-1	24258	6567.700817	N
hsa-mir-101-2	24443	6617.788403	N
hsa-mir-103a-1	19635	5316.052665	Y
hsa-mir-103a-2	19408	5254.593844	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.270744	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	87	23.554702	Y
hsa-mir-106b	1185	320.831291	N
hsa-mir-107	104	28.157345	Y
hsa-mir-10a	118740	32148.107637	N
hsa-mir-10b	1065309	288425.706573	N
hsa-mir-1-1	39	10.559005	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.541487	N
hsa-mir-1180	8	2.165950	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.270744	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	24	6.497849	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	187	50.629073	N
hsa-mir-1224	8	2.165950	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.270744	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.541487	N
hsa-mir-1229	1	0.270744	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.270744	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.270744	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	1.624462	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	80	21.659496	N
hsa-mir-1248	2	0.541487	N
hsa-mir-1249	2	0.541487	N
hsa-mir-1250	1	0.270744	N
hsa-mir-1251	6	1.624462	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.270744	N
hsa-mir-1255a	2	0.541487	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	3242	877.751094	N
hsa-mir-125b-1	657	177.878615	N
hsa-mir-125b-2	672	181.939770	N
hsa-mir-126	120457	32612.974580	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	1.353719	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	11	2.978181	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1026	277.783042	N
hsa-mir-1269b	3	0.812231	N
hsa-mir-127	771	208.743397	N
hsa-mir-1270	36	9.746773	N
hsa-mir-1271	27	7.310080	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	12	3.248924	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	101	27.345114	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	63	17.056853	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	71	19.222803	N
hsa-mir-1288	3	0.812231	N
hsa-mir-1289-1	0	0.000000	N
