miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	148763	10784.423390	N
hsa-let-7a-2	148075	10734.547526	Y
hsa-let-7a-3	148682	10778.551377	N
hsa-let-7b	221963	16090.983437	N
hsa-let-7c	33278	2412.454989	Y
hsa-let-7d	5801	420.537634	N
hsa-let-7e	10547	764.594109	N
hsa-let-7f-1	59750	4331.515885	N
hsa-let-7f-2	59927	4344.347321	N
hsa-let-7g	4942	358.265297	N
hsa-let-7i	8066	584.736521	N
hsa-mir-100	114575	8305.998870	Y
hsa-mir-101-1	218789	15860.887513	N
hsa-mir-101-2	221196	16035.380547	N
hsa-mir-103a-1	155114	11244.832719	Y
hsa-mir-103a-2	155256	11255.126866	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	105	7.611869	Y
hsa-mir-106b	4137	299.907635	N
hsa-mir-107	1169	84.745474	Y
hsa-mir-10a	412717	29919.501949	N
hsa-mir-10b	2001783	145117.236193	N
hsa-mir-1-1	19	1.377386	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.072494	N
hsa-mir-1180	160	11.599038	N
hsa-mir-1181	3	0.217482	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.144988	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	17	1.232398	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	197	14.281316	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	0.797434	N
hsa-mir-1227	1	0.072494	N
hsa-mir-1228	17	1.232398	N
hsa-mir-1229	7	0.507458	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.144988	N
hsa-mir-124-2	1	0.072494	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.217482	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	8	0.579952	N
hsa-mir-1248	4	0.289976	N
hsa-mir-1249	20	1.449880	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	9	0.652446	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.072494	N
hsa-mir-1254-2	2	0.144988	N
hsa-mir-1255a	2	0.144988	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.072494	N
hsa-mir-125a	7175	520.144376	N
hsa-mir-125b-1	2981	216.104583	N
hsa-mir-125b-2	3421	248.001939	N
hsa-mir-126	108866	7892.130683	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	0.652446	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	30	2.174820	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	11	0.797434	N
hsa-mir-1269b	3	0.217482	N
hsa-mir-127	1569	113.743070	N
hsa-mir-1270	223	16.166160	N
hsa-mir-1271	76	5.509543	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	0.289976	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	3	0.217482	N
hsa-mir-1278	2	0.144988	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	2879	208.710196	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	2109	152.889824	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.072494	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	198	14.353810	N
hsa-mir-1288	4	0.289976	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	9	0.652446	N
hsa-mir-129-1	6	0.434964	N
hsa-mir-1292	3	0.217482	N
hsa-mir-129-2	4	0.289976	N
hsa-mir-1293	1	0.072494	N
hsa-mir-1294	5	0.362470	N
hsa-mir-1295a	38	2.754772	N
hsa-mir-1295b	1	0.072494	N
hsa-mir-1296	8	0.579952	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	73	5.292061	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.072494	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	6	0.434964	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	47	3.407218	N
hsa-mir-1307	15903	1152.871918	N
hsa-mir-130a	446	32.332319	N
hsa-mir-130b	116	8.409303	N
hsa-mir-132	1573	114.033046	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.072494	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	7	0.507458	N
hsa-mir-133a-2	7	0.507458	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	391	28.345150	N
hsa-mir-1343	2	0.144988	N
hsa-mir-135a-1	5	0.362470	N
hsa-mir-135a-2	4	0.289976	N
hsa-mir-135b	48	3.479712	N
hsa-mir-136	77	5.582037	N
hsa-mir-137	1	0.072494	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	3401	246.552059	N
hsa-mir-140	40110	2907.733927	N
hsa-mir-141	124	8.989255	N
hsa-mir-142	32304	2341.845843	N
hsa-mir-143	874124	63368.736256	N
hsa-mir-144	6207	449.970194	N
hsa-mir-145	9146	663.030030	N
hsa-mir-1468	760	55.095432	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1171	84.890462	N
hsa-mir-146b	14097	1021.947773	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	3	0.217482	N
hsa-mir-148a	265200	19225.406070	N
hsa-mir-148b	1957	141.870738	N
hsa-mir-149	13	0.942422	N
hsa-mir-150	9136	662.305090	N
hsa-mir-151a	27959	2026.859458	N
hsa-mir-151b	84	6.089495	N
hsa-mir-152	843	61.112433	N
hsa-mir-153-1	1	0.072494	N
hsa-mir-153-2	24	1.739856	N
hsa-mir-1537	1	0.072494	N
hsa-mir-1538	2	0.144988	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	14	1.014916	N
hsa-mir-155	21989	1594.070340	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	3599	260.905869	N
hsa-mir-15b	1933	140.130882	N
hsa-mir-16-1	2697	195.516290	N
hsa-mir-16-2	2570	186.309554	N
hsa-mir-17	9689	702.394266	Y
hsa-mir-181a-1	21739	1575.946842	N
hsa-mir-181a-2	24735	1793.138835	N
hsa-mir-181b-1	3944	285.916295	N
hsa-mir-181b-2	3651	264.675556	N
hsa-mir-181c	592	42.916442	N
hsa-mir-181d	138	10.004171	N
hsa-mir-182	9324	675.933960	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	1631	118.237697	N
hsa-mir-184	2	0.144988	N
hsa-mir-185	1063	77.061111	N
hsa-mir-186	2048	148.467691	N
hsa-mir-187	98	7.104411	N
hsa-mir-188	27	1.957338	N
hsa-mir-18a	58	4.204651	Y
hsa-mir-18b	3	0.217482	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	93	6.741941	N
hsa-mir-190b	1	0.072494	N
hsa-mir-191	3984	288.816055	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	2	0.144988	N
hsa-mir-1915	1	0.072494	N
hsa-mir-192	203476	14750.787049	Y
hsa-mir-193a	4375	317.161205	N
hsa-mir-193b	90	6.524459	N
hsa-mir-194-1	40251	2917.955580	N
hsa-mir-194-2	44237	3206.916623	N
hsa-mir-195	303	21.965679	N
hsa-mir-196a-1	1286	93.227271	N
hsa-mir-196a-2	1571	113.888058	N
hsa-mir-196b	13923	1009.333819	N
hsa-mir-197	1648	119.470095	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	123	8.916761	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	2618	189.789265	Y
hsa-mir-199a-2	4345	314.986385	Y
hsa-mir-199b	4929	357.322875	Y
hsa-mir-19a	201	14.571292	N
hsa-mir-19b-1	462	33.492223	N
hsa-mir-19b-2	369	26.750282	N
hsa-mir-200a	4559	330.500099	N
hsa-mir-200b	3605	261.340833	N
