miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	163617	9497.501447	N
hsa-let-7a-2	162117	9410.430714	N
hsa-let-7a-3	164915	9572.846655	N
hsa-let-7b	384671	22329.057367	N
hsa-let-7c	25658	1489.373917	N
hsa-let-7d	5383	312.467838	N
hsa-let-7e	18274	1060.753720	N
hsa-let-7f-1	84238	4889.776288	N
hsa-let-7f-2	85279	4950.203377	N
hsa-let-7g	5454	316.589186	N
hsa-let-7i	19272	1118.684781	N
hsa-mir-100	66655	3869.133152	Y
hsa-mir-101-1	78582	4561.461576	N
hsa-mir-101-2	78984	4584.796533	N
hsa-mir-103a-1	122574	7115.072043	Y
hsa-mir-103a-2	122140	7089.879577	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	12	0.696566	N
hsa-mir-105-2	6	0.348283	N
hsa-mir-106a	44	2.554075	Y
hsa-mir-106b	8494	493.052539	N
hsa-mir-107	846	49.107894	Y
hsa-mir-10a	538799	31275.749355	N
hsa-mir-10b	1601491	92961.997166	N
hsa-mir-1-1	48	2.786263	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.290236	N
hsa-mir-1180	196	11.377242	N
hsa-mir-1181	2	0.116094	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.116094	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	60	3.482829	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	410	23.799334	N
hsa-mir-1224	1	0.058047	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.232189	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	33	1.915556	N
hsa-mir-1229	11	0.638519	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.058047	N
hsa-mir-1243	2	0.116094	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	14	0.812660	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	74	4.295490	N
hsa-mir-1248	17	0.986802	N
hsa-mir-1249	27	1.567273	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	51	2.960405	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.116094	N
hsa-mir-1254-2	2	0.116094	N
hsa-mir-1255a	1	0.058047	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.058047	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	6622	384.388264	N
hsa-mir-125b-1	2910	168.917223	N
hsa-mir-125b-2	3441	199.740262	N
hsa-mir-126	36502	2118.837271	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.290236	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	391	22.696438	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	15	0.870707	N
hsa-mir-1269b	1158	67.218606	N
hsa-mir-127	2575	149.471426	N
hsa-mir-1270	76	4.411584	N
hsa-mir-1271	46	2.670169	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.174141	N
hsa-mir-1276	2	0.116094	N
hsa-mir-1277	5	0.290236	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	776	45.044593	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	608	35.292671	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.116094	N
hsa-mir-1287	474	27.514352	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	1	0.058047	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.058047	N
hsa-mir-129-1	15	0.870707	N
hsa-mir-1292	4	0.232189	N
hsa-mir-129-2	23	1.335085	N
hsa-mir-1293	55	3.192594	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	2	0.116094	N
hsa-mir-1295b	6	0.348283	N
hsa-mir-1296	40	2.321886	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	146	8.474885	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	5	0.290236	N
hsa-mir-1305	2	0.116094	N
hsa-mir-1306	72	4.179395	N
hsa-mir-1307	13292	771.562791	N
hsa-mir-130a	576	33.435162	N
hsa-mir-130b	173	10.042158	N
hsa-mir-132	1049	60.891466	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	17	0.986802	Y
hsa-mir-133a-2	11	0.638519	Y
hsa-mir-133b	2	0.116094	Y
hsa-mir-134	954	55.376986	N
hsa-mir-1343	4	0.232189	N
hsa-mir-135a-1	88	5.108150	N
hsa-mir-135a-2	100	5.804716	N
hsa-mir-135b	169	9.809969	N
hsa-mir-136	36	2.089698	N
hsa-mir-137	2	0.116094	N
hsa-mir-138-1	4	0.232189	N
hsa-mir-138-2	2	0.116094	N
hsa-mir-139	269	15.614685	N
hsa-mir-140	57131	3316.292043	N
hsa-mir-141	38	2.205792	N
hsa-mir-142	11411	662.376092	N
hsa-mir-143	1551600	90065.966529	N
hsa-mir-144	963	55.899411	N
hsa-mir-145	14030	814.401592	N
hsa-mir-1468	123	7.139800	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	652	37.846745	N
hsa-mir-146b	21521	1249.232834	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	6	0.348283	N
hsa-mir-148a	307017	17821.463551	N
hsa-mir-148b	1899	110.231548	N
hsa-mir-149	16	0.928754	N
hsa-mir-150	4406	255.755767	N
hsa-mir-151a	43021	2497.246678	N
hsa-mir-151b	53	3.076499	N
hsa-mir-152	6799	394.662610	N
hsa-mir-153-1	5	0.290236	N
hsa-mir-153-2	67	3.889159	N
hsa-mir-1537	1	0.058047	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	12	0.696566	N
hsa-mir-155	5537	321.407100	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1580	91.714506	N
hsa-mir-15b	2856	165.782676	N
hsa-mir-16-1	3058	177.508202	N
hsa-mir-16-2	3109	180.468607	N
hsa-mir-17	3246	188.421067	Y
hsa-mir-181a-1	16971	985.118277	N
hsa-mir-181a-2	28004	1625.552544	N
hsa-mir-181b-1	5406	313.802923	N
hsa-mir-181b-2	5209	302.367633	N
hsa-mir-181c	836	48.527422	N
hsa-mir-181d	334	19.387750	N
hsa-mir-182	227767	13221.226475	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	57035	3310.719516	N
hsa-mir-184	5	0.290236	N
hsa-mir-185	871	50.559072	N
hsa-mir-186	2899	168.278704	N
hsa-mir-187	15	0.870707	N
hsa-mir-188	10	0.580472	N
hsa-mir-18a	50	2.902358	Y
hsa-mir-18b	4	0.232189	Y
hsa-mir-1908	3	0.174141	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	137	7.952460	N
hsa-mir-190b	29	1.683368	N
hsa-mir-191	3736	216.864173	N
hsa-mir-1910	6	0.348283	N
hsa-mir-1911	5	0.290236	N
hsa-mir-1912	1	0.058047	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	65270	3788.737842	Y
hsa-mir-193a	6168	358.034855	N
hsa-mir-193b	820	47.598668	N
hsa-mir-194-1	21142	1227.232962	N
hsa-mir-194-2	22372	1298.630964	N
hsa-mir-195	2873	166.769478	N
hsa-mir-196a-1	3972	230.563302	N
hsa-mir-196a-2	4077	236.658253	N
hsa-mir-196b	9114	529.041776	N
hsa-mir-197	2881	167.233855	N
hsa-mir-1972-1	0	0.000000	N
