miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	11880	5454.285011	N
hsa-let-7a-2	11826	5429.492807	N
hsa-let-7a-3	12026	5521.315787	N
hsa-let-7b	31075	14266.995515	N
hsa-let-7c	6484	2976.901011	N
hsa-let-7d	1216	558.283718	N
hsa-let-7e	1922	882.418838	N
hsa-let-7f-1	3329	1528.393502	N
hsa-let-7f-2	3413	1566.959153	N
hsa-let-7g	1161	533.032399	N
hsa-let-7i	2273	1043.568168	N
hsa-mir-100	3802	1745.554850	N
hsa-mir-101-1	13718	6298.138197	N
hsa-mir-101-2	13632	6258.654316	N
hsa-mir-103a-1	28265	12976.882647	Y
hsa-mir-103a-2	28231	12961.272740	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	106	48.666179	Y
hsa-mir-106b	849	389.788550	N
hsa-mir-107	128	58.766707	Y
hsa-mir-10a	44223	20303.438220	N
hsa-mir-10b	230774	105951.781917	N
hsa-mir-1-1	11	5.050264	N
hsa-mir-1178	1	0.459115	N
hsa-mir-1179	1	0.459115	N
hsa-mir-1180	25	11.477872	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.459115	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	3	1.377345	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	118	54.175558	N
hsa-mir-1224	1	0.459115	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.459115	N
hsa-mir-1227	1	0.459115	N
hsa-mir-1228	2	0.918230	N
hsa-mir-1229	1	0.459115	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.918230	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	19	8.723183	N
hsa-mir-1248	4	1.836460	N
hsa-mir-1249	2	0.918230	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	37	16.987251	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.459115	N
hsa-mir-1254-2	1	0.459115	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	1142	524.309216	N
hsa-mir-125b-1	230	105.596427	N
hsa-mir-125b-2	280	128.552172	N
hsa-mir-126	39738	18244.307893	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.459115	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	1.377345	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	24	11.018758	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4	1.836460	N
