miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	194647	21363.275672	N
hsa-let-7a-2	195765	21485.980580	Y
hsa-let-7a-3	195414	21447.456946	Y
hsa-let-7b	425949	46749.582112	Y
hsa-let-7c	32646	3583.027211	Y
hsa-let-7d	5342	586.305562	N
hsa-let-7e	12344	1354.802668	N
hsa-let-7f-1	80491	8834.204597	N
hsa-let-7f-2	81066	8897.313114	N
hsa-let-7g	5198	570.500994	N
hsa-let-7i	5956	653.694482	N
hsa-mir-100	154942	17005.495380	Y
hsa-mir-101-1	68946	7567.095329	N
hsa-mir-101-2	69756	7655.996023	N
hsa-mir-103a-1	121446	13329.177317	Y
hsa-mir-103a-2	122272	13419.834074	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.109754	N
hsa-mir-105-2	2	0.219508	N
hsa-mir-106a	40	4.390158	Y
hsa-mir-106b	3185	349.566307	N
hsa-mir-107	788	86.486107	Y
hsa-mir-10a	337937	37089.918113	N
hsa-mir-10b	62191	6825.707446	N
hsa-mir-1-1	111	12.182688	N
hsa-mir-1178	1	0.109754	N
hsa-mir-1179	3	0.329262	N
hsa-mir-1180	100	10.975394	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.329262	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	116	12.731457	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.109754	N
hsa-mir-1226	2	0.219508	N
hsa-mir-1227	1	0.109754	N
hsa-mir-1228	4	0.439016	N
hsa-mir-1229	1	0.109754	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
