miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	155787	12343.093748	N
hsa-let-7a-2	154896	12272.499305	Y
hsa-let-7a-3	155525	12322.335337	N
hsa-let-7b	143300	11353.741545	N
hsa-let-7c	11837	937.852328	Y
hsa-let-7d	9563	757.681999	N
hsa-let-7e	25495	2019.983536	N
hsa-let-7f-1	141543	11214.533423	N
hsa-let-7f-2	142966	11327.278533	N
hsa-let-7g	12635	1001.078328	N
hsa-let-7i	8849	701.111367	N
hsa-mir-100	50308	3985.931819	Y
hsa-mir-101-1	79764	6319.747666	N
hsa-mir-101-2	80479	6376.397528	N
hsa-mir-103a-1	77351	6128.564287	Y
hsa-mir-103a-2	77309	6125.236602	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.079231	N
hsa-mir-106a	36	2.852301	Y
hsa-mir-106b	4840	383.475988	N
hsa-mir-107	817	64.731381	Y
hsa-mir-10a	652780	51720.135421	N
hsa-mir-10b	454663	36023.211390	N
hsa-mir-1-1	44	3.486145	N
hsa-mir-1178	1	0.079231	N
hsa-mir-1179	1	0.079231	N
hsa-mir-1180	342	27.096857	N
hsa-mir-1181	6	0.475383	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.079231	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	44	3.486145	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	0.396153	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.316922	N
hsa-mir-1227	1	0.079231	N
hsa-mir-1228	14	1.109228	N
hsa-mir-1229	4	0.316922	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.079231	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.079231	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.158461	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	119	9.428439	N
hsa-mir-1248	12	0.950767	N
hsa-mir-1249	17	1.346920	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	5	0.396153	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	16	1.267689	N
hsa-mir-125a	9874	782.322708	N
hsa-mir-125b-1	2122	168.127282	N
hsa-mir-125b-2	2231	176.763415	N
hsa-mir-126	31569	2501.230055	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.396153	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	125	9.903822	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2161	171.217275	N
hsa-mir-1269b	556	44.052200	N
hsa-mir-127	2461	194.986448	N
hsa-mir-1270	41	3.248454	N
hsa-mir-1271	24	1.901534	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.079231	N
hsa-mir-1275	7	0.554614	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	17	1.346920	N
hsa-mir-1278	1	0.079231	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	674	53.401408	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	548	43.418356	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.237692	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.079231	N
hsa-mir-1287	491	38.902213	N
hsa-mir-1288	5	0.396153	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.158461	N
hsa-mir-129-1	31	2.456148	N
hsa-mir-1292	5	0.396153	N
hsa-mir-129-2	20	1.584612	N
hsa-mir-1293	4	0.316922	N
