miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	101180	18031.944593	N
hsa-let-7a-2	101506	18090.043169	Y
hsa-let-7a-3	102070	18190.557270	N
hsa-let-7b	136765	24373.778437	N
hsa-let-7c	19816	3531.537992	Y
hsa-let-7d	3027	539.461319	N
hsa-let-7e	8626	1537.295454	N
hsa-let-7f-1	62952	11219.084562	N
hsa-let-7f-2	63112	11247.599201	N
hsa-let-7g	6603	1176.763492	N
hsa-let-7i	4767	849.558014	N
hsa-mir-100	51686	9211.297571	Y
hsa-mir-101-1	55106	9820.797971	N
hsa-mir-101-2	56006	9981.192814	N
hsa-mir-103a-1	41675	7427.172276	Y
hsa-mir-103a-2	41507	7397.231906	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.534649	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	33	5.881144	Y
hsa-mir-106b	1780	317.225355	N
hsa-mir-107	402	71.643030	Y
hsa-mir-10a	208381	37136.930681	N
hsa-mir-10b	46093	8214.532735	N
hsa-mir-1-1	140	24.950309	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.178216	N
hsa-mir-1180	108	19.247381	N
hsa-mir-1181	5	0.891082	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.178216	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	148	26.376041	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	0.712866	N
hsa-mir-1225	1	0.178216	N
hsa-mir-1226	7	1.247515	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.356433	N
hsa-mir-1229	3	0.534649	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.178216	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.178216	N
hsa-mir-124-3	1	0.178216	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	1.069299	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	193	34.395783	N
hsa-mir-1248	16	2.851464	N
hsa-mir-1249	9	1.603948	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	4	0.712866	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.178216	N
hsa-mir-1254-2	3	0.534649	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.891082	N
hsa-mir-125a	4438	790.924789	N
hsa-mir-125b-1	2063	367.660622	N
hsa-mir-125b-2	2053	365.878457	N
hsa-mir-126	24721	4405.689882	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	1.782165	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	26	4.633629	N
hsa-mir-1267	1	0.178216	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1774	316.156056	N
hsa-mir-1269b	2	0.356433	N
hsa-mir-127	3007	535.896989	N
hsa-mir-1270	9	1.603948	N
hsa-mir-1271	14	2.495031	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.356433	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	12	2.138598	N
hsa-mir-1278	2	0.356433	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	468	83.405318	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	382	68.078700	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.178216	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.178216	N
hsa-mir-1287	337	60.058958	N
hsa-mir-1288	3	0.534649	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	8	1.425732	N
hsa-mir-129-1	8	1.425732	N
hsa-mir-1292	1	0.178216	N
hsa-mir-129-2	9	1.603948	N
hsa-mir-1293	4	0.712866	N
hsa-mir-1294	3	0.534649	N
hsa-mir-1295a	5	0.891082	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	4	0.712866	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.178216	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	63	11.227639	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
