miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	4992	3274.080264	N
hsa-let-7a-2	4772	3129.789867	N
hsa-let-7a-3	4819	3160.615543	N
hsa-let-7b	5520	3620.377214	N
hsa-let-7c	322	211.188671	N
hsa-let-7d	163	106.906066	N
hsa-let-7e	898	588.967163	N
hsa-let-7f-1	2432	1595.064744	N
hsa-let-7f-2	2464	1616.052438	N
hsa-let-7g	255	167.245687	N
hsa-let-7i	241	158.063570	N
hsa-mir-100	2891	1896.106980	Y
hsa-mir-101-1	3007	1972.187370	N
hsa-mir-101-2	3132	2054.170550	N
hsa-mir-103a-1	36978	24252.592144	Y
hsa-mir-103a-2	37030	24286.697147	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	660	432.871189	N
hsa-mir-105-2	654	428.935996	N
hsa-mir-106a	46	30.169810	Y
hsa-mir-106b	3478	2281.099991	N
hsa-mir-107	202	132.484818	Y
hsa-mir-10a	10280	6742.296696	N
hsa-mir-10b	20601	13511.483876	N
hsa-mir-1-1	3	1.967596	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	110	72.145198	N
hsa-mir-1181	1	0.655865	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	2	1.311731	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	2.623462	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	1.967596	N
hsa-mir-1229	1	0.655865	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
