miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	121439	15000.728796	N
hsa-let-7a-2	121911	15059.032504	N
hsa-let-7a-3	122091	15081.266969	N
hsa-let-7b	133229	16457.086247	N
hsa-let-7c	25885	3197.439578	N
hsa-let-7d	5680	701.620892	N
hsa-let-7e	11978	1479.580114	N
hsa-let-7f-1	79745	9850.485576	N
hsa-let-7f-2	80663	9963.881347	N
hsa-let-7g	6932	856.273948	N
hsa-let-7i	5221	644.923007	N
hsa-mir-100	56462	6974.457541	Y
hsa-mir-101-1	60809	7511.419868	N
hsa-mir-101-2	61315	7573.923420	N
hsa-mir-103a-1	74710	9228.538183	Y
hsa-mir-103a-2	74743	9232.614501	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1847	228.150315	N
hsa-mir-105-2	1895	234.079506	N
hsa-mir-106a	73	9.017311	Y
hsa-mir-106b	4558	563.026061	N
hsa-mir-107	665	82.143995	Y
hsa-mir-10a	575290	71062.585078	N
hsa-mir-10b	34911	4312.374468	N
hsa-mir-1-1	155	19.146345	N
hsa-mir-1178	1	0.123525	N
hsa-mir-1179	1	0.123525	N
hsa-mir-1180	130	16.058225	N
hsa-mir-1181	1	0.123525	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.123525	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	140	17.293473	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	23	2.841071	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	0.864674	N
hsa-mir-1227	1	0.123525	N
hsa-mir-1228	3	0.370574	N
hsa-mir-1229	12	1.482298	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.123525	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.741149	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.123525	N
hsa-mir-1247	144	17.787572	N
hsa-mir-1248	43	5.311567	N
hsa-mir-1249	5	0.617624	N
hsa-mir-1250	2	0.247050	N
hsa-mir-1251	4	0.494099	N
hsa-mir-1252	1	0.123525	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.247050	N
hsa-mir-1254-2	3	0.370574	N
hsa-mir-1255a	2	0.247050	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.123525	N
hsa-mir-125a	6286	776.476924	N
hsa-mir-125b-1	2171	268.172352	N
hsa-mir-125b-2	2320	286.577548	N
hsa-mir-126	18421	2275.450433	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	33	4.076319	N
hsa-mir-1263	1	0.123525	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	97	11.981906	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
