miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	51929	7750.664110	N
hsa-let-7a-2	51931	7750.962620	N
hsa-let-7a-3	52860	7889.620537	N
hsa-let-7b	68022	10152.625202	N
hsa-let-7c	3205	478.362350	N
hsa-let-7d	4746	708.364341	N
hsa-let-7e	33392	4983.923741	N
hsa-let-7f-1	25954	3873.764877	N
hsa-let-7f-2	26197	3910.033848	N
hsa-let-7g	4119	614.781441	N
hsa-let-7i	2319	346.122399	N
hsa-mir-100	28301	4224.066417	Y
hsa-mir-101-1	14985	2236.586526	N
hsa-mir-101-2	15105	2254.497128	N
hsa-mir-103a-1	156031	23288.410556	Y
hsa-mir-103a-2	156963	23427.516238	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	16	2.388080	N
hsa-mir-105-2	18	2.686590	N
hsa-mir-106a	441	65.821465	Y
hsa-mir-106b	8849	1320.757702	N
hsa-mir-107	1305	194.777806	Y
hsa-mir-10a	244840	36543.599930	N
hsa-mir-10b	1292582	192924.356659	N
hsa-mir-1-1	3	0.447765	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.149255	N
hsa-mir-1180	241	35.970461	N
hsa-mir-1181	6	0.895530	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	81	12.089657	N
hsa-mir-1185-2	21	3.134355	N
hsa-mir-1193	3	0.447765	N
hsa-mir-1197	165	24.627079	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	5	0.746275	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	0.746275	N
hsa-mir-1225	2	0.298510	N
hsa-mir-1226	28	4.179141	N
hsa-mir-1227	2	0.298510	N
hsa-mir-1228	12	1.791060	N
hsa-mir-1229	17	2.537335	N
hsa-mir-1231	1	0.149255	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.149255	N
hsa-mir-1236	3	0.447765	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.597020	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	40	5.970201	N
hsa-mir-1247	288	42.985447	N
hsa-mir-1248	41	6.119456	N
hsa-mir-1249	7	1.044785	N
hsa-mir-1250	10	1.492550	N
hsa-mir-1251	3	0.447765	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.597020	N
hsa-mir-1254-2	2	0.298510	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.447765	N
hsa-mir-1257	1	0.149255	N
hsa-mir-1258	1	0.149255	N
hsa-mir-125a	8084	1206.577609	N
hsa-mir-125b-1	3040	453.735271	N
hsa-mir-125b-2	3095	461.944297	N
hsa-mir-126	8631	1288.220107	N
hsa-mir-1260a	1	0.149255	N
hsa-mir-1260b	2	0.298510	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	1.044785	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	82	12.238912	N
hsa-mir-1267	2	0.298510	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	17625	2630.619787	N
hsa-mir-1269b	2805	418.660341	N
hsa-mir-127	69761	10412.179688	N
hsa-mir-1270	2	0.298510	N
hsa-mir-1271	90	13.432952	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.298510	N
hsa-mir-1276	15	2.238825	N
hsa-mir-1277	11	1.641805	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	1051	156.867030	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	945	141.045997	N
hsa-mir-1283-1	20	2.985100	N
hsa-mir-1283-2	38	5.671691	Y
hsa-mir-1284	5	0.746275	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	4	0.597020	N
hsa-mir-1287	1050	156.717775	N
hsa-mir-1288	19	2.835845	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	1	0.149255	N
hsa-mir-1291	4	0.597020	N
hsa-mir-129-1	11	1.641805	N
hsa-mir-1292	16	2.388080	N
hsa-mir-129-2	7	1.044785	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	4	0.597020	N
hsa-mir-1295a	21	3.134355	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	76	11.343382	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	8	1.194040	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	355	52.985533	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.149255	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
