miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	101740	11171.813911	N
hsa-let-7a-2	102017	11202.230585	N
hsa-let-7a-3	101641	11160.942970	N
hsa-let-7b	313747	34451.770190	N
hsa-let-7c	14998	1646.892717	N
hsa-let-7d	7634	838.270370	N
hsa-let-7e	9525	1045.916331	N
hsa-let-7f-1	39384	4324.658139	N
hsa-let-7f-2	39744	4364.188835	N
hsa-let-7g	7151	785.233352	N
hsa-let-7i	9996	1097.635658	N
hsa-mir-100	70291	7718.478196	Y
hsa-mir-101-1	49584	5444.694525	N
hsa-mir-101-2	49951	5484.993873	N
hsa-mir-103a-1	47468	5212.341879	Y
hsa-mir-103a-2	47708	5238.695676	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.329422	N
hsa-mir-105-2	3	0.329422	N
hsa-mir-106a	82	9.004214	Y
hsa-mir-106b	6786	745.153619	N
hsa-mir-107	888	97.509050	Y
hsa-mir-10a	286200	31426.903296	N
hsa-mir-10b	43522	4779.041528	N
hsa-mir-1-1	96	10.541519	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.329422	N
hsa-mir-1180	355	38.981659	N
hsa-mir-1181	3	0.329422	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.109807	N
hsa-mir-1185-2	1	0.109807	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.219615	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	105	11.529786	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	52	5.709989	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	12	1.317690	N
hsa-mir-1227	1	0.109807	N
hsa-mir-1228	18	1.976535	N
hsa-mir-1229	5	0.549037	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.109807	N
hsa-mir-1236	2	0.219615	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.329422	N
hsa-mir-124-2	3	0.329422	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	1.207882	N
hsa-mir-1245b	1	0.109807	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	417	45.789723	N
hsa-mir-1248	34	3.733455	N
hsa-mir-1249	9	0.988267	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	3	0.329422	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.768652	N
hsa-mir-1254-2	3	0.329422	N
hsa-mir-1255a	4	0.439230	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	6	0.658845	N
hsa-mir-125a	9804	1076.552620	N
hsa-mir-125b-1	4951	543.656877	N
hsa-mir-125b-2	5123	562.543765	N
hsa-mir-126	46835	5142.833738	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.109807	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	105	11.529786	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	20	2.196150	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	12290	1349.534037	N
hsa-mir-1270	6	0.658845	N
hsa-mir-1271	43	4.721722	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	4	0.439230	N
hsa-mir-1275	6	0.658845	N
hsa-mir-1276	1	0.109807	N
hsa-mir-1277	11	1.207882	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	785	86.198879	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	647	71.045445	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.219615	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	930	102.120965	N
hsa-mir-1288	4	0.439230	N
hsa-mir-1289-1	1	0.109807	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	12	1.317690	N
hsa-mir-129-1	214	23.498803	N
hsa-mir-1292	6	0.658845	N
hsa-mir-129-2	222	24.377263	N
hsa-mir-1293	1	0.109807	N
hsa-mir-1294	5	0.549037	N
hsa-mir-1295a	6	0.658845	N
hsa-mir-1295b	2	0.219615	N
hsa-mir-1296	73	8.015947	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	332	36.456086	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.109807	N
hsa-mir-1304	1	0.109807	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	110	12.078824	N
hsa-mir-1307	10117	1110.922364	N
