miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	40609	6395.466588	N
hsa-let-7a-2	40397	6362.078942	N
hsa-let-7a-3	40615	6396.411521	N
hsa-let-7b	29067	4577.729747	N
hsa-let-7c	1504	236.863300	N
hsa-let-7d	5439	856.582107	N
hsa-let-7e	15778	2484.859805	N
hsa-let-7f-1	46461	7317.091608	N
hsa-let-7f-2	46815	7372.842678	N
hsa-let-7g	3528	555.620826	N
hsa-let-7i	4126	649.799186	N
hsa-mir-100	14782	2328.000864	Y
hsa-mir-101-1	16365	2577.305787	N
hsa-mir-101-2	16494	2597.621855	N
hsa-mir-103a-1	49048	7724.515383	Y
hsa-mir-103a-2	49894	7857.750989	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2352	370.413884	N
hsa-mir-105-2	2249	354.192528	N
hsa-mir-106a	27	4.252200	Y
hsa-mir-106b	7489	1179.434344	N
hsa-mir-107	1162	183.002097	Y
hsa-mir-10a	68721	10822.794439	N
hsa-mir-10b	23676	3728.707108	N
hsa-mir-1-1	1	0.157489	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	241	37.954824	N
hsa-mir-1181	2	0.314978	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.157489	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	1	0.157489	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	2	0.314978	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.314978	N
hsa-mir-1224	2377	374.351106	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	19	2.992289	N
hsa-mir-1227	2	0.314978	N
hsa-mir-1228	7	1.102422	N
hsa-mir-1229	10	1.574889	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	3	0.472467	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.157489	N
hsa-mir-1243	4	0.629956	N
hsa-mir-124-3	1	0.157489	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.157489	N
hsa-mir-1247	23	3.622245	N
hsa-mir-1248	2	0.314978	N
hsa-mir-1249	5	0.787444	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	70	11.024223	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	1.417400	N
hsa-mir-1254-2	9	1.417400	N
hsa-mir-1255a	7	1.102422	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	1476	232.453611	N
hsa-mir-125b-1	271	42.679491	N
hsa-mir-125b-2	293	46.144247	N
hsa-mir-126	1637	257.809323	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.157489	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	1.574889	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	153	24.095801	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	5497	865.716463	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1708	268.991035	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	2	0.314978	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.472467	N
hsa-mir-1276	16	2.519822	N
hsa-mir-1277	5	0.787444	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	910	143.314896	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	896	141.110051	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.157489	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	1281	201.743276	N
hsa-mir-1288	14	2.204845	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.157489	N
hsa-mir-129-1	8	1.259911	N
hsa-mir-1292	6	0.944933	N
hsa-mir-129-2	5	0.787444	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.157489	N
hsa-mir-1295a	1	0.157489	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	15	2.362333	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	449	70.712514	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	10	1.574889	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	246	38.742268	N
hsa-mir-1307	11728	1847.029775	N
hsa-mir-130a	85	13.386556	N
hsa-mir-130b	1364	214.814854	N
hsa-mir-132	747	117.644205	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1	0.157489	N
hsa-mir-133a-2	2	0.314978	Y
hsa-mir-133b	2	0.314978	Y
hsa-mir-134	495	77.957004	N
hsa-mir-1343	13	2.047356	N
hsa-mir-135a-1	10	1.574889	N
hsa-mir-135a-2	14	2.204845	N
hsa-mir-135b	122	19.213645	N
hsa-mir-136	51	8.031934	N
hsa-mir-137	20	3.149778	N
hsa-mir-138-1	7	1.102422	N
hsa-mir-138-2	6	0.944933	N
hsa-mir-139	83	13.071578	N
hsa-mir-140	2221	349.782839	N
hsa-mir-141	12592	1983.100182	N
hsa-mir-142	1855	292.141903	N
hsa-mir-143	415310	65406.713500	N
hsa-mir-144	149	23.465846	N
hsa-mir-145	1035	163.001008	N
hsa-mir-1468	5	0.787444	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	686	108.037383	N
hsa-mir-146b	3151	496.247512	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	85	13.386556	N
hsa-mir-148a	148564	23397.180382	N
hsa-mir-148b	3544	558.140648	N
hsa-mir-149	10	1.574889	N
hsa-mir-150	481	75.752159	N
hsa-mir-151a	54174	8531.803465	N
hsa-mir-151b	19	2.992289	N
hsa-mir-152	1047	164.890874	N
hsa-mir-153-1	31	4.882156	N
hsa-mir-153-2	239	37.639846	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	7	1.102422	N
hsa-mir-155	1963	309.150703	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	332	52.286314	N
hsa-mir-15b	1176	185.206942	N
hsa-mir-16-1	906	142.684940	N
hsa-mir-16-2	958	150.874363	N
hsa-mir-17	2963	466.639600	Y
hsa-mir-181a-1	6087	958.634911	N
hsa-mir-181a-2	8246	1298.653438	N
hsa-mir-181b-1	3185	501.602135	N
hsa-mir-181b-2	3171	499.397290	N
hsa-mir-181c	1070	168.513119	N
hsa-mir-181d	341	53.703714	N
hsa-mir-182	181261	28546.594822	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	119892	18881.658749	N
hsa-mir-184	2	0.314978	N
hsa-mir-185	1270	200.010898	N
hsa-mir-186	1015	159.851230	N
hsa-mir-187	263	41.419580	N
hsa-mir-188	24	3.779734	N
hsa-mir-18a	104	16.378845	Y
hsa-mir-18b	12	1.889867	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	78	12.284134	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	2548	401.281708	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
