miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	82416	9491.585857	N
hsa-let-7a-2	82813	9537.307071	Y
hsa-let-7a-3	83126	9573.354275	N
hsa-let-7b	157859	18180.113713	N
hsa-let-7c	12870	1482.196539	Y
hsa-let-7d	6610	761.252457	N
hsa-let-7e	8879	1022.565895	N
hsa-let-7f-1	35910	4135.639295	N
hsa-let-7f-2	36547	4209.000538	N
hsa-let-7g	5293	609.577800	N
hsa-let-7i	5340	614.990639	N
hsa-mir-100	85840	9885.916933	Y
hsa-mir-101-1	64072	7378.966330	N
hsa-mir-101-2	63501	7313.206095	N
hsa-mir-103a-1	35921	4136.906130	Y
hsa-mir-103a-2	35868	4130.802290	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	7	0.806168	N
hsa-mir-105-2	5	0.575834	N
hsa-mir-106a	47	5.412839	Y
hsa-mir-106b	3446	396.864745	N
hsa-mir-107	666	76.701080	Y
hsa-mir-10a	363114	41818.672429	N
hsa-mir-10b	32767	3773.670086	N
hsa-mir-1-1	21	2.418503	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.230334	N
hsa-mir-1180	97	11.171178	N
hsa-mir-1181	3	0.345500	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.345500	N
hsa-mir-1185-2	4	0.460667	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	22	2.533669	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.115167	N
hsa-mir-1224	1	0.115167	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	1.266835	N
hsa-mir-1227	1	0.115167	N
hsa-mir-1228	22	2.533669	N
hsa-mir-1229	6	0.691001	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.115167	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.345500	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	25	2.879170	N
hsa-mir-1245b	2	0.230334	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	278	32.016367	N
hsa-mir-1248	13	1.497168	N
hsa-mir-1249	20	2.303336	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.115167	N
hsa-mir-1252	5	0.575834	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.230334	N
hsa-mir-1254-2	3	0.345500	N
hsa-mir-1255a	7	0.806168	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.230334	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	11	1.266835	N
hsa-mir-125a	7611	876.534410	N
hsa-mir-125b-1	5786	666.355025	N
hsa-mir-125b-2	5942	684.321044	N
hsa-mir-126	19490	2244.600664	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	17	1.957835	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	218	25.106359	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	8297	955.538826	N
hsa-mir-1269b	1	0.115167	N
hsa-mir-127	15186	1748.922816	N
hsa-mir-1270	30	3.455004	N
hsa-mir-1271	63	7.255508	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	0.575834	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	52	5.988673	N
hsa-mir-1278	1	0.115167	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	662	76.240413	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	515	59.310895	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	4	0.460667	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	436	50.212719	N
hsa-mir-1288	3	0.345500	N
hsa-mir-1289-1	1	0.115167	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.460667	N
hsa-mir-129-1	24	2.764003	N
hsa-mir-1292	3	0.345500	N
hsa-mir-129-2	21	2.418503	N
hsa-mir-1293	1	0.115167	N
hsa-mir-1294	4	0.460667	N
hsa-mir-1295a	15	1.727502	N
hsa-mir-1295b	2	0.230334	N
hsa-mir-1296	92	10.595344	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.115167	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	67	7.716175	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	5	0.575834	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	151	17.390185	N
hsa-mir-1307	16922	1948.852357	N
hsa-mir-130a	1544	177.817518	N
hsa-mir-130b	368	42.381377	N
hsa-mir-132	835	96.164267	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	22	2.533669	Y
hsa-mir-133a-2	24	2.764003	Y
hsa-mir-133b	5	0.575834	Y
hsa-mir-134	5981	688.812549	N
hsa-mir-1343	14	1.612335	N
hsa-mir-135a-1	1	0.115167	N
hsa-mir-135a-2	4	0.460667	N
hsa-mir-135b	810	93.285097	N
hsa-mir-136	921	106.068610	N
hsa-mir-137	2	0.230334	N
hsa-mir-138-1	61	7.025174	N
hsa-mir-138-2	26	2.994336	N
hsa-mir-139	172	19.808687	N
hsa-mir-140	5842	672.804365	N
hsa-mir-141	11864	1366.338752	N
hsa-mir-142	47274	5444.394654	N
hsa-mir-143	423881	48817.012530	N
hsa-mir-144	201	23.148524	N
hsa-mir-145	22976	2646.072081	N
hsa-mir-1468	22	2.533669	N
