miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	44989	5187.100654	N
hsa-let-7a-2	44739	5158.276382	N
hsa-let-7a-3	44819	5167.500149	Y
hsa-let-7b	75315	8683.600119	Y
hsa-let-7c	19573	2256.709887	N
hsa-let-7d	5620	647.969630	N
hsa-let-7e	7605	876.834348	N
hsa-let-7f-1	15751	1816.044420	N
hsa-let-7f-2	15985	1843.023938	N
hsa-let-7g	5444	627.677342	N
hsa-let-7i	6043	696.740298	N
hsa-mir-100	38030	4384.748225	Y
hsa-mir-101-1	37207	4289.858722	N
hsa-mir-101-2	36928	4257.690835	N
hsa-mir-103a-1	45648	5263.081435	Y
hsa-mir-103a-2	45571	5254.203559	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	378	43.582299	N
hsa-mir-105-2	406	46.810617	N
hsa-mir-106a	428	49.347153	Y
hsa-mir-106b	9879	1139.019924	N
hsa-mir-107	676	77.940831	Y
hsa-mir-10a	731591	84350.311291	N
hsa-mir-10b	206464	23804.697803	N
hsa-mir-1-1	5	0.576485	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.115297	N
hsa-mir-1180	372	42.890516	N
hsa-mir-1181	5	0.576485	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	12	1.383565	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	267	30.784322	N
hsa-mir-1225	2	0.230594	N
hsa-mir-1226	30	3.458913	N
hsa-mir-1227	1	0.115297	N
hsa-mir-1228	17	1.960050	N
hsa-mir-1229	8	0.922377	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.115297	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.345891	N
hsa-mir-124-2	8	0.922377	N
hsa-mir-1243	4	0.461188	N
hsa-mir-124-3	6	0.691783	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.345891	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	34	3.920101	N
hsa-mir-1247	50	5.764854	N
hsa-mir-1248	38	4.381289	N
hsa-mir-1249	17	1.960050	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	75	8.647282	N
hsa-mir-1252	6	0.691783	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.576485	N
hsa-mir-1254-2	6	0.691783	N
hsa-mir-1255a	3	0.345891	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.345891	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	10	1.152971	N
hsa-mir-125a	6190	713.688970	N
hsa-mir-125b-1	3564	410.918819	N
hsa-mir-125b-2	3935	453.694038	N
hsa-mir-126	24808	2860.290138	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.576485	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	89	10.261441	N
hsa-mir-1267	6	0.691783	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	573	66.065231	N
hsa-mir-1269b	4	0.461188	N
hsa-mir-127	2064	237.973188	N
hsa-mir-1270	8	0.922377	N
hsa-mir-1271	49	5.649557	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
