miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	113406	13722.132326	N
hsa-let-7a-2	114012	13795.458360	Y
hsa-let-7a-3	113670	13754.076341	N
hsa-let-7b	170383	20616.352504	N
hsa-let-7c	17493	2116.653976	Y
hsa-let-7d	7125	862.125397	N
hsa-let-7e	9824	1188.704548	N
hsa-let-7f-1	49431	5981.153757	N
hsa-let-7f-2	49848	6031.610781	N
hsa-let-7g	5326	644.446297	N
hsa-let-7i	6279	759.759350	N
hsa-mir-100	152338	18432.906498	Y
hsa-mir-101-1	101390	12268.195656	N
hsa-mir-101-2	101519	12283.804663	N
hsa-mir-103a-1	58957	7133.800289	Y
hsa-mir-103a-2	59448	7193.211316	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	664	80.344037	N
hsa-mir-105-2	730	88.330041	N
hsa-mir-106a	60	7.260003	Y
hsa-mir-106b	4581	554.301256	N
hsa-mir-107	703	85.063039	Y
hsa-mir-10a	405352	49047.614611	N
hsa-mir-10b	38552	4664.794150	N
hsa-mir-1-1	279	33.759016	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.605000	N
hsa-mir-1180	344	41.624019	N
hsa-mir-1181	6	0.726000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.242000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	258	31.218014	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	13	1.573001	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	14	1.694001	N
hsa-mir-1227	3	0.363000	N
hsa-mir-1228	26	3.146001	N
hsa-mir-1229	23	2.783001	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.121000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	14	1.694001	N
hsa-mir-1245b	1	0.121000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	200	24.200011	N
hsa-mir-1248	9	1.089001	N
hsa-mir-1249	7	0.847000	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	6	0.726000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.484000	N
hsa-mir-1254-2	2	0.242000	N
hsa-mir-1255a	9	1.089001	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	9	1.089001	N
hsa-mir-125a	9930	1201.530554	N
hsa-mir-125b-1	4790	579.590267	N
hsa-mir-125b-2	5042	610.082281	N
hsa-mir-126	99273	12012.038538	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	0.847000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	85	10.285005	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	54	6.534003	N
hsa-mir-1269b	1	0.121000	N
hsa-mir-127	3821	462.341213	N
hsa-mir-1270	34	4.114002	N
hsa-mir-1271	20	2.420001	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.242000	N
hsa-mir-1275	5	0.605000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	22	2.662001	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	559	67.639031	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	430	52.030024	N
hsa-mir-1283-1	7	0.847000	N
hsa-mir-1283-2	8	0.968000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	775	93.775043	N
