miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	165404	15991.623454	N
hsa-let-7a-2	164682	15921.818902	Y
hsa-let-7a-3	165144	15966.486080	N
hsa-let-7b	390044	37710.314009	N
hsa-let-7c	25001	2417.151810	Y
hsa-let-7d	10486	1013.809603	N
hsa-let-7e	13697	1324.256163	N
hsa-let-7f-1	57737	5582.140476	N
hsa-let-7f-2	58320	5638.506202	N
hsa-let-7g	12558	1214.135132	N
hsa-let-7i	13849	1338.951859	N
hsa-mir-100	129073	12479.062260	Y
hsa-mir-101-1	45518	4400.780612	N
hsa-mir-101-2	46082	4455.309376	N
hsa-mir-103a-1	62902	6081.504066	Y
hsa-mir-103a-2	63202	6110.508727	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	4	0.386729	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	247	23.880505	Y
hsa-mir-106b	6402	618.959477	N
hsa-mir-107	1281	123.849905	Y
hsa-mir-10a	164684	15922.012266	N
hsa-mir-10b	102081	9869.416180	N
hsa-mir-1-1	63	6.090979	N
hsa-mir-1178	2	0.193364	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	258	24.944009	N
hsa-mir-1181	3	0.290047	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.096682	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	70	6.767754	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	131	12.665369	N
hsa-mir-1224	9	0.870140	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	1.063504	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	14	1.353551	N
hsa-mir-1229	9	0.870140	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.096682	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.096682	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.096682	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	40	3.867288	N
hsa-mir-1248	31	2.997148	N
hsa-mir-1249	16	1.546915	N
hsa-mir-1250	1	0.096682	N
hsa-mir-1251	6	0.580093	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.193364	N
hsa-mir-1254-2	4	0.386729	N
hsa-mir-1255a	8	0.773458	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.193364	N
hsa-mir-125a	19312	1867.126745	N
hsa-mir-125b-1	7731	747.450128	N
hsa-mir-125b-2	7689	743.389475	N
hsa-mir-126	71783	6940.138729	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	0.870140	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	117	11.311818	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	28	2.707102	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	3212	310.543243	N
hsa-mir-1270	6	0.580093	N
hsa-mir-1271	31	2.997148	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	44	4.254017	N
hsa-mir-1276	1	0.096682	N
hsa-mir-1277	6	0.580093	N
hsa-mir-1278	2	0.193364	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	912	88.174171	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	703	67.967590	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	9	0.870140	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.193364	N
hsa-mir-1287	1200	116.018646	N
hsa-mir-1288	9	0.870140	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	15	1.450233	N
hsa-mir-129-1	93	8.991445	N
hsa-mir-1292	0	0.000000	N
hsa-mir-129-2	70	6.767754	N
hsa-mir-1293	3	0.290047	N
hsa-mir-1294	11	1.063504	N
hsa-mir-1295a	3	0.290047	N
hsa-mir-1295b	4	0.386729	N
hsa-mir-1296	51	4.930792	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	156	15.082424	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.290047	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	170	16.435975	N
hsa-mir-1307	9848	952.126356	N
hsa-mir-130a	664	64.196984	N
hsa-mir-130b	483	46.697505	N
hsa-mir-132	1405	135.838498	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.096682	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	39	3.770606	Y
hsa-mir-133a-2	37	3.577242	Y
hsa-mir-133b	6	0.580093	Y
hsa-mir-134	878	84.886976	N
hsa-mir-1343	17	1.643597	N
hsa-mir-135a-1	7	0.676775	N
hsa-mir-135a-2	16	1.546915	N
hsa-mir-135b	1642	158.752181	N
hsa-mir-136	113	10.925089	N
hsa-mir-137	2	0.193364	N
hsa-mir-138-1	24	2.320373	N
hsa-mir-138-2	32	3.093831	N
hsa-mir-139	638	61.683247	N
hsa-mir-140	10176	983.838119	N
hsa-mir-141	24345	2353.728283	N
hsa-mir-142	48216	4661.629202	N
hsa-mir-143	286913	27739.381514	N
hsa-mir-144	10398	1005.301569	N
hsa-mir-145	21452	2074.026664	N
hsa-mir-1468	23	2.223691	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1376	133.034714	N
hsa-mir-146b	4185	404.615028	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	10	0.966822	N
hsa-mir-148a	1089043	105291.078698	N
hsa-mir-148b	3204	309.769785	N
hsa-mir-149	376	36.352509	N
hsa-mir-150	13929	1346.686435	N
hsa-mir-151a	21322	2061.457977	N
hsa-mir-151b	67	6.477708	N
hsa-mir-152	1851	178.958762	N
hsa-mir-153-1	8	0.773458	N
hsa-mir-153-2	112	10.828407	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.096682	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	42	4.060653	N
hsa-mir-155	6487	627.177465	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2737	264.619195	N
hsa-mir-15b	3424	331.039870	N
hsa-mir-16-1	7329	708.583881	N
hsa-mir-16-2	7429	718.252102	N
hsa-mir-17	7488	723.956352	Y
hsa-mir-181a-1	18926	1829.807414	N
hsa-mir-181a-2	30608	2959.248934	N
hsa-mir-181b-1	4448	430.042448	N
hsa-mir-181b-2	4436	428.882262	N
hsa-mir-181c	760	73.478476	N
hsa-mir-181d	221	21.366767	N
hsa-mir-182	167320	16176.866559	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	49992	4833.336798	N
hsa-mir-184	2	0.193364	N
hsa-mir-185	1342	129.747519	N
hsa-mir-186	3879	375.030274	N
hsa-mir-187	1634	157.978723	N
hsa-mir-188	29	2.803784	N
hsa-mir-18a	188	18.176255	Y
hsa-mir-18b	21	2.030326	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	32	3.093831	N
hsa-mir-190b	5	0.483411	N
hsa-mir-191	10400	1005.494933	N
hsa-mir-1910	2	0.193364	N
hsa-mir-1911	1	0.096682	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.096682	N
hsa-mir-1914	4	0.386729	N
hsa-mir-1915	3	0.290047	N
hsa-mir-192	2963	286.469374	Y
hsa-mir-193a	1820	175.961613	N
hsa-mir-193b	5657	546.931234	N
hsa-mir-194-1	627	60.619743	N
hsa-mir-194-2	628	60.716425	N
hsa-mir-195	490	47.374281	N
hsa-mir-196a-1	15	1.450233	N
hsa-mir-196a-2	10	0.966822	N
hsa-mir-196b	235	22.720318	N
hsa-mir-197	5857	566.267675	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	196	18.949712	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	8580	829.533320	Y
hsa-mir-199a-2	13363	1291.964307	Y
hsa-mir-199b	16991	1642.727347	Y
hsa-mir-19a	155	14.985742	N
hsa-mir-19b-1	831	80.342912	N
hsa-mir-19b-2	750	72.511654	N
hsa-mir-200a	8365	808.746646	N
hsa-mir-200b	9625	930.566224	N
hsa-mir-200c	152156	14710.777600	N
hsa-mir-202	9	0.870140	N
hsa-mir-203a	116874	11299.636040	N
hsa-mir-203b	623	60.233014	N
hsa-mir-204	47	4.544064	N
hsa-mir-205	1477	142.799617	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	0.096682	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	2646	255.821115	N
hsa-mir-20b	293	28.327886	N
hsa-mir-21	2414734	233461.807870	N
hsa-mir-210	8127	785.736281	N
hsa-mir-211	8	0.773458	N
hsa-mir-2110	62	5.994297	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	2	0.193364	N
hsa-mir-2116	14	1.353551	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	77	7.444530	N
hsa-mir-214	381	36.835920	N
hsa-mir-215	37	3.577242	Y
hsa-mir-216a	5	0.483411	N
hsa-mir-216b	2	0.193364	N
hsa-mir-217	279	26.974335	N
hsa-mir-218-1	249	24.073869	N
hsa-mir-218-2	241	23.300411	N
hsa-mir-219a-1	27	2.610420	N
hsa-mir-219a-2	4	0.386729	N
hsa-mir-219b	4	0.386729	N
hsa-mir-22	1350097	130530.355070	N
hsa-mir-221	2740	264.909242	N
hsa-mir-222	1206	116.598739	N
hsa-mir-223	5182	501.007187	N
hsa-mir-224	1268	122.593036	N
hsa-mir-2276	5	0.483411	N
hsa-mir-2277	31	2.997148	N
hsa-mir-2278	3	0.290047	N
hsa-mir-2355	688	66.517357	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	33494	3238.273778	Y
hsa-mir-23b	18409	1779.822714	Y
hsa-mir-23c	18	1.740280	N
hsa-mir-24-1	13766	1330.927236	N
hsa-mir-24-2	13357	1291.384214	N
hsa-mir-2467	1	0.096682	N
hsa-mir-25	92200	8914.099311	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	30559	2954.511506	N
hsa-mir-26a-2	30395	2938.655624	N
hsa-mir-26b	19437	1879.212021	N
hsa-mir-27a	19921	1926.006208	Y
hsa-mir-27b	34666	3351.585322	Y
hsa-mir-28	52329	5059.283111	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	53	5.124157	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	18	1.740280	N
hsa-mir-29a	249218	24094.945793	N
hsa-mir-29b-1	13371	1292.737765	Y
hsa-mir-29b-2	14455	1397.541275	Y
hsa-mir-29c	107410	10384.635651	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	98	9.474856	N
hsa-mir-301b	16	1.546915	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	5	0.483411	N
hsa-mir-3065	1217	117.662244	N
hsa-mir-3074	39	3.770606	N
hsa-mir-30a	90419	8741.908304	Y
hsa-mir-30b	9644	932.403186	Y
hsa-mir-30c-1	3732	360.817989	Y
hsa-mir-30c-2	3865	373.676723	Y
hsa-mir-30d	120425	11642.954550	N
hsa-mir-30e	138478	13388.358399	Y
hsa-mir-31	77	7.444530	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	6	0.580093	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	4	0.386729	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	50	4.834110	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	2	0.193364	N
hsa-mir-3130-1	32	3.093831	N
hsa-mir-3130-2	48	4.640746	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	3	0.290047	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	6	0.580093	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	1	0.096682	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	1	0.096682	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	1	0.096682	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	2	0.193364	N
hsa-mir-3150b	9	0.870140	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	1	0.096682	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	2	0.193364	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	23	2.223691	N
hsa-mir-3158-1	5	0.483411	N
hsa-mir-3158-2	2	0.193364	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	1	0.096682	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	1	0.096682	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	12	1.160186	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	14	1.353551	N
hsa-mir-3174	6	0.580093	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	1	0.096682	N
hsa-mir-3177	1	0.096682	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	3	0.290047	N
hsa-mir-3188	1	0.096682	N
hsa-mir-3189	4	0.386729	N
hsa-mir-3190	2	0.193364	N
hsa-mir-3191	10	0.966822	N
hsa-mir-3192	0	0.000000	N
hsa-mir-3193	10	0.966822	N
hsa-mir-3194	7	0.676775	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	1	0.096682	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198-1	0	0.000000	N
hsa-mir-3198-2	0	0.000000	N
hsa-mir-3199-1	0	0.000000	N
hsa-mir-3199-2	6	0.580093	N
hsa-mir-32	443	42.830217	N
hsa-mir-3200	65	6.284343	N
hsa-mir-3201	0	0.000000	N
hsa-mir-3202-1	0	0.000000	N
hsa-mir-3202-2	0	0.000000	N
hsa-mir-320a	2829	273.513958	Y
hsa-mir-320b-1	20	1.933644	Y
hsa-mir-320b-2	30	2.900466	Y
hsa-mir-320c-1	8	0.773458	N
hsa-mir-320c-2	5	0.483411	N
hsa-mir-320d-1	5	0.483411	N
hsa-mir-320d-2	7	0.676775	N
hsa-mir-320e	0	0.000000	N
hsa-mir-323a	29	2.803784	N
hsa-mir-323b	56	5.414203	N
hsa-mir-324	1611	155.755032	N
hsa-mir-325	0	0.000000	N
hsa-mir-326	547	52.885166	N
hsa-mir-328	588	56.849137	N
hsa-mir-329-1	4	0.386729	N
hsa-mir-329-2	1	0.096682	N
hsa-mir-330	557	53.851988	N
hsa-mir-331	534	51.628298	N
hsa-mir-335	827	79.956184	N
hsa-mir-337	208	20.109899	N
hsa-mir-338	14347	1387.099597	N
hsa-mir-339	1765	170.644092	N
hsa-mir-33a	687	66.420675	N
hsa-mir-33b	121	11.698547	N
hsa-mir-340	146	14.115602	N
hsa-mir-342	2245	217.051550	N
hsa-mir-345	324	31.325034	N
hsa-mir-346	2	0.193364	N
hsa-mir-34a	5166	499.460272	N
hsa-mir-34b	188	18.176255	N
hsa-mir-34c	552	53.368577	N
hsa-mir-3529	0	0.000000	N
hsa-mir-3591	0	0.000000	N
hsa-mir-3605	33	3.190513	N
hsa-mir-3606	0	0.000000	N
hsa-mir-3607	2651	256.304526	N
hsa-mir-3609	0	0.000000	N
hsa-mir-361	6563	634.525312	N
hsa-mir-3610	4	0.386729	N
hsa-mir-3611	0	0.000000	N
hsa-mir-3612	0	0.000000	N
hsa-mir-3613	107	10.344996	N
hsa-mir-3614	26	2.513737	N
hsa-mir-3615	53	5.124157	N
hsa-mir-3616	1	0.096682	N
hsa-mir-3617	0	0.000000	N
hsa-mir-3618	0	0.000000	N
hsa-mir-3619	8	0.773458	N
hsa-mir-362	73	7.057801	N
hsa-mir-3620	1	0.096682	N
hsa-mir-3621	0	0.000000	N
hsa-mir-3622a	0	0.000000	N
hsa-mir-3622b	3	0.290047	N
hsa-mir-363	175	16.919386	N
hsa-mir-3646	0	0.000000	N
hsa-mir-3648-1	0	0.000000	N
hsa-mir-3648-2	0	0.000000	N
hsa-mir-3649	0	0.000000	N
hsa-mir-3650	0	0.000000	N
hsa-mir-3651	13	1.256869	N
hsa-mir-3652	5	0.483411	N
hsa-mir-3653	94	9.088127	N
hsa-mir-3654	1	0.096682	N
hsa-mir-3655	6	0.580093	N
hsa-mir-3656	0	0.000000	N
hsa-mir-3657	0	0.000000	N
hsa-mir-3658	0	0.000000	N
hsa-mir-3659	0	0.000000	N
hsa-mir-365a	1958	189.303758	Y
hsa-mir-365b	1954	188.917029	Y
hsa-mir-3660	0	0.000000	N
hsa-mir-3661	0	0.000000	N
hsa-mir-3662	0	0.000000	N
hsa-mir-3663	0	0.000000	N
hsa-mir-3664	15	1.450233	N
hsa-mir-3665	0	0.000000	N
hsa-mir-3666	0	0.000000	N
hsa-mir-3667	3	0.290047	N
hsa-mir-3668	0	0.000000	N
hsa-mir-367	0	0.000000	N
hsa-mir-3670-1	0	0.000000	N
hsa-mir-3670-2	0	0.000000	N
hsa-mir-3670-3	0	0.000000	N
hsa-mir-3670-4	0	0.000000	N
hsa-mir-3671	0	0.000000	N
hsa-mir-3672	0	0.000000	N
hsa-mir-3674	0	0.000000	N
hsa-mir-3675	0	0.000000	N
hsa-mir-3677	35	3.383877	N
hsa-mir-3678	3	0.290047	N
hsa-mir-3679	1	0.096682	N
hsa-mir-3680-1	5	0.483411	N
hsa-mir-3680-2	3	0.290047	N
hsa-mir-3681	0	0.000000	N
hsa-mir-3682	17	1.643597	N
hsa-mir-3683	0	0.000000	N
hsa-mir-3684	7	0.676775	N
hsa-mir-3685	0	0.000000	N
hsa-mir-3686	0	0.000000	N
hsa-mir-3687-1	0	0.000000	N
hsa-mir-3687-2	0	0.000000	N
hsa-mir-3688-1	1	0.096682	N
hsa-mir-3688-2	2	0.193364	N
hsa-mir-3689a	0	0.000000	N
hsa-mir-3689b	0	0.000000	N
hsa-mir-3689c	0	0.000000	N
hsa-mir-3689d-1	0	0.000000	N
hsa-mir-3689d-2	0	0.000000	N
hsa-mir-3689e	0	0.000000	N
hsa-mir-3689f	0	0.000000	N
hsa-mir-369	49	4.737428	N
hsa-mir-3690-1	2	0.193364	N
hsa-mir-3690-2	0	0.000000	N
hsa-mir-3691	4	0.386729	N
hsa-mir-3692	0	0.000000	N
hsa-mir-370	44	4.254017	N
hsa-mir-3713	0	0.000000	N
hsa-mir-3714	0	0.000000	N
hsa-mir-371a	0	0.000000	N
hsa-mir-371b	1	0.096682	N
hsa-mir-372	0	0.000000	N
hsa-mir-373	0	0.000000	N
hsa-mir-374a	3390	327.752675	N
hsa-mir-374b	971	93.878421	Y
hsa-mir-374c	1	0.096682	Y
