miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	69487	10251.679340	N
hsa-let-7a-2	69514	10255.662752	Y
hsa-let-7a-3	69615	10270.563663	N
hsa-let-7b	202226	29835.164941	N
hsa-let-7c	5976	881.661832	Y
hsa-let-7d	8393	1238.250964	N
hsa-let-7e	7198	1061.948104	N
hsa-let-7f-1	20502	3024.737430	N
hsa-let-7f-2	20190	2978.706893	N
hsa-let-7g	7371	1087.471447	N
hsa-let-7i	6893	1016.950303	N
hsa-mir-100	10635	1569.021684	N
hsa-mir-101-1	12218	1802.567648	N
hsa-mir-101-2	12169	1795.338493	N
hsa-mir-103a-1	38370	5660.870901	Y
hsa-mir-103a-2	38370	5660.870901	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	3	0.442601	N
hsa-mir-106a	24	3.540811	Y
hsa-mir-106b	4019	592.938237	N
hsa-mir-107	469	69.193340	Y
hsa-mir-10a	100459	14821.095382	N
hsa-mir-10b	8634	1273.806603	N
hsa-mir-1-1	58	8.556959	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.442601	N
hsa-mir-1180	160	23.605404	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.147534	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	67	9.884763	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.147534	N
hsa-mir-1226	24	3.540811	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	1.180270	N
hsa-mir-1229	15	2.213007	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.147534	N
hsa-mir-1238	1	0.147534	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	1	0.147534	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.295068	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	82	12.097769	N
hsa-mir-1248	63	9.294628	N
hsa-mir-1249	22	3.245743	N
hsa-mir-1250	1	0.147534	N
hsa-mir-1251	7	1.032736	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.737669	N
hsa-mir-1254-2	4	0.590135	N
hsa-mir-1255a	6	0.885203	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.147534	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.295068	N
hsa-mir-125a	12899	1903.038148	N
hsa-mir-125b-1	3101	457.502233	N
hsa-mir-125b-2	3080	454.404023	N
hsa-mir-126	24568	3624.609755	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.295068	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	1.475338	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	928	136.911342	N
hsa-mir-1267	4	0.590135	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	23	3.393277	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1303	192.236507	N
hsa-mir-1270	6	0.885203	N
hsa-mir-1271	12	1.770405	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.442601	N
hsa-mir-1276	8	1.180270	N
hsa-mir-1277	4	0.590135	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	393	57.980773	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	287	42.342193	N
hsa-mir-1283-1	2	0.295068	N
hsa-mir-1283-2	5	0.737669	N
hsa-mir-1284	4	0.590135	N
hsa-mir-1285-1	1	0.147534	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	320	47.210808	N
hsa-mir-1288	4	0.590135	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	32	4.721081	N
hsa-mir-129-1	6	0.885203	N
hsa-mir-1292	5	0.737669	N
hsa-mir-129-2	10	1.475338	N
hsa-mir-1293	7	1.032736	N
hsa-mir-1294	3	0.442601	N
hsa-mir-1295a	1	0.147534	N
hsa-mir-1295b	1	0.147534	N
hsa-mir-1296	94	13.868175	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	44	6.491486	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	7	1.032736	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	91	13.425573	N
hsa-mir-1307	8126	1198.859446	N
hsa-mir-130a	1116	164.647692	N
hsa-mir-130b	222	32.752498	N
hsa-mir-132	659	97.224757	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	14	2.065473	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	311	45.883004	Y
hsa-mir-133a-2	301	44.407666	Y
hsa-mir-133b	45	6.639020	Y
hsa-mir-134	352	51.931888	N
hsa-mir-1343	6	0.885203	N
hsa-mir-135a-1	28	4.130946	N
hsa-mir-135a-2	27	3.983412	N
hsa-mir-135b	796	117.436884	N
hsa-mir-136	36	5.311216	N
hsa-mir-137	2	0.295068	N
hsa-mir-138-1	26	3.835878	N
hsa-mir-138-2	16	2.360540	N
hsa-mir-139	593	87.487528	N
hsa-mir-140	6010	886.677981	N
hsa-mir-141	22986	3391.211325	N
hsa-mir-142	3549	523.597363	N
hsa-mir-143	372782	54997.935265	N
hsa-mir-144	85	12.540371	N
hsa-mir-145	48831	7204.221708	N
hsa-mir-1468	46	6.786554	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1051	155.057996	N
hsa-mir-146b	1553	229.119951	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	6	0.885203	N
hsa-mir-147b	64	9.442162	N
hsa-mir-148a	228938	33776.087106	N
hsa-mir-148b	3118	460.010307	N
hsa-mir-149	373	55.030098	N
hsa-mir-150	11192	1651.197996	N
hsa-mir-151a	19560	2885.760616	N
hsa-mir-151b	119	17.556519	N
hsa-mir-152	1355	199.908263	N
hsa-mir-153-1	78	11.507634	N
hsa-mir-153-2	441	65.062394	N
hsa-mir-1537	2	0.295068	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	2	0.295068	N
hsa-mir-154	16	2.360540	N
hsa-mir-155	3742	552.071382	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	955	140.894754	N
hsa-mir-15b	1387	204.629344	N
hsa-mir-16-1	2540	374.735785	N
hsa-mir-16-2	2574	379.751934	N
hsa-mir-17	2360	348.179706	Y
hsa-mir-181a-1	22650	3341.639977	N
hsa-mir-181a-2	32227	4754.570928	N
hsa-mir-181b-1	2469	364.260888	N
hsa-mir-181b-2	2445	360.720077	N
hsa-mir-181c	1188	175.270123	N
hsa-mir-181d	180	26.556079	N
hsa-mir-182	106092	15652.153130	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	34650	5112.045262	N
hsa-mir-184	6	0.885203	N
hsa-mir-185	373	55.030098	N
hsa-mir-186	2456	362.342948	N
hsa-mir-187	97	14.310776	N
hsa-mir-188	37	5.458750	N
hsa-mir-18a	55	8.114358	N
hsa-mir-18b	1	0.147534	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	38	5.606283	N
hsa-mir-190b	3	0.442601	N
hsa-mir-191	6838	1008.835945	N
hsa-mir-1910	1	0.147534	N
hsa-mir-1911	1	0.147534	N
hsa-mir-1912	2	0.295068	N
hsa-mir-1913	1	0.147534	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	156769	23128.722185	Y
hsa-mir-193a	1583	233.545964	N
hsa-mir-193b	372	54.882564	N
hsa-mir-194-1	46784	6902.220073	N
hsa-mir-194-2	52575	7756.588158	N
hsa-mir-195	582	85.864656	N
hsa-mir-196a-1	13	1.917939	N
hsa-mir-196a-2	8	1.180270	N
hsa-mir-196b	168	24.785674	N
hsa-mir-197	5356	790.190892	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	186	27.441282	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	9959	1469.288853	Y
hsa-mir-199a-2	15209	2243.841166	Y
hsa-mir-199b	17651	2604.118641	Y
hsa-mir-19a	88	12.982972	N
hsa-mir-19b-1	566	83.504116	N
hsa-mir-19b-2	533	78.635501	N
hsa-mir-200a	50836	7500.026925	N
hsa-mir-200b	48712	7186.665189	N
hsa-mir-200c	107359	15839.078421	N
hsa-mir-202	1	0.147534	N
hsa-mir-203a	36978	5455.503888	N
hsa-mir-203b	459	67.718002	N
hsa-mir-204	29	4.278479	N
hsa-mir-205	1476	217.759850	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	740	109.174993	N
hsa-mir-20b	20	2.950675	N
hsa-mir-21	1605804	236910.324104	N
hsa-mir-210	9827	1449.814395	N
hsa-mir-211	8	1.180270	N
hsa-mir-2110	51	7.524222	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	1	0.147534	N
hsa-mir-2115	1	0.147534	N
hsa-mir-2116	19	2.803142	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	36	5.311216	N
hsa-mir-214	676	99.732831	N
hsa-mir-215	1911	281.937042	Y
hsa-mir-216a	1	0.147534	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	87	12.835438	N
hsa-mir-218-1	205	30.244424	N
hsa-mir-218-2	181	26.703613	N
hsa-mir-219a-1	74	10.917499	N
hsa-mir-219a-2	8	1.180270	N
hsa-mir-219b	1	0.147534	N
hsa-mir-22	449101	66257.565348	N
hsa-mir-221	4185	617.428843	N
hsa-mir-222	1612	237.824443	N
hsa-mir-223	723	106.666918	N
hsa-mir-224	82	12.097769	N
hsa-mir-2276	23	3.393277	N
hsa-mir-2277	4	0.590135	N
hsa-mir-2278	1	0.147534	N
hsa-mir-2355	714	105.339114	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	28773	4244.989274	Y
hsa-mir-23b	22993	3392.244061	Y
hsa-mir-23c	76	11.212567	N
hsa-mir-24-1	13127	1936.675849	N
hsa-mir-24-2	12781	1885.629163	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	63835	9417.818451	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	27286	4025.606552	N
hsa-mir-26a-2	27442	4048.621821	N
hsa-mir-26b	23056	3401.538689	N
hsa-mir-27a	12027	1774.388697	Y
hsa-mir-27b	24786	3656.772117	Y
hsa-mir-28	69879	10309.512579	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	71	10.474898	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	21	3.098209	N
hsa-mir-29a	127050	18744.165961	N
hsa-mir-29b-1	14782	2180.844244	Y
hsa-mir-29b-2	16831	2483.140947	Y
hsa-mir-29c	49953	7369.754603	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	38	5.606283	N
hsa-mir-301b	0	0.000000	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	7	1.032736	N
hsa-mir-3065	2860	421.946593	N
hsa-mir-3074	38	5.606283	N
hsa-mir-30a	522025	77016.318268	Y
hsa-mir-30b	15674	2312.444371	N
hsa-mir-30c-1	3409	502.942635	N
hsa-mir-30c-2	3929	579.660197	N
hsa-mir-30d	78298	11551.599421	N
hsa-mir-30e	59167	8729.130794	Y
hsa-mir-31	681	100.470500	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	3	0.442601	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	1	0.147534	N
hsa-mir-3127	50	7.376689	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	2	0.295068	N
hsa-mir-3130-1	36	5.311216	N
hsa-mir-3130-2	40	5.901351	N
hsa-mir-3131	3	0.442601	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	14	2.065473	N
hsa-mir-3137	1	0.147534	N
hsa-mir-3138	3	0.442601	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	1	0.147534	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	2	0.295068	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	1	0.147534	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	3	0.442601	N
hsa-mir-3155a	6	0.885203	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	19	2.803142	N
hsa-mir-3158-1	10	1.475338	N
hsa-mir-3158-2	3	0.442601	N
hsa-mir-3159	1	0.147534	N
