miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	93124	12705.481391	N
hsa-let-7a-2	93733	12788.571015	N
hsa-let-7a-3	93683	12781.749207	N
hsa-let-7b	105608	14408.750470	N
hsa-let-7c	13538	1847.072796	N
hsa-let-7d	4828	658.713803	N
hsa-let-7e	8287	1130.646496	N
hsa-let-7f-1	46043	6281.930326	N
hsa-let-7f-2	46193	6302.395751	N
hsa-let-7g	3657	498.947054	N
hsa-let-7i	5326	726.659013	N
hsa-mir-100	29852	4072.892385	Y
hsa-mir-101-1	49086	6697.105575	N
hsa-mir-101-2	49463	6748.542009	N
hsa-mir-103a-1	47168	6435.421011	Y
hsa-mir-103a-2	47055	6420.003725	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	54	7.367553	Y
hsa-mir-106b	5452	743.849969	N
hsa-mir-107	974	132.888824	Y
hsa-mir-10a	248489	33902.886102	N
hsa-mir-10b	39291	5360.713343	N
hsa-mir-1-1	19	2.592287	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.136436	N
hsa-mir-1180	171	23.330584	N
hsa-mir-1181	3	0.409308	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.136436	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	13	1.773670	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	8	1.091489	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.545745	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.545745	N
hsa-mir-1229	4	0.545745	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.272872	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	1	0.136436	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.136436	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	80	10.914893	N
hsa-mir-1248	4	0.545745	N
hsa-mir-1249	20	2.728723	N
hsa-mir-1250	1	0.136436	N
hsa-mir-1251	3	0.409308	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.136436	N
hsa-mir-1254-2	2	0.272872	N
hsa-mir-1255a	2	0.272872	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.545745	N
hsa-mir-125a	2542	346.820730	N
hsa-mir-125b-1	1127	153.763557	N
hsa-mir-125b-2	1216	165.906376	N
hsa-mir-126	7722	1053.560063	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	0.955053	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	47	6.412500	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	14	1.910106	N
hsa-mir-1269b	1	0.136436	N
hsa-mir-127	2364	322.535093	N
hsa-mir-1270	4	0.545745	N
hsa-mir-1271	4	0.545745	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	0.682181	N
hsa-mir-1276	3	0.409308	N
hsa-mir-1277	2	0.272872	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	686	93.595209	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	605	82.543880	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	1283	175.047599	N
hsa-mir-1288	7	0.955053	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.682181	N
hsa-mir-129-1	22	3.001596	N
hsa-mir-1292	3	0.409308	N
hsa-mir-129-2	18	2.455851	N
hsa-mir-1293	7	0.955053	N
hsa-mir-1294	3	0.409308	N
hsa-mir-1295a	2	0.272872	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	15	2.046542	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.136436	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	88	12.006382	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	5	0.682181	N
hsa-mir-1305	1	0.136436	N
hsa-mir-1306	31	4.229521	N
hsa-mir-1307	6189	844.403423	N
hsa-mir-130a	181	24.694946	N
hsa-mir-130b	119	16.235904	N
hsa-mir-132	1067	145.577388	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	12	1.637234	Y
hsa-mir-133a-2	7	0.955053	N
hsa-mir-133b	8	1.091489	Y
hsa-mir-134	536	73.129784	N
hsa-mir-1343	3	0.409308	N
hsa-mir-135a-1	12	1.637234	N
hsa-mir-135a-2	23	3.138032	N
hsa-mir-135b	97	13.234308	N
hsa-mir-136	38	5.184574	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	8	1.091489	N
hsa-mir-138-2	3	0.409308	N
hsa-mir-139	349	47.616221	N
hsa-mir-140	5543	756.265660	N
hsa-mir-141	7528	1027.091447	N
hsa-mir-142	4861	663.216196	N
hsa-mir-143	879723	120026.032020	N
hsa-mir-144	632	86.227656	N
hsa-mir-145	4088	557.751041	N
hsa-mir-1468	17	2.319415	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	747	101.917815	N
hsa-mir-146b	4239	578.352902	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	6	0.818617	N
hsa-mir-148a	174128	23757.356467	N
hsa-mir-148b	1071	146.123132	N
hsa-mir-149	165	22.511967	N
hsa-mir-150	5620	766.771245	N
hsa-mir-151a	41473	5658.417054	N
hsa-mir-151b	34	4.638830	N
hsa-mir-152	1420	193.739354	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	34	4.638830	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.136436	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	9	1.227925	N
hsa-mir-155	1507	205.609300	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	513	69.991752	N
hsa-mir-15b	1708	233.032969	N
hsa-mir-16-1	1313	179.140684	N
hsa-mir-16-2	1310	178.731376	N
hsa-mir-17	4311	588.176306	Y
hsa-mir-181a-1	12139	1656.198602	N
hsa-mir-181a-2	18883	2576.324096	N
hsa-mir-181b-1	2635	359.509294	N
hsa-mir-181b-2	2619	357.326315	N
hsa-mir-181c	1136	154.991483	N
hsa-mir-181d	298	40.657977	N
hsa-mir-182	332497	45364.615417	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	146251	19953.925507	N
hsa-mir-184	31	4.229521	N
hsa-mir-185	361	49.253455	N
hsa-mir-186	815	111.195474	N
hsa-mir-187	100	13.643616	N
hsa-mir-188	25	3.410904	N
hsa-mir-18a	68	9.277659	Y
hsa-mir-18b	8	1.091489	Y
hsa-mir-1908	1	0.136436	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	16	2.182979	N
hsa-mir-190b	13	1.773670	N
hsa-mir-191	2114	288.426052	N
hsa-mir-1910	2	0.272872	N
hsa-mir-1911	2	0.272872	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	2503	341.499720	Y
hsa-mir-193a	777	106.010900	N
hsa-mir-193b	443	60.441221	N
hsa-mir-194-1	643	87.728454	N
hsa-mir-194-2	665	90.730049	N
hsa-mir-195	574	78.314358	N
hsa-mir-196a-1	1580	215.569140	N
hsa-mir-196a-2	1742	237.671799	N
hsa-mir-196b	20	2.728723	N
hsa-mir-197	825	112.559836	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	76	10.369149	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	3490	476.162214	Y
hsa-mir-199a-2	5908	806.064860	Y
hsa-mir-199b	7711	1052.059265	Y
hsa-mir-19a	77	10.505585	N
hsa-mir-19b-1	238	32.471807	N
hsa-mir-19b-2	236	32.198935	N
hsa-mir-200a	4452	607.413805	N
hsa-mir-200b	5412	738.392523	N
hsa-mir-200c	54183	7392.520706	N
hsa-mir-202	2	0.272872	N
hsa-mir-203a	40583	5536.988867	N
hsa-mir-203b	483	65.898667	N
hsa-mir-204	25	3.410904	N
hsa-mir-205	899	122.656112	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	0.136436	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	853	116.380048	N
hsa-mir-20b	42	5.730319	N
hsa-mir-21	2602967	355138.834030	N
hsa-mir-210	876	119.518080	N
hsa-mir-211	3	0.409308	N
hsa-mir-2110	22	3.001596	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	7	0.955053	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	169	23.057712	N
hsa-mir-214	92	12.552127	N
hsa-mir-215	44	6.003191	Y
hsa-mir-216a	5	0.682181	N
hsa-mir-216b	2	0.272872	N
hsa-mir-217	105	14.325797	N
hsa-mir-218-1	149	20.328989	N
hsa-mir-218-2	140	19.101063	N
hsa-mir-219a-1	15	2.046542	N
hsa-mir-219a-2	1	0.136436	N
hsa-mir-219b	1	0.136436	N
hsa-mir-22	511935	69846.447919	N
hsa-mir-221	1152	157.174462	N
hsa-mir-222	222	30.288829	N
hsa-mir-223	1735	236.716746	N
hsa-mir-224	32	4.365957	N
hsa-mir-2276	2	0.272872	N
hsa-mir-2277	4	0.545745	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	440	60.031912	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	21706	2961.483389	Y
hsa-mir-23b	16963	2314.366660	Y
hsa-mir-23c	15	2.046542	N
hsa-mir-24-1	10290	1403.928134	N
hsa-mir-24-2	10149	1384.690634	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	47870	6531.199199	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	14689	2004.110822	N
hsa-mir-26a-2	14955	2040.402841	N
hsa-mir-26b	3262	445.054769	N
hsa-mir-27a	11748	1602.852062	Y
hsa-mir-27b	22936	3129.299871	Y
hsa-mir-28	24638	3361.514223	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	16	2.182979	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	6	0.818617	N
hsa-mir-29a	101670	13871.464854	N
hsa-mir-29b-1	1400	191.010630	Y
hsa-mir-29b-2	1434	195.649460	Y
hsa-mir-29c	31471	4293.782536	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	18	2.455851	N
hsa-mir-301b	4	0.545745	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	1	0.136436	N
hsa-mir-3065	574	78.314358	N
hsa-mir-3074	39	5.321010	N
hsa-mir-30a	65063	8876.946177	Y
hsa-mir-30b	4324	589.949976	Y
hsa-mir-30c-1	644	87.864890	Y
hsa-mir-30c-2	726	99.052655	Y
hsa-mir-30d	129404	17655.385442	N
hsa-mir-30e	57061	7785.183988	Y
hsa-mir-31	21	2.865159	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	3	0.409308	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	1	0.136436	N
hsa-mir-3125	1	0.136436	N
hsa-mir-3126	3	0.409308	N
hsa-mir-3127	12	1.637234	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	0	0.000000	N
hsa-mir-3130-1	61	8.322606	N
hsa-mir-3130-2	62	8.459042	N
hsa-mir-3131	1	0.136436	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	1	0.136436	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	1	0.136436	N
hsa-mir-3150b	6	0.818617	N
hsa-mir-3151	1	0.136436	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	5	0.682181	N
hsa-mir-3158-1	1	0.136436	N
hsa-mir-3158-2	1	0.136436	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	0	0.000000	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	3	0.409308	N
hsa-mir-3174	1	0.136436	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	3	0.409308	N
hsa-mir-3177	4	0.545745	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	3	0.409308	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	1	0.136436	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	1	0.136436	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	2	0.272872	N
hsa-mir-3188	3	0.409308	N
hsa-mir-3189	3	0.409308	N
hsa-mir-3190	0	0.000000	N
hsa-mir-3191	5	0.682181	N
hsa-mir-3192	1	0.136436	N
hsa-mir-3193	3	0.409308	N
hsa-mir-3194	0	0.000000	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	0	0.000000	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198-1	1	0.136436	N
hsa-mir-3198-2	1	0.136436	N
hsa-mir-3199-1	1	0.136436	N
hsa-mir-3199-2	3	0.409308	N
hsa-mir-32	466	63.579253	N
hsa-mir-3200	7	0.955053	N
hsa-mir-3201	0	0.000000	N
hsa-mir-3202-1	0	0.000000	N
hsa-mir-3202-2	0	0.000000	N
hsa-mir-320a	3559	485.576310	Y
hsa-mir-320b-1	5	0.682181	Y
hsa-mir-320b-2	14	1.910106	Y
hsa-mir-320c-1	2	0.272872	N
hsa-mir-320c-2	4	0.545745	N
hsa-mir-320d-1	6	0.818617	N
hsa-mir-320d-2	6	0.818617	N
hsa-mir-320e	0	0.000000	N
hsa-mir-323a	1	0.136436	N
hsa-mir-323b	3	0.409308	N
hsa-mir-324	201	27.423669	N
hsa-mir-325	0	0.000000	N
hsa-mir-326	198	27.014361	N
hsa-mir-328	97	13.234308	N
hsa-mir-329-1	2	0.272872	N
hsa-mir-329-2	2	0.272872	N
hsa-mir-330	293	39.975796	N
hsa-mir-331	244	33.290424	N
hsa-mir-335	928	126.612761	N
hsa-mir-337	51	6.958244	N
hsa-mir-338	1493	203.699194	N
hsa-mir-339	164	22.375531	N
hsa-mir-33a	75	10.232712	N
hsa-mir-33b	37	5.048138	N
hsa-mir-340	206	28.105850	N
hsa-mir-342	449	61.259838	N
hsa-mir-345	21	2.865159	N
hsa-mir-346	1	0.136436	N
hsa-mir-34a	804	109.694676	N
hsa-mir-34b	27	3.683776	N
hsa-mir-34c	253	34.518350	N
hsa-mir-3529	0	0.000000	N
hsa-mir-3591	0	0.000000	N
hsa-mir-3605	4	0.545745	N
hsa-mir-3606	0	0.000000	N
hsa-mir-3607	57	7.776861	N
hsa-mir-3609	0	0.000000	N
hsa-mir-361	3910	533.465404	N
hsa-mir-3610	21	2.865159	N
hsa-mir-3611	0	0.000000	N
hsa-mir-3612	0	0.000000	N
hsa-mir-3613	56	7.640425	N
hsa-mir-3614	13	1.773670	N
hsa-mir-3615	33	4.502393	N
hsa-mir-3616	0	0.000000	N
hsa-mir-3617	0	0.000000	N
hsa-mir-3618	0	0.000000	N
hsa-mir-3619	0	0.000000	N
hsa-mir-362	43	5.866755	N
hsa-mir-3620	2	0.272872	N
hsa-mir-3621	0	0.000000	N
hsa-mir-3622a	0	0.000000	N
hsa-mir-3622b	1	0.136436	N
hsa-mir-363	30	4.093085	N
hsa-mir-3646	0	0.000000	N
hsa-mir-3648-1	0	0.000000	N
hsa-mir-3648-2	0	0.000000	N
hsa-mir-3649	0	0.000000	N
hsa-mir-3650	2	0.272872	N
hsa-mir-3651	2	0.272872	N
hsa-mir-3652	15	2.046542	N
hsa-mir-3653	11	1.500798	N
hsa-mir-3654	2	0.272872	N
hsa-mir-3655	0	0.000000	N
