miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	185451	18326.740552	N
hsa-let-7a-2	184196	18202.718253	Y
hsa-let-7a-3	184285	18211.513459	N
hsa-let-7b	238532	23572.340280	N
hsa-let-7c	18584	1836.518252	Y
hsa-let-7d	8143	804.712017	N
hsa-let-7e	12004	1186.265879	N
hsa-let-7f-1	102983	10177.042573	N
hsa-let-7f-2	103317	10210.049305	N
hsa-let-7g	12182	1203.856293	N
hsa-let-7i	21442	2118.953098	N
hsa-mir-100	53306	5267.834802	Y
hsa-mir-101-1	53390	5276.135896	N
hsa-mir-101-2	54733	5408.854579	N
hsa-mir-103a-1	104154	10292.763778	Y
hsa-mir-103a-2	103678	10245.724245	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	16	1.581161	Y
hsa-mir-106b	3206	316.825092	N
hsa-mir-107	672	66.408753	Y
hsa-mir-10a	221726	21911.528520	N
hsa-mir-10b	138609	13697.694707	N
hsa-mir-1-1	32	3.162322	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.098823	N
hsa-mir-1180	91	8.992852	N
hsa-mir-1181	1	0.098823	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.098823	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	36	3.557612	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
