miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	43505	8434.930247	N
hsa-let-7a-2	43631	8459.359651	Y
hsa-let-7a-3	43801	8492.319958	N
hsa-let-7b	55341	10729.743129	N
hsa-let-7c	4163	807.139745	Y
hsa-let-7d	3729	722.994021	N
hsa-let-7e	7072	1371.148758	N
hsa-let-7f-1	21673	4202.051333	N
hsa-let-7f-2	21533	4174.907551	N
hsa-let-7g	3586	695.268587	N
hsa-let-7i	4541	880.427957	N
hsa-mir-100	27931	5415.378387	N
hsa-mir-101-1	24885	4824.807245	N
hsa-mir-101-2	25090	4864.553497	N
hsa-mir-103a-1	68363	13254.502620	Y
hsa-mir-103a-2	68785	13336.321734	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	4	0.775537	N
hsa-mir-105-2	1	0.193884	N
hsa-mir-106a	80	15.510733	Y
hsa-mir-106b	4296	832.926338	N
hsa-mir-107	594	115.167189	Y
hsa-mir-10a	56914	11034.722908	N
hsa-mir-10b	765	148.321380	N
hsa-mir-1-1	14	2.714378	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.193884	N
hsa-mir-1180	197	38.195179	N
hsa-mir-1181	2	0.387768	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.193884	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	1	0.193884	N
hsa-mir-1-2	12	2.326610	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.193884	N
