miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	4125	3763.184831	N
hsa-let-7a-2	3955	3608.096002	N
hsa-let-7a-3	4033	3679.254406	N
hsa-let-7b	10801	9853.614391	N
hsa-let-7c	456	416.002978	N
hsa-let-7d	725	661.408243	N
hsa-let-7e	711	648.636222	N
hsa-let-7f-1	1177	1073.762072	N
hsa-let-7f-2	1161	1059.165476	N
hsa-let-7g	655	597.548137	N
hsa-let-7i	933	851.163987	N
hsa-mir-100	3344	3050.688503	Y
hsa-mir-101-1	1848	1685.906804	N
hsa-mir-101-2	1889	1723.310581	N
hsa-mir-103a-1	13427	12249.280662	Y
hsa-mir-103a-2	13211	12052.226619	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	63	57.474096	Y
hsa-mir-106b	591	539.161754	N
hsa-mir-107	104	94.877872	Y
hsa-mir-10a	20236	18461.044423	N
hsa-mir-10b	5119	4669.998340	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	6	5.473723	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.912287	N
hsa-mir-1185-2	1	0.912287	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	1	0.912287	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	1.824574	N
hsa-mir-1227	2	1.824574	N
hsa-mir-1228	1	0.912287	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	1.824574	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	53	48.351223	N
hsa-mir-1248	4	3.649149	N
hsa-mir-1249	6	5.473723	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.912287	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	9	8.210585	N
hsa-mir-125a	726	662.320530	N
hsa-mir-125b-1	119	108.562181	N
hsa-mir-125b-2	118	107.649893	N
hsa-mir-126	5000	4561.436159	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.912287	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	4.561436	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	21	19.158032	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	718	655.022232	N
hsa-mir-1270	2	1.824574	N
hsa-mir-1271	4	3.649149	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.912287	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	133	121.334202	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	109	99.439308	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	60	54.737234	N
hsa-mir-1288	3	2.736862	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.912287	N
hsa-mir-129-1	1	0.912287	N
hsa-mir-1292	0	0.000000	N
hsa-mir-129-2	1	0.912287	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	0.912287	N
hsa-mir-1295b	1	0.912287	N
hsa-mir-1296	20	18.245745	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	37	33.754628	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	6	5.473723	N
hsa-mir-1307	999	911.374945	N
hsa-mir-130a	231	210.738351	N
hsa-mir-130b	112	102.176170	N
hsa-mir-132	332	302.879361	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	0	0.000000	N
hsa-mir-133a-2	1	0.912287	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	550	501.757977	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	52	47.438936	N
hsa-mir-136	20	18.245745	N
hsa-mir-137	8	7.298298	N
hsa-mir-138-1	2	1.824574	N
hsa-mir-138-2	1	0.912287	N
hsa-mir-139	36	32.842340	N
hsa-mir-140	737	672.355690	N
hsa-mir-141	2348	2142.050420	N
hsa-mir-142	7168	6539.274878	N
hsa-mir-143	28357	25869.729032	N
hsa-mir-144	140	127.720212	N
hsa-mir-145	2029	1851.030793	N
hsa-mir-1468	8	7.298298	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	619	564.705796	N
hsa-mir-146b	5661	5164.458019	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	15	13.684308	N
hsa-mir-148a	24306	22174.053456	N
hsa-mir-148b	208	189.755744	N
hsa-mir-149	143	130.457074	N
hsa-mir-150	2087	1903.943453	N
hsa-mir-151a	4495	4100.731107	N
hsa-mir-151b	4	3.649149	N
hsa-mir-152	207	188.843457	N
hsa-mir-153-1	3	2.736862	N
hsa-mir-153-2	14	12.772021	N
hsa-mir-1537	2	1.824574	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	11	10.035160	N
hsa-mir-155	9025	8233.392267	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	236	215.299787	N
hsa-mir-15b	262	239.019255	N
hsa-mir-16-1	876	799.163615	N
hsa-mir-16-2	868	791.865317	N
hsa-mir-17	752	686.039998	Y
hsa-mir-181a-1	2093	1909.417176	N
hsa-mir-181a-2	5070	4625.296265	N
hsa-mir-181b-1	472	430.599573	N
hsa-mir-181b-2	442	403.230956	N
hsa-mir-181c	46	41.965213	N
hsa-mir-181d	10	9.122872	N
hsa-mir-182	42508	38779.505650	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	26622	24286.910685	N
hsa-mir-184	1	0.912287	N
hsa-mir-185	150	136.843085	N
hsa-mir-186	736	671.443403	N
hsa-mir-187	0	0.000000	N
hsa-mir-188	4	3.649149	N
hsa-mir-18a	40	36.491489	N
hsa-mir-18b	2	1.824574	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	2	1.824574	N
hsa-mir-190b	1	0.912287	N
hsa-mir-191	941	858.462285	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	557	508.143988	Y
hsa-mir-193a	133	121.334202	N
hsa-mir-193b	53	48.351223	N
hsa-mir-194-1	100	91.228723	N
hsa-mir-194-2	96	87.579574	N
hsa-mir-195	29	26.456330	N
hsa-mir-196a-1	2	1.824574	N
hsa-mir-196a-2	2	1.824574	N
hsa-mir-196b	20	18.245745	N
hsa-mir-197	1094	998.042232	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	17	15.508883	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	2020	1842.820208	Y
hsa-mir-199a-2	3383	3086.267705	Y
hsa-mir-199b	4247	3874.483873	Y
hsa-mir-19a	63	57.474096	N
hsa-mir-19b-1	115	104.913032	N
hsa-mir-19b-2	113	103.088457	N
hsa-mir-200a	1556	1419.518933	N
hsa-mir-200b	1002	914.111806	N
hsa-mir-200c	14591	13311.182999	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	18507	16883.699799	N
hsa-mir-203b	652	594.811275	N
hsa-mir-204	2	1.824574	N
hsa-mir-205	8	7.298298	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	365	332.984840	N
hsa-mir-20b	39	35.579202	N
hsa-mir-21	490698	447657.520075	N
hsa-mir-210	4482	4088.871373	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	2	1.824574	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	4	3.649149	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	27	24.631755	N
hsa-mir-214	65	59.298670	N
hsa-mir-215	3	2.736862	Y
hsa-mir-216a	2	1.824574	N
hsa-mir-216b	3	2.736862	N
hsa-mir-217	103	93.965585	N
hsa-mir-218-1	24	21.894894	N
hsa-mir-218-2	20	18.245745	N
hsa-mir-219a-1	7	6.386011	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	2	1.824574	N
hsa-mir-22	88919	81119.668365	N
hsa-mir-221	707	644.987073	N
hsa-mir-222	409	373.125478	N
hsa-mir-223	358	326.598829	N
hsa-mir-224	402	366.739467	N
hsa-mir-2276	1	0.912287	N
hsa-mir-2277	2	1.824574	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	523	477.126222	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	4522	4125.362862	Y
hsa-mir-23b	1904	1736.994889	Y
hsa-mir-23c	2	1.824574	N
hsa-mir-24-1	1260	1149.481912	N
hsa-mir-24-2	1365	1245.272071	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	20431	18638.940433	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	1544	1408.571486	N
hsa-mir-26a-2	1575	1436.852390	N
hsa-mir-26b	1477	1347.448241	N
hsa-mir-27a	1934	1764.363506	Y
hsa-mir-27b	2337	2132.015261	Y
hsa-mir-28	13884	12666.195926	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	10	9.122872	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	8	7.298298	N
hsa-mir-29a	16559	15106.564272	N
hsa-mir-29b-1	593	540.986328	N
hsa-mir-29b-2	610	556.495211	N
hsa-mir-29c	1152	1050.954891	N
hsa-mir-300	0	0.000000	N
hsa-mir-301a	58	52.912659	N
hsa-mir-301b	4	3.649149	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	0	0.000000	N
hsa-mir-3065	55	50.175798	N
hsa-mir-3074	16	14.596596	N
hsa-mir-30a	10844	9892.842742	Y
hsa-mir-30b	321	292.844201	N
hsa-mir-30c-1	232	211.650638	N
hsa-mir-30c-2	244	222.598085	N
hsa-mir-30d	4797	4376.241851	N
hsa-mir-30e	12486	11390.818376	Y
hsa-mir-31	27	24.631755	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	13	11.859734	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	0	0.000000	N
hsa-mir-3130-1	7	6.386011	N
hsa-mir-3130-2	5	4.561436	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	5	4.561436	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	1	0.912287	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	2	1.824574	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	1	0.912287	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	2	1.824574	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	0	0.000000	N
hsa-mir-3158-1	0	0.000000	N
hsa-mir-3158-2	0	0.000000	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	10	9.122872	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	4	3.649149	N
hsa-mir-3174	1	0.912287	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	0	0.000000	N
hsa-mir-3177	0	0.000000	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	0	0.000000	N
hsa-mir-3188	0	0.000000	N
hsa-mir-3189	0	0.000000	N
hsa-mir-3190	0	0.000000	N
hsa-mir-3191	0	0.000000	N
hsa-mir-3192	0	0.000000	N
hsa-mir-3193	0	0.000000	N
hsa-mir-3194	3	2.736862	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	0	0.000000	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198-1	0	0.000000	N
hsa-mir-3198-2	0	0.000000	N
hsa-mir-3199-1	0	0.000000	N
hsa-mir-3199-2	0	0.000000	N
hsa-mir-32	14	12.772021	N
hsa-mir-3200	0	0.000000	N
hsa-mir-3201	0	0.000000	N
hsa-mir-3202-1	0	0.000000	N
hsa-mir-3202-2	0	0.000000	N
hsa-mir-320a	618	563.793509	Y
hsa-mir-320b-1	2	1.824574	Y
hsa-mir-320b-2	6	5.473723	Y
hsa-mir-320c-1	0	0.000000	N
hsa-mir-320c-2	1	0.912287	N
hsa-mir-320d-1	0	0.000000	N
hsa-mir-320d-2	0	0.000000	N
hsa-mir-320e	0	0.000000	N
hsa-mir-323a	7	6.386011	N
hsa-mir-323b	5	4.561436	N
hsa-mir-324	46	41.965213	N
hsa-mir-325	0	0.000000	N
hsa-mir-326	14	12.772021	N
hsa-mir-328	17	15.508883	N
hsa-mir-329-1	0	0.000000	N
hsa-mir-329-2	0	0.000000	N
hsa-mir-330	50	45.614362	N
hsa-mir-331	103	93.965585	N
hsa-mir-335	173	157.825691	N
hsa-mir-337	23	20.982606	N
hsa-mir-338	241	219.861223	N
hsa-mir-339	159	145.053670	N
hsa-mir-33a	10	9.122872	N
hsa-mir-33b	0	0.000000	N
hsa-mir-340	14	12.772021	N
hsa-mir-342	932	850.251700	N
hsa-mir-345	30	27.368617	N
hsa-mir-346	0	0.000000	N
hsa-mir-34a	398	363.090318	N
hsa-mir-34b	11	10.035160	N
hsa-mir-34c	104	94.877872	N
hsa-mir-3529	0	0.000000	N
hsa-mir-3591	0	0.000000	N
hsa-mir-3605	11	10.035160	N
hsa-mir-3606	0	0.000000	N
hsa-mir-3607	248	226.247233	N
hsa-mir-3609	0	0.000000	N
hsa-mir-361	413	376.774627	N
hsa-mir-3610	0	0.000000	N
hsa-mir-3611	1	0.912287	N
hsa-mir-3612	0	0.000000	N
hsa-mir-3613	15	13.684308	N
hsa-mir-3614	4	3.649149	N
hsa-mir-3615	2	1.824574	N
hsa-mir-3616	0	0.000000	N
hsa-mir-3617	1	0.912287	N
hsa-mir-3618	0	0.000000	N
hsa-mir-3619	0	0.000000	N
hsa-mir-362	29	26.456330	N
hsa-mir-3620	0	0.000000	N
hsa-mir-3621	0	0.000000	N
hsa-mir-3622a	1	0.912287	N
hsa-mir-3622b	0	0.000000	N
hsa-mir-363	39	35.579202	N
