miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	48640	7484.321623	N
hsa-let-7a-2	49293	7584.799872	N
hsa-let-7a-3	48966	7534.483812	N
hsa-let-7b	67647	10408.961860	N
hsa-let-7c	4359	670.726932	N
hsa-let-7d	2378	365.907007	N
hsa-let-7e	6263	963.698732	N
hsa-let-7f-1	16467	2533.806007	N
hsa-let-7f-2	16486	2536.729570	N
hsa-let-7g	3137	482.695661	N
hsa-let-7i	2788	428.994422	N
hsa-mir-100	246482	37926.615180	Y
hsa-mir-101-1	32494	4999.908446	N
hsa-mir-101-2	32745	5038.530254	N
hsa-mir-103a-1	31232	4805.722306	Y
hsa-mir-103a-2	30830	4743.865864	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	194	29.851118	N
hsa-mir-105-2	198	30.466605	N
hsa-mir-106a	24	3.692922	Y
hsa-mir-106b	3709	570.710298	N
hsa-mir-107	350	53.855110	Y
hsa-mir-10a	108685	16723.550486	N
hsa-mir-10b	28163	4333.489923	N
hsa-mir-1-1	43	6.616485	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	66	10.155535	N
hsa-mir-1181	1	0.153872	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.307743	N
hsa-mir-1185-2	3	0.461615	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	68	10.463279	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.461615	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	1.230974	N
hsa-mir-1229	1	0.153872	N
hsa-mir-1231	1	0.153872	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.153872	N
hsa-mir-1237	1	0.153872	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	1	0.153872	N
hsa-mir-1244-1	1	0.153872	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.384846	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	70	10.771022	N
hsa-mir-1248	22	3.385178	N
hsa-mir-1249	18	2.769691	N
hsa-mir-1250	2	0.307743	N
hsa-mir-1251	1	0.153872	N
hsa-mir-1252	4	0.615487	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.307743	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	7	1.077102	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	1.077102	N
hsa-mir-125a	3905	600.869160	N
hsa-mir-125b-1	5831	897.226139	N
hsa-mir-125b-2	5868	902.919393	N
hsa-mir-126	24679	3797.400768	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	5	0.769359	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.307743	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	33	5.077768	N
hsa-mir-1267	1	0.153872	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.307743	N
hsa-mir-1269b	184	28.312401	N
hsa-mir-127	4059	624.565408	N
hsa-mir-1270	4	0.615487	N
hsa-mir-1271	25	3.846794	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.307743	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	14	2.154204	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	404	62.164185	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	299	46.007651	N
hsa-mir-1283-1	3	0.461615	N
hsa-mir-1283-2	3	0.461615	N
hsa-mir-1284	1	0.153872	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	192	29.543375	N
hsa-mir-1288	1	0.153872	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.153872	N
hsa-mir-129-1	3	0.461615	N
hsa-mir-1292	1	0.153872	N
hsa-mir-129-2	11	1.692589	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.307743	N
hsa-mir-1295a	3	0.461615	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	38	5.847126	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	47	7.231972	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	31	4.770024	N
hsa-mir-1305	4	0.615487	N
hsa-mir-1306	45	6.924228	N
hsa-mir-1307	7648	1176.811097	N
hsa-mir-130a	966	148.640105	N
hsa-mir-130b	271	41.699243	N
hsa-mir-132	582	89.553355	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	1	0.153872	N
hsa-mir-1323	6	0.923230	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	27	4.154537	Y
hsa-mir-133a-2	43	6.616485	Y
hsa-mir-133b	17	2.615820	Y
hsa-mir-134	957	147.255259	N
hsa-mir-1343	3	0.461615	N
hsa-mir-135a-1	2	0.307743	N
hsa-mir-135a-2	5	0.769359	N
hsa-mir-135b	290	44.622806	N
hsa-mir-136	245	37.698577	N
hsa-mir-137	51	7.847459	N
hsa-mir-138-1	61	9.386176	N
hsa-mir-138-2	43	6.616485	N
hsa-mir-139	294	45.238293	N
hsa-mir-140	6037	928.923718	N
hsa-mir-141	13435	2067.266879	N
hsa-mir-142	24011	3694.614443	N
hsa-mir-143	521217	80200.568741	N
hsa-mir-144	591	90.938201	N
hsa-mir-145	16557	2547.654464	N
hsa-mir-1468	28	4.308409	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1364	209.881059	N
hsa-mir-146b	9536	1467.320950	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	90	13.848457	N
hsa-mir-148a	237643	36566.542836	N
hsa-mir-148b	748	115.096064	N
hsa-mir-149	260	40.006653	N
hsa-mir-150	11878	1827.688574	N
hsa-mir-151a	13636	2098.195100	N
hsa-mir-151b	8	1.230974	N
hsa-mir-152	1627	250.349327	N
hsa-mir-153-1	7	1.077102	N
hsa-mir-153-2	51	7.847459	N
hsa-mir-1537	3	0.461615	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	50	7.693587	N
hsa-mir-155	2973	457.460695	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1113	171.259251	N
hsa-mir-15b	1237	190.339347	N
hsa-mir-16-1	1599	246.040918	N
hsa-mir-16-2	1720	264.659400	N
hsa-mir-17	3033	466.692999	Y
hsa-mir-181a-1	20519	3157.294313	N
hsa-mir-181a-2	26058	4009.589903	N
hsa-mir-181b-1	3413	525.164262	N
hsa-mir-181b-2	3186	490.235376	N
hsa-mir-181c	819	126.020958	N
hsa-mir-181d	144	22.157531	N
hsa-mir-182	57024	8774.382324	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	24257	3732.466892	N
hsa-mir-184	6	0.923230	N
hsa-mir-185	447	68.780670	N
hsa-mir-186	1139	175.259916	N
hsa-mir-187	89	13.694585	N
hsa-mir-188	30	4.616152	N
hsa-mir-18a	72	11.078766	Y
hsa-mir-18b	2	0.307743	Y
hsa-mir-1908	1	0.153872	N
hsa-mir-1909	1	0.153872	N
hsa-mir-190a	18	2.769691	N
hsa-mir-190b	8	1.230974	N
hsa-mir-191	2715	417.761785	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.153872	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1181	181.722530	Y
hsa-mir-193a	1124	172.951840	N
hsa-mir-193b	1087	167.258586	N
hsa-mir-194-1	241	37.083090	N
hsa-mir-194-2	294	45.238293	N
hsa-mir-195	291	44.776677	N
hsa-mir-196a-1	3	0.461615	N
hsa-mir-196a-2	4	0.615487	N
hsa-mir-196b	597	91.861431	N
hsa-mir-197	2283	351.289191	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	80	12.309740	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	14273	2196.211401	Y
hsa-mir-199a-2	23580	3628.295721	Y
hsa-mir-199b	30225	4650.773459	Y
hsa-mir-19a	143	22.003659	N
hsa-mir-19b-1	383	58.932878	N
hsa-mir-19b-2	352	54.162854	N
hsa-mir-200a	3526	542.551769	N
hsa-mir-200b	2330	358.521163	N
hsa-mir-200c	49234	7575.721439	N
hsa-mir-202	1	0.153872	N
hsa-mir-203a	11094	1707.053127	N
hsa-mir-203b	71	10.924894	N
hsa-mir-204	30	4.616152	N
hsa-mir-205	11925	1834.920546	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	946	145.562670	N
hsa-mir-20b	28	4.308409	N
hsa-mir-21	3054294	469969.544166	N
hsa-mir-210	12514	1925.551003	N
hsa-mir-211	2	0.307743	N
hsa-mir-2110	9	1.384846	N
hsa-mir-2113	3	0.461615	N
hsa-mir-2114	1	0.153872	N
hsa-mir-2115	3	0.461615	N
hsa-mir-2116	4	0.615487	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	46	7.078100	N
hsa-mir-214	532	81.859768	N
hsa-mir-215	22	3.385178	Y
hsa-mir-216a	4	0.615487	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	88	13.540713	N
hsa-mir-218-1	211	32.466938	N
hsa-mir-218-2	232	35.698245	N
hsa-mir-219a-1	7	1.077102	N
hsa-mir-219a-2	1	0.153872	N
hsa-mir-219b	1	0.153872	N
hsa-mir-22	628528	96712.699450	N
hsa-mir-221	4902	754.279289	N
hsa-mir-222	1448	222.806285	N
hsa-mir-223	2193	337.440734	N
hsa-mir-224	549	84.475587	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	7	1.077102	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	541	83.244613	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	23584	3628.911208	Y
hsa-mir-23b	7642	1175.887867	Y
hsa-mir-23c	5	0.769359	N
hsa-mir-24-1	6299	969.238115	N
hsa-mir-24-2	6521	1003.397642	N
hsa-mir-2467	0	0.000000	N
