miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	70368	5290.101170	N
hsa-let-7a-2	70642	5310.699848	Y
hsa-let-7a-3	70416	5293.709698	N
hsa-let-7b	81601	6134.571760	N
hsa-let-7c	8296	623.673819	Y
hsa-let-7d	9414	707.722437	N
hsa-let-7e	29109	2188.346336	N
hsa-let-7f-1	32585	2449.663862	N
hsa-let-7f-2	32607	2451.317770	N
hsa-let-7g	9108	684.718074	N
hsa-let-7i	11138	837.328712	N
hsa-mir-100	60083	4516.898997	Y
hsa-mir-101-1	84028	6317.027927	N
hsa-mir-101-2	84180	6328.454930	N
hsa-mir-103a-1	87053	6544.440331	Y
hsa-mir-103a-2	87608	6586.163929	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2788	209.595300	N
hsa-mir-105-2	2821	212.076162	N
hsa-mir-106a	137	10.299339	Y
hsa-mir-106b	5334	400.997607	N
hsa-mir-107	980	73.674101	Y
hsa-mir-10a	907902	68253.942598	N
hsa-mir-10b	17242	1296.213114	N
hsa-mir-1-1	70	5.262436	N
hsa-mir-1178	1	0.075178	N
hsa-mir-1179	2	0.150355	N
hsa-mir-1180	310	23.305073	N
hsa-mir-1181	5	0.375888	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	68	5.112080	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	2	0.150355	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.150355	N
hsa-mir-1224	11	0.826954	N
hsa-mir-1225	1	0.075178	N
hsa-mir-1226	59	4.435482	N
hsa-mir-1227	8	0.601421	N
hsa-mir-1228	42	3.157461	N
hsa-mir-1229	31	2.330507	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.075178	N
hsa-mir-1236	1	0.075178	N
