miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	113360	21583.858412	N
hsa-let-7a-2	112886	21493.608333	N
hsa-let-7a-3	113414	21594.140066	N
hsa-let-7b	141601	26960.973315	N
hsa-let-7c	6794	1293.584457	N
hsa-let-7d	3093	588.910322	N
hsa-let-7e	9270	1765.017356	N
hsa-let-7f-1	53721	10228.532619	N
hsa-let-7f-2	54356	10349.437260	N
hsa-let-7g	4686	892.219129	N
hsa-let-7i	2669	508.180294	N
hsa-mir-100	131113	24964.047529	Y
hsa-mir-101-1	39981	7612.422752	N
hsa-mir-101-2	40594	7729.138571	N
hsa-mir-103a-1	32675	6221.352978	Y
hsa-mir-103a-2	32645	6215.640948	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	18	3.427218	Y
hsa-mir-106b	2153	409.933373	N
hsa-mir-107	288	54.835491	Y
hsa-mir-10a	86238	16419.802238	N
hsa-mir-10b	5758	1096.329011	N
hsa-mir-1-1	7	1.332807	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.190401	N
hsa-mir-1180	79	15.041680	N
hsa-mir-1181	1	0.190401	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	15	2.856015	N
hsa-mir-1185-2	6	1.142406	N
hsa-mir-1193	4	0.761604	N
hsa-mir-1197	7	1.332807	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	13	2.475213	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.571203	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.952005	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	1.523208	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
