miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	169628	17910.133213	N
hsa-let-7a-2	167843	17721.664400	Y
hsa-let-7a-3	169083	17852.589514	N
hsa-let-7b	199750	21090.557628	N
hsa-let-7c	22939	2422.009018	Y
hsa-let-7d	4518	477.031987	N
hsa-let-7e	22196	2343.559535	N
hsa-let-7f-1	82061	8664.391737	N
hsa-let-7f-2	82672	8728.904031	N
hsa-let-7g	6534	689.890881	N
hsa-let-7i	5456	576.070500	N
hsa-mir-100	73823	7794.584409	Y
hsa-mir-101-1	64970	6859.842449	N
hsa-mir-101-2	65750	6942.198568	N
hsa-mir-103a-1	76138	8039.013150	Y
hsa-mir-103a-2	76263	8052.211246	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.105585	N
hsa-mir-105-2	4	0.422339	N
hsa-mir-106a	115	12.142248	Y
hsa-mir-106b	3906	412.414108	N
hsa-mir-107	1330	140.427743	Y
hsa-mir-10a	202419	21372.363377	N
hsa-mir-10b	24794	2617.868765	N
hsa-mir-1-1	24	2.534034	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	98	10.347307	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.316754	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.105585	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	36	3.801052	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.316754	N
hsa-mir-1225	1	0.105585	N
hsa-mir-1226	8	0.844678	N
hsa-mir-1227	2	0.211170	N
hsa-mir-1228	10	1.055848	N
hsa-mir-1229	4	0.422339	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.316754	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.105585	N
hsa-mir-1243	1	0.105585	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.739093	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	176	18.582919	N
hsa-mir-1248	4	0.422339	N
hsa-mir-1249	20	2.111695	N
hsa-mir-1250	2	0.211170	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.105585	N
hsa-mir-1254-2	1	0.105585	N
hsa-mir-1255a	2	0.211170	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.422339	N
hsa-mir-125a	3229	340.933219	N
hsa-mir-125b-1	2557	269.980255	N
hsa-mir-125b-2	2838	299.649575	N
hsa-mir-126	5465	577.020763	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.211170	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	0.739093	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	82	8.657951	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
