miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	42233	8674.070561	N
hsa-let-7a-2	41771	8579.182190	Y
hsa-let-7a-3	41944	8614.713982	N
hsa-let-7b	84015	17255.511998	N
hsa-let-7c	2639	542.013880	Y
hsa-let-7d	4201	862.826946	N
hsa-let-7e	3255	668.531709	N
hsa-let-7f-1	13932	2861.438947	N
hsa-let-7f-2	14019	2879.307537	N
hsa-let-7g	3629	745.346105	N
hsa-let-7i	3244	666.272462	N
hsa-mir-100	22119	4542.934832	Y
hsa-mir-101-1	32524	6679.977054	N
hsa-mir-101-2	32808	6738.306703	N
hsa-mir-103a-1	35035	7195.701516	Y
hsa-mir-103a-2	35065	7201.863098	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	608	124.874740	N
hsa-mir-105-2	608	124.874740	N
hsa-mir-106a	349	71.679744	Y
hsa-mir-106b	3378	693.794198	N
hsa-mir-107	528	108.443853	Y
hsa-mir-10a	125020	25677.368446	N
hsa-mir-10b	48923	10048.103475	N
hsa-mir-1-1	10	2.053861	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	95	19.511678	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.205386	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	8	1.643089	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.205386	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	1.232317	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	1.026930	N
hsa-mir-1229	5	1.026930	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.205386	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.205386	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	67	13.760868	N
hsa-mir-1248	2	0.410772	N
hsa-mir-1249	14	2.875405	N
hsa-mir-1250	7	1.437703	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.205386	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	6	1.232317	N
hsa-mir-1255b-1	0	0.000000	N
