miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	145544	16313.479199	N
hsa-let-7a-2	145707	16331.749256	Y
hsa-let-7a-3	146632	16435.429025	N
hsa-let-7b	346176	38801.564993	N
hsa-let-7c	57180	6409.091001	Y
hsa-let-7d	5592	626.786234	N
hsa-let-7e	17303	1939.428149	N
hsa-let-7f-1	27477	3079.793519	N
hsa-let-7f-2	28098	3149.399072	N
hsa-let-7g	4291	480.962041	N
hsa-let-7i	7015	786.284949	N
hsa-mir-100	306666	34373.037790	Y
hsa-mir-101-1	51188	5737.470272	N
hsa-mir-101-2	52086	5838.123712	N
hsa-mir-103a-1	126208	14146.179731	Y
hsa-mir-103a-2	126579	14187.763725	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.336259	N
hsa-mir-105-2	1	0.112086	N
hsa-mir-106a	79	8.854813	Y
hsa-mir-106b	4702	527.029484	N
hsa-mir-107	921	103.231424	Y
hsa-mir-10a	454019	50889.280991	N
hsa-mir-10b	291536	32677.173033	N
hsa-mir-1-1	48	5.380139	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.112086	N
hsa-mir-1180	2461	275.844228	N
hsa-mir-1181	3	0.336259	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.448345	N
hsa-mir-1185-2	5	0.560431	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.112086	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	59	6.613088	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.224172	N
hsa-mir-1224	37	4.147191	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	18	2.017552	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	0.784604	N
hsa-mir-1229	1	0.112086	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.112086	N
hsa-mir-1238	1	0.112086	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	1	0.112086	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	1.457121	N
