miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	96126	9239.011338	N
hsa-let-7a-2	95146	9144.820056	Y
hsa-let-7a-3	95574	9185.956657	N
hsa-let-7b	133034	12786.370329	N
hsa-let-7c	19585	1882.383924	Y
hsa-let-7d	8747	840.705243	N
hsa-let-7e	9942	955.560938	N
hsa-let-7f-1	59227	5692.517368	N
hsa-let-7f-2	59358	5705.108243	N
hsa-let-7g	7890	758.335928	N
hsa-let-7i	9661	928.553030	N
hsa-mir-100	65284	6274.677155	N
hsa-mir-101-1	93761	9011.702786	N
hsa-mir-101-2	93932	9028.138204	N
hsa-mir-103a-1	58199	5593.712636	Y
hsa-mir-103a-2	58574	5629.755218	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	4	0.384454	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	156	14.993714	Y
hsa-mir-106b	6125	588.695508	N
hsa-mir-107	799	76.794728	Y
hsa-mir-10a	326890	31418.559143	N
hsa-mir-10b	21935	2108.250772	N
hsa-mir-1-1	44	4.228996	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.096114	N
hsa-mir-1180	321	30.852450	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.096114	N
hsa-mir-1185-2	1	0.096114	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	42	4.036769	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.384454	N
