miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	155239	23475.596201	N
hsa-let-7a-2	154945	23431.136850	Y
hsa-let-7a-3	155647	23537.294893	N
hsa-let-7b	375088	56721.664195	N
hsa-let-7c	8857	1339.375773	Y
hsa-let-7d	7439	1124.942573	N
hsa-let-7e	18838	2848.725393	N
hsa-let-7f-1	74184	11218.273943	N
hsa-let-7f-2	74395	11250.181845	N
hsa-let-7g	9205	1392.001128	N
hsa-let-7i	3394	513.248433	N
hsa-mir-100	12704	1921.127900	Y
hsa-mir-101-1	10540	1593.882877	N
hsa-mir-101-2	10765	1627.907891	N
hsa-mir-103a-1	28930	4374.860686	Y
hsa-mir-103a-2	29168	4410.851590	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.151222	N
hsa-mir-106a	9	1.361001	Y
hsa-mir-106b	2091	316.205797	N
hsa-mir-107	404	61.093803	Y
hsa-mir-10a	92452	13980.802633	N
hsa-mir-10b	6688	1011.374638	N
hsa-mir-1-1	135	20.415008	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	85	12.853894	N
hsa-mir-1181	4	0.604889	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	166	25.102899	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.151222	N
hsa-mir-1225	1	0.151222	N
hsa-mir-1226	16	2.419557	N
hsa-mir-1227	1	0.151222	N
hsa-mir-1228	6	0.907334	N
hsa-mir-1229	4	0.604889	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.151222	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.151222	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.302445	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	80	12.097783	N
hsa-mir-1248	20	3.024446	N
hsa-mir-1249	7	1.058556	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	11	1.663445	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	17	2.570779	N
hsa-mir-1254-2	7	1.058556	N
hsa-mir-1255a	14	2.117112	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.151222	N
hsa-mir-1257	1	0.151222	N
hsa-mir-1258	5	0.756111	N
hsa-mir-125a	5520	834.747010	N
hsa-mir-125b-1	675	102.075042	N
hsa-mir-125b-2	695	105.099488	N
hsa-mir-126	23435	3543.894234	N
hsa-mir-1260a	2	0.302445	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	20	3.024446	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1974	298.512789	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	7	1.058556	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	563	85.138146	N
hsa-mir-1270	13	1.965890	N
hsa-mir-1271	8	1.209778	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
