miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	69817	10678.249389	N
hsa-let-7a-2	69237	10589.540556	N
hsa-let-7a-3	69618	10647.813083	N
hsa-let-7b	85191	13029.645269	N
hsa-let-7c	2343	358.353099	N
hsa-let-7d	2648	405.001710	N
hsa-let-7e	13415	2051.774146	N
hsa-let-7f-1	34773	5318.400476	N
hsa-let-7f-2	35252	5391.661737	N
hsa-let-7g	3352	512.675881	N
hsa-let-7i	2939	449.509073	N
hsa-mir-100	46041	7041.798991	Y
hsa-mir-101-1	44137	6750.589302	N
hsa-mir-101-2	44924	6870.958013	N
hsa-mir-103a-1	49023	7497.884753	Y
hsa-mir-103a-2	49072	7505.379120	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	179	27.377381	N
hsa-mir-105-2	169	25.847919	N
hsa-mir-106a	125	19.118283	Y
hsa-mir-106b	6901	1055.482175	N
hsa-mir-107	1052	160.899471	Y
hsa-mir-10a	154608	23646.716152	N
hsa-mir-10b	51513	7878.720953	N
hsa-mir-1-1	12	1.835355	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	212	32.424608	N
hsa-mir-1181	2	0.305893	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.611785	N
hsa-mir-1185-2	1	0.152946	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.152946	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	22	3.364818	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	8	1.223570	N
hsa-mir-1225	1	0.152946	N
hsa-mir-1226	16	2.447140	N
hsa-mir-1227	6	0.917678	N
hsa-mir-1228	14	2.141248	N
hsa-mir-1229	3	0.458839	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.152946	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.305893	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.458839	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	2	0.305893	N
hsa-mir-1247	53	8.106152	N
hsa-mir-1248	5	0.764731	N
hsa-mir-1249	14	2.141248	N
hsa-mir-1250	5	0.764731	N
hsa-mir-1251	4	0.611785	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.611785	N
hsa-mir-1254-2	4	0.611785	N
hsa-mir-1255a	2	0.305893	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.152946	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.764731	N
hsa-mir-125a	2311	353.458819	N
hsa-mir-125b-1	1388	212.289416	N
hsa-mir-125b-2	1525	233.243054	N
hsa-mir-126	4962	758.919367	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.152946	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.917678	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	143	21.871316	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	312	47.719235	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	3952	604.443640	N
hsa-mir-1270	5	0.764731	N
hsa-mir-1271	10	1.529463	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.305893	N
hsa-mir-1276	3	0.458839	N
hsa-mir-1277	3	0.458839	N
hsa-mir-1278	2	0.305893	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	858	131.227895	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	747	114.250860	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	7	1.070624	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	211	32.271662	N
hsa-mir-1288	3	0.458839	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-129-1	4	0.611785	N
hsa-mir-1292	5	0.764731	N
hsa-mir-129-2	3	0.458839	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	8	1.223570	N
hsa-mir-1295a	13	1.988301	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	31	4.741334	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	235	35.942372	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	13	1.988301	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	54	8.259098	N
hsa-mir-1307	10406	1591.558834	N
hsa-mir-130a	378	57.813688	N
hsa-mir-130b	439	67.143410	N
hsa-mir-132	489	74.790724	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
