miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	19524	3733.582392	N
hsa-let-7a-2	19576	3743.526373	N
hsa-let-7a-3	19861	3798.027038	N
hsa-let-7b	31836	6088.011116	N
hsa-let-7c	4451	851.166525	N
hsa-let-7d	1379	263.706726	N
hsa-let-7e	1020	195.055011	N
hsa-let-7f-1	5687	1087.527303	N
hsa-let-7f-2	5565	1064.197194	N
hsa-let-7g	1108	211.883287	N
hsa-let-7i	1631	311.896788	N
hsa-mir-100	13199	2524.050092	N
hsa-mir-101-1	13031	2491.923384	N
hsa-mir-101-2	13099	2504.927051	N
hsa-mir-103a-1	41160	7871.043395	Y
hsa-mir-103a-2	41446	7925.735290	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	23	4.398299	N
hsa-mir-105-2	19	3.633378	N
hsa-mir-106a	41	7.840447	Y
hsa-mir-106b	12407	2372.595612	N
hsa-mir-107	353	67.504332	Y
hsa-mir-10a	61339	11729.881701	N
hsa-mir-10b	8316	1590.272033	N
hsa-mir-1-1	1	0.191230	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.191230	N
hsa-mir-1180	566	108.236408	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	4	0.764922	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	8504	1626.223349	N
hsa-mir-1224	2	0.382461	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	48	9.179059	N
hsa-mir-1227	4	0.764922	N
hsa-mir-1228	6	1.147382	N
hsa-mir-1229	21	4.015838	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.191230	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.191230	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.191230	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.382461	N
hsa-mir-1245b	2	0.382461	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	286	54.691895	N
hsa-mir-1248	6	1.147382	N
hsa-mir-1249	16	3.059686	N
hsa-mir-1250	5	0.956152	N
hsa-mir-1251	146	27.919639	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	3	0.573691	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.573691	N
hsa-mir-125a	1630	311.705557	N
hsa-mir-125b-1	827	158.147543	N
hsa-mir-125b-2	1022	195.437472	N
hsa-mir-126	10147	1940.414901	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.191230	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	281	53.735743	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
