miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	48227	6710.939637	N
hsa-let-7a-2	48435	6739.883495	N
hsa-let-7a-3	48575	6759.364938	N
hsa-let-7b	184328	25649.824403	N
hsa-let-7c	13800	1920.313662	N
hsa-let-7d	2405	334.663359	N
hsa-let-7e	4799	667.796034	N
hsa-let-7f-1	13413	1866.461388	N
hsa-let-7f-2	13372	1860.756108	N
hsa-let-7g	1857	258.407425	N
hsa-let-7i	3581	498.307480	N
hsa-mir-100	52248	7270.474510	Y
hsa-mir-101-1	58816	8184.432490	N
hsa-mir-101-2	59484	8277.386804	N
hsa-mir-103a-1	42048	5851.112237	Y
hsa-mir-103a-2	42020	5847.215949	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.278306	N
hsa-mir-105-2	1	0.139153	N
hsa-mir-106a	46	6.401046	Y
hsa-mir-106b	2816	391.855310	N
hsa-mir-107	605	84.187664	Y
hsa-mir-10a	193596	26939.495926	N
hsa-mir-10b	160288	22304.582342	N
hsa-mir-1-1	26	3.617982	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	131	18.229064	N
hsa-mir-1181	1	0.139153	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.278306	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.139153	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	37	5.148667	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	6	0.834919	N
hsa-mir-1225	1	0.139153	N
hsa-mir-1226	4	0.556613	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	12	1.669838	N
hsa-mir-1229	1	0.139153	N
