miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	87487	10560.095328	N
hsa-let-7a-2	87162	10520.866288	Y
hsa-let-7a-3	88018	10624.189543	N
hsa-let-7b	66350	8008.759301	N
hsa-let-7c	9043	1091.532937	Y
hsa-let-7d	3035	366.338877	N
hsa-let-7e	16010	1932.482840	N
hsa-let-7f-1	65127	7861.137408	N
hsa-let-7f-2	66277	7999.947856	N
hsa-let-7g	6718	810.894423	N
hsa-let-7i	4804	579.865557	N
hsa-mir-100	55756	6730.013317	N
hsa-mir-101-1	43122	5205.029670	N
hsa-mir-101-2	43928	5302.317688	N
hsa-mir-103a-1	91269	11016.600643	Y
hsa-mir-103a-2	91068	10992.338991	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.362114	N
hsa-mir-105-2	1	0.120705	N
hsa-mir-106a	51	6.155942	Y
hsa-mir-106b	2914	351.733604	N
hsa-mir-107	777	93.787581	Y
hsa-mir-10a	109524	13220.065618	N
hsa-mir-10b	12038	1453.043624	N
hsa-mir-1-1	73	8.811446	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.120705	N
hsa-mir-1180	172	20.761215	N
hsa-mir-1181	2	0.241409	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.120705	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	73	8.811446	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	63	7.604398	N
hsa-mir-1224	5	0.603524	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.603524	N
hsa-mir-1227	2	0.241409	N
hsa-mir-1228	4	0.482819	N
hsa-mir-1229	7	0.844933	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.120705	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	1.569162	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	49	5.914532	N
hsa-mir-1248	2	0.241409	N
hsa-mir-1249	14	1.689866	N
hsa-mir-1250	1	0.120705	N
hsa-mir-1251	10	1.207047	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.724228	N
hsa-mir-1254-2	4	0.482819	N
hsa-mir-1255a	2	0.241409	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	2	0.241409	N
hsa-mir-1258	3	0.362114	N
hsa-mir-125a	5621	678.481327	N
hsa-mir-125b-1	2022	244.064978	N
hsa-mir-125b-2	2156	260.239413	N
hsa-mir-126	23144	2793.590434	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.362114	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	29	3.500437	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	19	2.293390	N
hsa-mir-127	2853	344.370615	N
hsa-mir-1270	20	2.414095	N
hsa-mir-1271	12	1.448457	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.241409	N
hsa-mir-1276	2	0.241409	N
hsa-mir-1277	7	0.844933	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	704	84.976135	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	517	62.404349	N
hsa-mir-1283-1	1	0.120705	N
hsa-mir-1283-2	1	0.120705	N
hsa-mir-1284	1	0.120705	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	241	29.089842	N
hsa-mir-1288	1	0.120705	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-129-1	8	0.965638	N
hsa-mir-1292	2	0.241409	N
hsa-mir-129-2	10	1.207047	N
hsa-mir-1293	3	0.362114	N
hsa-mir-1294	3	0.362114	N
hsa-mir-1295a	4	0.482819	N
hsa-mir-1295b	1	0.120705	N
hsa-mir-1296	13	1.569162	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	59	7.121579	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	13	1.569162	N
hsa-mir-1305	5	0.603524	N
hsa-mir-1306	35	4.224666	N
hsa-mir-1307	8449	1019.834323	N
hsa-mir-130a	746	90.045734	N
hsa-mir-130b	219	26.434337	N
hsa-mir-132	1219	147.139074	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	29	3.500437	Y
hsa-mir-133a-2	22	2.655504	Y
hsa-mir-133b	6	0.724228	Y
hsa-mir-134	439	52.989380	N
hsa-mir-1343	2	0.241409	N
hsa-mir-135a-1	17	2.051981	N
hsa-mir-135a-2	25	3.017618	N
hsa-mir-135b	286	34.521555	N
hsa-mir-136	250	30.176184	N
hsa-mir-137	4	0.482819	N
hsa-mir-138-1	10	1.207047	N
hsa-mir-138-2	7	0.844933	N
hsa-mir-139	754	91.011372	N
hsa-mir-140	12454	1503.256795	N
hsa-mir-141	8371	1010.419354	N
hsa-mir-142	29013	3502.006535	N
hsa-mir-143	372127	44917.491673	N
hsa-mir-144	2767	333.990007	N
hsa-mir-145	8160	984.950654	N
hsa-mir-1468	24	2.896914	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	3957	477.628644	N
hsa-mir-146b	30733	3709.618683	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	25	3.017618	N
hsa-mir-148a	318605	38457.132739	N
hsa-mir-148b	1487	179.487944	N
hsa-mir-149	106	12.794702	N
hsa-mir-150	17496	2111.850079	N
hsa-mir-151a	14762	1781.843328	N
hsa-mir-151b	19	2.293390	N
hsa-mir-152	1721	207.732852	N
hsa-mir-153-1	3	0.362114	N
hsa-mir-153-2	40	4.828189	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	22	2.655504	N
hsa-mir-155	7397	892.852940	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2393	288.846436	N
hsa-mir-15b	1585	191.317008	N
hsa-mir-16-1	1767	213.285270	N
hsa-mir-16-2	1712	206.646510	N
hsa-mir-17	5339	644.442591	Y
hsa-mir-181a-1	24546	2962.818475	N
hsa-mir-181a-2	23492	2835.595682	N
hsa-mir-181b-1	4179	504.425096	N
hsa-mir-181b-2	4162	502.373115	N
hsa-mir-181c	888	107.185806	N
hsa-mir-181d	194	23.416719	N
hsa-mir-182	53987	6516.486638	N
hsa-mir-1825	1	0.120705	N
