miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	57096	8927.140518	N
hsa-let-7a-2	56805	8881.641746	Y
hsa-let-7a-3	57811	9038.933033	N
hsa-let-7b	84057	13142.578298	N
hsa-let-7c	18284	2858.761336	Y
hsa-let-7d	5160	806.782350	N
hsa-let-7e	7756	1212.675176	N
hsa-let-7f-1	25503	3987.474860	N
hsa-let-7f-2	25727	4022.497970	N
hsa-let-7g	2791	436.381694	N
hsa-let-7i	3961	619.314901	N
hsa-mir-100	49918	7804.837473	Y
hsa-mir-101-1	106296	16619.716416	N
hsa-mir-101-2	106745	16689.918989	N
hsa-mir-103a-1	68063	10641.865719	Y
hsa-mir-103a-2	68219	10666.256813	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	114	17.824261	N
hsa-mir-105-2	132	20.638618	N
hsa-mir-106a	186	29.081689	Y
hsa-mir-106b	25198	3939.787144	N
hsa-mir-107	891	139.310673	Y
hsa-mir-10a	82531	12903.983363	N
hsa-mir-10b	12125	1895.782170	N
hsa-mir-1-1	12	1.876238	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	43	6.723186	N
hsa-mir-1180	1046	163.545414	N
hsa-mir-1181	2	0.312706	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.625413	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	11	1.719885	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.156353	N
hsa-mir-1224	87	13.602726	N
hsa-mir-1225	2	0.312706	N
hsa-mir-1226	14	2.188944	N
hsa-mir-1227	4	0.625413	N
hsa-mir-1228	26	4.065182	N
hsa-mir-1229	57	8.912131	N
hsa-mir-1231	1	0.156353	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.156353	N
hsa-mir-1237	1	0.156353	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	6	0.938119	N
hsa-mir-124-2	9	1.407179	N
hsa-mir-1243	1	0.156353	N
hsa-mir-124-3	5	0.781766	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	2.032591	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	4	0.625413	N
hsa-mir-1247	77	12.039194	N
hsa-mir-1248	62	9.693896	N
hsa-mir-1249	13	2.032591	N
hsa-mir-1250	6	0.938119	N
hsa-mir-1251	14	2.188944	N
hsa-mir-1252	3	0.469060	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.312706	N
hsa-mir-1254-2	4	0.625413	N
hsa-mir-1255a	4	0.625413	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.469060	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	11	1.719885	N
hsa-mir-125a	4565	713.752215	N
hsa-mir-125b-1	2389	373.527720	N
hsa-mir-125b-2	2620	409.645302	N
hsa-mir-126	24332	3804.385300	N
hsa-mir-1260a	2	0.312706	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	21	3.283417	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	190	29.707102	N
hsa-mir-1267	1	0.156353	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	5109	798.808339	N
hsa-mir-1269b	2	0.312706	N
hsa-mir-127	6034	943.435020	N
hsa-mir-1270	2	0.312706	N
hsa-mir-1271	60	9.381190	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.156353	N
hsa-mir-1275	1	0.156353	N
hsa-mir-1276	5	0.781766	N
hsa-mir-1277	19	2.970710	N
hsa-mir-1278	2	0.312706	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	3388	529.724535	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	2890	451.860657	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.469060	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	902	141.030558	N
hsa-mir-1288	7	1.094472	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	1	0.156353	N
hsa-mir-1291	19	2.970710	N
hsa-mir-129-1	79	12.351900	N
hsa-mir-1292	3	0.469060	N
hsa-mir-129-2	77	12.039194	N
hsa-mir-1293	1	0.156353	N
hsa-mir-1294	4	0.625413	N
hsa-mir-1295a	55	8.599424	N
hsa-mir-1295b	1	0.156353	N
hsa-mir-1296	67	10.475662	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.156353	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	547	85.525183	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.156353	N
hsa-mir-1304	9	1.407179	N
hsa-mir-1305	1	0.156353	N
hsa-mir-1306	167	26.110979	N
hsa-mir-1307	28259	4418.384193	N
hsa-mir-130a	1141	178.398965	N
hsa-mir-130b	788	123.206297	N
hsa-mir-132	1099	171.832132	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	4	0.625413	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	22	3.439770	Y
hsa-mir-133a-2	17	2.658004	Y
hsa-mir-133b	8	1.250825	Y
hsa-mir-134	1772	277.057815	N
hsa-mir-1343	17	2.658004	N
hsa-mir-135a-1	22	3.439770	N
hsa-mir-135a-2	4	0.625413	N
hsa-mir-135b	351	54.879962	N
hsa-mir-136	279	43.622534	N
hsa-mir-137	4	0.625413	N
hsa-mir-138-1	11	1.719885	N
hsa-mir-138-2	10	1.563532	N
hsa-mir-139	413	64.573859	N
hsa-mir-140	6897	1078.367804	N
hsa-mir-141	15601	2439.265784	N
hsa-mir-142	29613	4630.086384	N
hsa-mir-143	266136	41611.206895	N
hsa-mir-144	1334	208.575127	N
hsa-mir-145	5473	855.720892	N
hsa-mir-1468	38	5.941420	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	980	153.226105	N
hsa-mir-146b	7864	1229.561318	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	4	0.625413	N
hsa-mir-148a	368085	57551.256087	N
hsa-mir-148b	2184	341.475320	N
hsa-mir-149	2252	352.107336	N
hsa-mir-150	13867	2168.149390	N
hsa-mir-151a	30557	4777.683775	N
hsa-mir-151b	10	1.563532	N
hsa-mir-152	2103	328.810714	N
hsa-mir-153-1	10	1.563532	N
hsa-mir-153-2	120	18.762380	N
hsa-mir-1537	1	0.156353	N
hsa-mir-1538	1	0.156353	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	54	8.443071	N
hsa-mir-155	2102	328.654361	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	840	131.336662	N
hsa-mir-15b	1686	263.611442	N
hsa-mir-16-1	1576	246.412594	N
hsa-mir-16-2	1738	271.741807	N
hsa-mir-17	17913	2800.754310	Y
hsa-mir-181a-1	23824	3724.957890	N
hsa-mir-181a-2	38412	6005.837915	N
hsa-mir-181b-1	7411	1158.733333	N
hsa-mir-181b-2	7049	1102.133486	N
hsa-mir-181c	2544	397.762461	N
hsa-mir-181d	646	101.004147	N
hsa-mir-182	128552	20099.512538	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	104533	16344.065780	N
hsa-mir-184	102	15.948023	N
hsa-mir-185	1221	190.907219	N
hsa-mir-186	2647	413.866837	N
hsa-mir-187	141	22.045797	N
hsa-mir-188	82	12.820960	N
hsa-mir-18a	1069	167.141537	Y
hsa-mir-18b	44	6.879539	Y
hsa-mir-1908	2	0.312706	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	41	6.410480	N
hsa-mir-190b	1	0.156353	N
hsa-mir-191	2221	347.260388	N
hsa-mir-1910	4	0.625413	N
hsa-mir-1911	12	1.876238	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.156353	N
hsa-mir-1914	3	0.469060	N
hsa-mir-1915	3	0.469060	N
hsa-mir-192	7515	1174.994062	Y
hsa-mir-193a	1917	299.729024	N
hsa-mir-193b	285	44.560653	N
hsa-mir-194-1	1184	185.122152	N
hsa-mir-194-2	1250	195.441461	N
hsa-mir-195	238	37.212054	N
hsa-mir-196a-1	2456	384.003382	N
hsa-mir-196a-2	2517	393.540926	N
hsa-mir-196b	17735	2772.923446	N
hsa-mir-197	5214	815.225421	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	149	23.296622	N
