miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	67625	9272.014230	N
hsa-let-7a-2	67695	9281.611878	Y
hsa-let-7a-3	68330	9368.676263	N
hsa-let-7b	177334	24314.134882	N
hsa-let-7c	6626	908.486008	Y
hsa-let-7d	4526	620.556546	N
hsa-let-7e	6083	834.035676	N
hsa-let-7f-1	19286	2644.289337	N
hsa-let-7f-2	20160	2764.122837	N
hsa-let-7g	2331	319.601703	N
hsa-let-7i	3796	520.466780	N
hsa-mir-100	40992	5620.383102	Y
hsa-mir-101-1	52525	7201.664287	N
hsa-mir-101-2	52822	7242.385740	N
hsa-mir-103a-1	56898	7801.243115	Y
hsa-mir-103a-2	56650	7767.240016	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	954	130.802241	N
hsa-mir-105-2	931	127.648728	N
hsa-mir-106a	62	8.500775	Y
hsa-mir-106b	3750	514.159754	N
hsa-mir-107	580	79.523375	Y
hsa-mir-10a	141090	19344.746583	N
hsa-mir-10b	61565	8441.132067	N
hsa-mir-1-1	9	1.233983	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	170	23.308576	N
hsa-mir-1181	2	0.274219	N
hsa-mir-1182	1	0.137109	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.137109	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	9	1.233983	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.411328	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.548437	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.685546	N
hsa-mir-1229	3	0.411328	N
hsa-mir-1231	1	0.137109	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.822656	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	2	0.274219	N
hsa-mir-1247	111	15.219129	N
hsa-mir-1248	22	3.016404	N
hsa-mir-1249	7	0.959765	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.274219	N
hsa-mir-1252	1	0.137109	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.274219	N
hsa-mir-1254-2	5	0.685546	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.274219	N
hsa-mir-125a	4245	582.028841	N
hsa-mir-125b-1	2305	316.036862	N
hsa-mir-125b-2	2329	319.327485	N
hsa-mir-126	9808	1344.767698	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.548437	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	17	2.330858	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	11905	1632.285832	N
hsa-mir-1269b	0	0.000000	N
