miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	76735	12438.131500	N
hsa-let-7a-2	77044	12488.217936	Y
hsa-let-7a-3	77248	12521.284709	N
hsa-let-7b	140368	22752.533296	N
hsa-let-7c	12143	1968.283454	Y
hsa-let-7d	2896	469.418503	N
hsa-let-7e	10415	1688.188435	N
hsa-let-7f-1	32164	5213.527876	N
hsa-let-7f-2	32592	5282.903263	N
hsa-let-7g	5618	910.632994	N
hsa-let-7i	4886	791.981632	N
hsa-mir-100	36825	5969.038802	Y
hsa-mir-101-1	63778	10337.905139	N
hsa-mir-101-2	64935	10525.445611	N
hsa-mir-103a-1	47781	7744.919023	Y
hsa-mir-103a-2	48464	7855.627876	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	485	78.614632	N
hsa-mir-105-2	502	81.370196	N
hsa-mir-106a	56	9.077153	Y
hsa-mir-106b	13621	2207.855466	N
hsa-mir-107	892	144.586086	Y
hsa-mir-10a	120255	19492.376407	N
hsa-mir-10b	24241	3929.272766	N
hsa-mir-1-1	33	5.349037	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.324184	N
hsa-mir-1180	218	35.336061	N
hsa-mir-1181	3	0.486276	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.324184	N
hsa-mir-1185-2	2	0.324184	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.162092	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	18	2.917656	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	0.810460	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	8	1.296736	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.486276	N
hsa-mir-1229	1	0.162092	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.162092	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.162092	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	1.296736	N
hsa-mir-1245b	1	0.162092	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	52	8.428785	N
hsa-mir-1248	2	0.324184	N
hsa-mir-1249	3	0.486276	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.162092	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.162092	N
hsa-mir-1254-2	4	0.648368	N
hsa-mir-1255a	3	0.486276	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.324184	N
hsa-mir-125a	3928	636.697472	N
hsa-mir-125b-1	1725	279.608742	N
hsa-mir-125b-2	1967	318.835012	N
hsa-mir-126	11557	1873.297527	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.324184	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	26	4.214393	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	6118	991.679006	N
hsa-mir-1269b	1064	172.465914	N
hsa-mir-127	6030	977.414908	N
hsa-mir-1270	1	0.162092	N
hsa-mir-1271	21	3.403933	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.162092	N
hsa-mir-1275	4	0.648368	N
hsa-mir-1276	2	0.324184	N
hsa-mir-1277	8	1.296736	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	1415	229.360215	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	1270	205.856871	N
hsa-mir-1283-1	3	0.486276	N
hsa-mir-1283-2	1	0.162092	N
hsa-mir-1284	3	0.486276	N
hsa-mir-1285-1	1	0.162092	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	229	37.119074	N
hsa-mir-1288	3	0.486276	N
hsa-mir-1289-1	1	0.162092	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.810460	N
hsa-mir-129-1	14	2.269288	N
hsa-mir-1292	2	0.324184	N
hsa-mir-129-2	12	1.945104	N
hsa-mir-1293	1	0.162092	N
hsa-mir-1294	1	0.162092	N
hsa-mir-1295a	31	5.024853	N
hsa-mir-1295b	2	0.324184	N
hsa-mir-1296	28	4.538577	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	105	17.019663	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
