miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	75411	9066.027601	N
hsa-let-7a-2	74882	9002.430399	N
hsa-let-7a-3	75583	9086.705708	N
hsa-let-7b	57963	6968.401929	N
hsa-let-7c	6259	752.466706	N
hsa-let-7d	2399	288.411508	N
hsa-let-7e	14354	1725.660185	N
hsa-let-7f-1	21910	2634.054246	N
hsa-let-7f-2	22090	2655.694126	N
hsa-let-7g	1945	233.830922	N
hsa-let-7i	2754	331.090159	N
hsa-mir-100	29640	3563.366858	N
hsa-mir-101-1	21020	2527.057063	N
hsa-mir-101-2	21260	2555.910236	N
hsa-mir-103a-1	121264	14578.546512	Y
hsa-mir-103a-2	121156	14565.562584	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	789	94.854806	N
hsa-mir-105-2	741	89.084171	N
hsa-mir-106a	65	7.814401	Y
hsa-mir-106b	5546	666.748738	N
hsa-mir-107	580	69.728501	Y
hsa-mir-10a	107945	12977.315635	N
hsa-mir-10b	34740	4176.496782	N
hsa-mir-1-1	34	4.087533	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	252	30.295832	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.240443	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	29	3.486425	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	298	35.826023	N
hsa-mir-1224	2	0.240443	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	17	2.043766	N
hsa-mir-1227	1	0.120222	N
hsa-mir-1228	17	2.043766	N
hsa-mir-1229	9	1.081994	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.120222	N
hsa-mir-1238	2	0.240443	N
hsa-mir-124-1	1	0.120222	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	1	0.120222	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	15	1.803323	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	64	7.694179	N
hsa-mir-1248	16	1.923545	N
hsa-mir-1249	28	3.366204	N
hsa-mir-1250	2	0.240443	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	12	1.442659	N
hsa-mir-1254-2	15	1.803323	N
hsa-mir-1255a	5	0.601108	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.120222	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.480886	N
hsa-mir-125a	3918	471.028048	N
hsa-mir-125b-1	1290	155.085805	N
hsa-mir-125b-2	1285	154.484697	N
hsa-mir-126	6804	817.987453	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	4	0.480886	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	15	1.803323	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.240443	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	541	65.039861	N
hsa-mir-1269b	672	80.788884	N
hsa-mir-127	4002	481.126659	N
hsa-mir-1270	12	1.442659	N
hsa-mir-1271	17	2.043766	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
