miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	31154	6423.856149	N
hsa-let-7a-2	30793	6349.419092	N
hsa-let-7a-3	30763	6343.233187	N
hsa-let-7b	47499	9794.143391	N
hsa-let-7c	12958	2671.898568	N
hsa-let-7d	2521	519.822217	N
hsa-let-7e	3709	764.784055	N
hsa-let-7f-1	12687	2616.019226	N
hsa-let-7f-2	13180	2717.674265	N
hsa-let-7g	1516	312.594399	N
hsa-let-7i	2755	568.072276	N
hsa-mir-100	7273	1499.669570	Y
hsa-mir-101-1	15252	3144.914104	N
hsa-mir-101-2	15334	3161.822244	N
hsa-mir-103a-1	89251	18403.273581	Y
hsa-mir-103a-2	90116	18581.633842	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	2	0.412394	N
hsa-mir-106a	210	43.301335	Y
hsa-mir-106b	3050	628.900342	N
hsa-mir-107	296	61.034263	Y
hsa-mir-10a	75765	15622.503085	N
hsa-mir-10b	51700	10660.376289	N
hsa-mir-1-1	9	1.855772	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	335	69.075939	N
hsa-mir-1181	2	0.412394	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.412394	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	7	1.443378	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.412394	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	12	2.474362	N
hsa-mir-1229	1	0.206197	N
hsa-mir-1231	1	0.206197	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	15	3.092953	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.206197	N
hsa-mir-1247	32	6.598299	N
hsa-mir-1248	49	10.103645	N
hsa-mir-1249	17	3.505346	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.618591	N
hsa-mir-1254-2	1	0.206197	N
hsa-mir-1255a	2	0.412394	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	2340	482.500590	N
hsa-mir-125b-1	1732	357.132916	N
hsa-mir-125b-2	2052	423.115902	N
hsa-mir-126	7169	1478.225099	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.824787	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.206197	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	314	64.745806	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	4266	879.635691	N
hsa-mir-1270	2	0.412394	N
hsa-mir-1271	19	3.917740	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.206197	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.206197	N
hsa-mir-1277	3	0.618591	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	372	76.705222	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	242	49.899634	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	4	0.824787	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	279	57.528917	N
hsa-mir-1288	3	0.618591	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.412394	N
hsa-mir-129-1	43	8.866464	N
hsa-mir-1292	5	1.030984	N
hsa-mir-129-2	39	8.041677	N
hsa-mir-1293	58	11.959416	N
hsa-mir-1294	2	0.412394	N
hsa-mir-1295a	7	1.443378	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	38	7.835480	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	157	32.372903	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.618591	N
hsa-mir-1305	2	0.412394	N
hsa-mir-1306	50	10.309842	N
hsa-mir-1307	10275	2118.672464	N
hsa-mir-130a	392	80.829159	N
hsa-mir-130b	394	81.241552	N
hsa-mir-132	493	101.655039	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	6	1.237181	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	8	1.649575	N
hsa-mir-133a-2	7	1.443378	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	1466	302.284558	N
hsa-mir-1343	3	0.618591	N
hsa-mir-135a-1	2	0.412394	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	185	38.146414	N
hsa-mir-136	229	47.219075	N
hsa-mir-137	28	5.773511	N
hsa-mir-138-1	58	11.959416	N
hsa-mir-138-2	50	10.309842	N
hsa-mir-139	40	8.247873	N
hsa-mir-140	3848	793.445415	N
hsa-mir-141	19118	3942.071062	N
hsa-mir-142	4352	897.368619	N
hsa-mir-143	240131	49514.251810	N
hsa-mir-144	628	129.491611	N
hsa-mir-145	9780	2016.605031	N
hsa-mir-1468	22	4.536330	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	354	72.993679	N
hsa-mir-146b	3527	727.256232	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.412394	N
hsa-mir-148a	38039	7843.521347	N
hsa-mir-148b	445	91.757591	N
hsa-mir-149	840	173.205340	N
hsa-mir-150	205	42.270351	N
hsa-mir-151a	12966	2673.548142	N
hsa-mir-151b	1	0.206197	N
hsa-mir-152	1787	368.473741	N
hsa-mir-153-1	1	0.206197	N
hsa-mir-153-2	34	7.010692	N
hsa-mir-1537	1	0.206197	N
hsa-mir-1538	1	0.206197	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	40	8.247873	N
hsa-mir-155	660	136.089910	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1052	216.919069	N
hsa-mir-15b	1387	285.995008	N
hsa-mir-16-1	948	195.474598	N
hsa-mir-16-2	961	198.155157	N
hsa-mir-17	12208	2517.250943	Y
hsa-mir-181a-1	5140	1059.851724	N
hsa-mir-181a-2	8687	1791.231892	N
hsa-mir-181b-1	701	144.543980	N
hsa-mir-181b-2	662	136.502304	N
hsa-mir-181c	376	77.530009	N
hsa-mir-181d	98	20.207290	N
hsa-mir-182	189083	38988.315856	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	112776	23254.054087	N
hsa-mir-184	5	1.030984	N
hsa-mir-185	551	113.614455	N
