miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	12293	5367.374588	N
hsa-let-7a-2	12301	5370.867552	N
hsa-let-7a-3	12362	5397.501396	N
hsa-let-7b	32854	14344.726652	N
hsa-let-7c	972	424.395030	N
hsa-let-7d	1270	554.507909	N
hsa-let-7e	1776	775.437832	N
hsa-let-7f-1	2951	1288.466803	N
hsa-let-7f-2	2941	1284.100599	N
hsa-let-7g	1684	735.268755	N
hsa-let-7i	1260	550.141705	N
hsa-mir-100	8497	3709.963547	N
hsa-mir-101-1	10977	4792.782141	N
hsa-mir-101-2	11062	4829.894875	N
hsa-mir-103a-1	7815	3412.188433	Y
hsa-mir-103a-2	7975	3482.047697	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	107	46.718383	N
hsa-mir-105-2	90	39.295836	N
hsa-mir-106a	173	75.535329	Y
hsa-mir-106b	811	354.099145	N
hsa-mir-107	116	50.647967	Y
hsa-mir-10a	46612	20351.750127	N
hsa-mir-10b	18277	7980.111067	N
hsa-mir-1-1	4	1.746482	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	13	5.676065	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	1.309861	N
hsa-mir-1185-2	4	1.746482	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	6	2.619722	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.436620	N
hsa-mir-1226	5	2.183102	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	2.619722	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	3.056343	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	65	28.380326	N
hsa-mir-1248	7	3.056343	N
hsa-mir-1249	3	1.309861	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	163	71.169125	N
hsa-mir-1252	1	0.436620	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.436620	N
hsa-mir-1254-2	1	0.436620	N
