miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	30006	7222.385496	N
hsa-let-7a-2	30081	7240.437849	Y
hsa-let-7a-3	30801	7413.740440	N
hsa-let-7b	30427	7323.719372	N
hsa-let-7c	14690	3535.854260	Y
hsa-let-7d	1314	316.277229	N
hsa-let-7e	11549	2779.821705	N
hsa-let-7f-1	20035	4822.385303	N
hsa-let-7f-2	19883	4785.799201	N
hsa-let-7g	2249	541.329900	N
hsa-let-7i	2335	562.029932	N
hsa-mir-100	15967	3843.225662	N
hsa-mir-101-1	11112	2674.636660	N
hsa-mir-101-2	11073	2665.249437	N
hsa-mir-103a-1	97307	23421.604527	Y
hsa-mir-103a-2	97819	23544.841925	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	701	168.729329	N
hsa-mir-105-2	709	170.654913	N
hsa-mir-106a	255	61.378001	Y
hsa-mir-106b	2648	637.368419	N
hsa-mir-107	370	89.058276	Y
hsa-mir-10a	58333	14040.638976	N
hsa-mir-10b	78562	18909.719700	N
hsa-mir-1-1	7	1.684886	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	122	29.365161	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	15	3.610471	N
hsa-mir-1185-2	3	0.722094	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	1.203490	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	11	2.647678	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.240698	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	9	2.166282	N
hsa-mir-1227	2	0.481396	N
hsa-mir-1228	4	0.962792	N
hsa-mir-1229	2	0.481396	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.240698	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.240698	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	2.406980	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.240698	N
hsa-mir-1247	2	0.481396	N
hsa-mir-1248	16	3.851169	N
hsa-mir-1249	7	1.684886	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.240698	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.481396	N
hsa-mir-1254-2	3	0.722094	N
hsa-mir-1255a	4	0.962792	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.240698	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	2595	624.611423	N
hsa-mir-125b-1	1903	458.048377	N
hsa-mir-125b-2	1950	469.361185	N
hsa-mir-126	8057	1939.304137	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	4	0.962792	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	2.647678	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	16	3.851169	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4396	1058.108600	N
hsa-mir-1269b	3	0.722094	N
hsa-mir-127	17446	4199.218068	N
hsa-mir-1270	2	0.481396	N
hsa-mir-1271	14	3.369773	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
