miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	107949	12429.846139	N
hsa-let-7a-2	107717	12403.132373	N
hsa-let-7a-3	108487	12491.794441	N
hsa-let-7b	249765	28759.326357	N
hsa-let-7c	12360	1423.198902	N
hsa-let-7d	9408	1083.289261	N
hsa-let-7e	16722	1925.463757	N
hsa-let-7f-1	37393	4305.637261	N
hsa-let-7f-2	37829	4355.840717	N
hsa-let-7g	5105	587.817993	N
hsa-let-7i	5058	582.406153	N
hsa-mir-100	39871	4590.967915	Y
hsa-mir-101-1	65143	7500.926058	N
hsa-mir-101-2	65436	7534.663702	N
hsa-mir-103a-1	80257	9241.235783	Y
hsa-mir-103a-2	80980	9324.486010	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	271	31.204442	N
hsa-mir-105-2	259	29.822695	N
hsa-mir-106a	129	14.853775	Y
hsa-mir-106b	15384	1771.399022	N
hsa-mir-107	885	101.903805	Y
hsa-mir-10a	197614	22754.371184	N
hsa-mir-10b	90891	10465.693480	N
hsa-mir-1-1	33	3.799803	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	250	28.786386	N
hsa-mir-1181	3	0.345437	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.115146	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	43	4.951258	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.230291	N
hsa-mir-1224	11	1.266601	N
hsa-mir-1225	1	0.115146	N
hsa-mir-1226	20	2.302911	N
hsa-mir-1227	1	0.115146	N
hsa-mir-1228	10	1.151455	N
hsa-mir-1229	16	1.842329	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.345437	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.115146	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	2	0.230291	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	1.266601	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.115146	N
hsa-mir-1247	451	51.930640	N
hsa-mir-1248	34	3.914948	N
hsa-mir-1249	24	2.763493	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.115146	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	14	1.612038	N
hsa-mir-1254-2	7	0.806019	N
hsa-mir-1255a	4	0.460582	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.115146	N
hsa-mir-1258	4	0.460582	N
hsa-mir-125a	8718	1003.838837	N
hsa-mir-125b-1	2255	259.653198	N
hsa-mir-125b-2	2346	270.131442	N
hsa-mir-126	41550	4784.297280	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	23	2.648347	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	366	42.143268	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	6564	755.815339	N
hsa-mir-1269b	1	0.115146	N
hsa-mir-127	4457	513.203682	N
hsa-mir-1270	9	1.036310	N
hsa-mir-1271	58	6.678441	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	7	0.806019	N
hsa-mir-1276	2	0.230291	N
hsa-mir-1277	35	4.030094	N
hsa-mir-1278	2	0.230291	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	1259	144.968238	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	995	114.569815	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.115146	N
hsa-mir-1284	2	0.230291	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.230291	N
hsa-mir-1287	558	64.251213	N
hsa-mir-1288	8	0.921164	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	11	1.266601	N
hsa-mir-129-1	8	0.921164	N
hsa-mir-1292	9	1.036310	N
hsa-mir-129-2	15	1.727183	N
hsa-mir-1293	31	3.569512	N
hsa-mir-1294	2	0.230291	N
hsa-mir-1295a	42	4.836113	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	76	8.751061	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	3	0.345437	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	288	33.161916	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.230291	N
hsa-mir-1305	1	0.115146	N
hsa-mir-1306	192	22.107944	N
hsa-mir-1307	20511	2361.750217	N
hsa-mir-130a	753	86.704593	N
hsa-mir-130b	272	31.319587	N
hsa-mir-132	851	97.988856	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	29	3.339221	Y
hsa-mir-133a-2	21	2.418056	Y
hsa-mir-133b	9	1.036310	Y
hsa-mir-134	3173	365.356806	N
hsa-mir-1343	47	5.411840	N
hsa-mir-135a-1	2	0.230291	N
hsa-mir-135a-2	2	0.230291	N
hsa-mir-135b	366	42.143268	N
hsa-mir-136	191	21.992799	N
hsa-mir-137	3	0.345437	N
hsa-mir-138-1	21	2.418056	N
hsa-mir-138-2	17	1.957474	N
hsa-mir-139	143	16.465813	N
hsa-mir-140	5518	635.373102	N
hsa-mir-141	39516	4550.091247	N
hsa-mir-142	37076	4269.136124	N
hsa-mir-143	453703	52241.877950	N
hsa-mir-144	1764	203.116737	N
hsa-mir-145	16462	1895.525916	N
hsa-mir-1468	29	3.339221	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1187	136.677759	N
hsa-mir-146b	6786	781.377650	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	12	1.381747	N
hsa-mir-148a	638157	73480.933798	N
hsa-mir-148b	1968	226.606427	N
hsa-mir-149	4615	531.396677	N
hsa-mir-150	5685	654.602408	N
hsa-mir-151a	47733	5496.242168	N
hsa-mir-151b	25	2.878639	N
hsa-mir-152	5254	604.974679	N
hsa-mir-153-1	3	0.345437	N
hsa-mir-153-2	60	6.908733	N
hsa-mir-1537	2	0.230291	N
hsa-mir-1538	5	0.575728	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	42	4.836113	N
hsa-mir-155	4089	470.830122	N
hsa-mir-1587	0	0.000000	N
