miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	38009	6780.869915	N
hsa-let-7a-2	37753	6735.199082	N
hsa-let-7a-3	38258	6825.291937	N
hsa-let-7b	89918	16041.523351	N
hsa-let-7c	17087	3048.349713	N
hsa-let-7d	6850	1222.051591	N
hsa-let-7e	6807	1214.380318	N
hsa-let-7f-1	15462	2758.446963	N
hsa-let-7f-2	15656	2793.056892	N
hsa-let-7g	4795	855.436114	N
hsa-let-7i	4069	725.916485	N
hsa-mir-100	38100	6797.104469	Y
hsa-mir-101-1	30146	5378.097410	N
hsa-mir-101-2	30216	5390.585529	N
hsa-mir-103a-1	61440	10960.999963	Y
hsa-mir-103a-2	61891	11041.459126	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	143	25.511442	N
hsa-mir-105-2	146	26.046647	N
hsa-mir-106a	135	24.084228	Y
hsa-mir-106b	9645	1720.684320	N
hsa-mir-107	637	113.641878	Y
hsa-mir-10a	212395	37891.627395	N
hsa-mir-10b	43489	7758.511188	N
hsa-mir-1-1	97	17.304964	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.356803	N
hsa-mir-1180	339	60.478174	N
hsa-mir-1181	3	0.535205	N
hsa-mir-1182	1	0.178402	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	100	17.840169	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	1	0.178402	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	115	20.516195	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	16	2.854427	N
hsa-mir-1227	1	0.178402	N
hsa-mir-1228	11	1.962419	N
hsa-mir-1229	5	0.892008	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.178402	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.535205	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	196	34.966732	N
hsa-mir-1248	74	13.201725	N
hsa-mir-1249	32	5.708854	N
hsa-mir-1250	11	1.962419	N
hsa-mir-1251	2	0.356803	N
hsa-mir-1252	2	0.356803	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	1.070410	N
hsa-mir-1254-2	4	0.713607	N
hsa-mir-1255a	8	1.427214	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.356803	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.356803	N
hsa-mir-125a	7337	1308.933215	N
hsa-mir-125b-1	4930	879.520342	N
hsa-mir-125b-2	5415	966.045163	N
hsa-mir-126	56071	10003.161278	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	5	0.892008	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.178402	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	322	57.445345	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	9	1.605615	N
hsa-mir-1269b	1	0.178402	N
hsa-mir-127	2617	466.877228	N
hsa-mir-1270	41	7.314469	N
hsa-mir-1271	30	5.352051	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	7	1.248812	N
hsa-mir-1276	1	0.178402	N
hsa-mir-1277	8	1.427214	N
hsa-mir-1278	1	0.178402	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	1093	194.993049	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	875	156.101481	N
hsa-mir-1283-1	3	0.535205	N
hsa-mir-1283-2	5	0.892008	N
hsa-mir-1284	4	0.713607	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	7	1.248812	N
hsa-mir-1287	340	60.656575	N
hsa-mir-1288	1	0.178402	N
hsa-mir-1289-1	1	0.178402	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	21	3.746436	N
hsa-mir-129-1	16	2.854427	N
hsa-mir-1292	6	1.070410	N
hsa-mir-129-2	12	2.140820	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.356803	N
hsa-mir-1295a	60	10.704102	N
hsa-mir-1295b	73	13.023324	N
hsa-mir-1296	95	16.948161	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	631	112.571468	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.178402	N
hsa-mir-1304	12	2.140820	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	261	46.562842	N
hsa-mir-1307	8984	1602.760802	N
hsa-mir-130a	1342	239.415071	N
hsa-mir-130b	465	82.956787	N
hsa-mir-132	575	102.580973	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	113	20.159391	Y
hsa-mir-133a-2	69	12.309717	Y
hsa-mir-133b	37	6.600863	Y
hsa-mir-134	965	172.157633	N
hsa-mir-1343	62	11.060905	N
hsa-mir-135a-1	2	0.356803	N
hsa-mir-135a-2	5	0.892008	N
hsa-mir-135b	38	6.779264	N
hsa-mir-136	77	13.736930	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	115	20.516195	N
hsa-mir-138-2	48	8.563281	N
hsa-mir-139	272	48.525260	N
hsa-mir-140	6616	1180.305595	N
hsa-mir-141	22901	4085.577151	N
hsa-mir-142	26523	4731.748080	N
hsa-mir-143	403322	71953.327263	N
hsa-mir-144	896	159.847916	N
hsa-mir-145	36174	6453.502810	N
hsa-mir-1468	59	10.525700	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	973	173.584846	N
hsa-mir-146b	6304	1124.644267	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	46	8.206478	N
hsa-mir-148a	266904	47616.125229	N
hsa-mir-148b	977	174.298453	N
hsa-mir-149	3224	575.167055	N
hsa-mir-150	14109	2517.069474	N
hsa-mir-151a	14451	2578.082853	N
hsa-mir-151b	16	2.854427	N
hsa-mir-152	1462	260.823274	N
hsa-mir-153-1	7	1.248812	N
hsa-mir-153-2	80	14.272135	N
hsa-mir-1537	2	0.356803	N
hsa-mir-1538	1	0.178402	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	15	2.676025	N
hsa-mir-155	4353	776.582566	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	796	142.007747	N
hsa-mir-15b	2381	424.774429	N
hsa-mir-16-1	2520	449.572264	N
hsa-mir-16-2	2741	488.999038	N
hsa-mir-17	3622	646.170929	Y
hsa-mir-181a-1	5506	982.279717	N
hsa-mir-181a-2	13298	2372.385702	N
hsa-mir-181b-1	1165	207.837971	N
hsa-mir-181b-2	1147	204.626741	N
hsa-mir-181c	546	97.407324	N
hsa-mir-181d	111	19.802588	N
hsa-mir-182	240048	42824.969386	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	152521	27210.004481	N
hsa-mir-184	116	20.694596	N
hsa-mir-185	800	142.721354	N
hsa-mir-186	2552	455.281118	N
hsa-mir-187	669	119.350732	N
hsa-mir-188	33	5.887256	N
hsa-mir-18a	194	34.609928	Y
hsa-mir-18b	19	3.389632	Y
hsa-mir-1908	8	1.427214	N
hsa-mir-1909	1	0.178402	N
hsa-mir-190a	13	2.319222	N
hsa-mir-190b	5	0.892008	N
hsa-mir-191	5995	1069.518144	N
hsa-mir-1910	12	2.140820	N
hsa-mir-1911	9	1.605615	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.178402	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1841	328.437515	Y
hsa-mir-193a	1215	216.758056	N
hsa-mir-193b	3410	608.349770	N
hsa-mir-194-1	303	54.055713	N
hsa-mir-194-2	310	55.304525	N
hsa-mir-195	459	81.886377	N
hsa-mir-196a-1	27	4.816846	N
hsa-mir-196a-2	31	5.530452	N
hsa-mir-196b	536	95.623307	N
hsa-mir-197	9978	1780.092084	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	97	17.304964	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	6569	1171.920715	Y
hsa-mir-199a-2	10980	1958.850579	Y
hsa-mir-199b	13753	2453.558472	Y
hsa-mir-19a	98	17.483366	N
hsa-mir-19b-1	374	66.722233	N
hsa-mir-19b-2	257	45.849235	N
hsa-mir-200a	8582	1531.043322	N
hsa-mir-200b	4850	865.248207	N
hsa-mir-200c	145732	25998.835394	N
hsa-mir-202	1	0.178402	N
hsa-mir-203a	63813	11384.347178	N
hsa-mir-203b	973	173.584846	N
hsa-mir-204	51	9.098486	N
hsa-mir-205	148957	26574.180851	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	1261	224.964534	N
hsa-mir-20b	285	50.844482	N
hsa-mir-21	1280668	228473.338224	N
hsa-mir-210	10596	1890.344330	N
hsa-mir-211	2	0.356803	N
hsa-mir-2110	38	6.779264	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	7	1.248812	N
hsa-mir-2115	5	0.892008	N
hsa-mir-2116	29	5.173649	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	76	13.558529	N
hsa-mir-214	339	60.478174	N
hsa-mir-215	16	2.854427	Y
hsa-mir-216a	11	1.962419	N
hsa-mir-216b	3	0.535205	N
hsa-mir-217	315	56.196533	N
hsa-mir-218-1	228	40.675586	N
hsa-mir-218-2	247	44.065218	N
hsa-mir-219a-1	20	3.568034	N
hsa-mir-219a-2	3	0.535205	N
hsa-mir-219b	8	1.427214	N
hsa-mir-22	493174	87983.076102	N
hsa-mir-221	2492	444.577017	N
hsa-mir-222	981	175.012060	N
hsa-mir-223	2652	473.121287	N
hsa-mir-224	4974	887.370017	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	31	5.530452	N
hsa-mir-2278	3	0.535205	N
hsa-mir-2355	1923	343.066454	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	20788	3708.614375	Y
hsa-mir-23b	9552	1704.092963	Y
hsa-mir-23c	8	1.427214	N
hsa-mir-24-1	11231	2003.629404	N
hsa-mir-24-2	11411	2035.741709	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	110970	19797.235773	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	10923	1948.681683	N
hsa-mir-26a-2	11104	1980.972389	N
hsa-mir-26b	11719	2090.689430	N
hsa-mir-27a	13121	2340.808602	Y
hsa-mir-27b	17634	3145.935439	Y
hsa-mir-28	46655	8323.330945	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	307	54.769319	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	10	1.784017	N
hsa-mir-29a	89874	16033.673676	N
hsa-mir-29b-1	4309	768.732891	Y
hsa-mir-29b-2	4655	830.459877	Y
hsa-mir-29c	47147	8411.104578	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	195	34.788330	N
hsa-mir-301b	23	4.103239	N
hsa-mir-302a	1	0.178402	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	8	1.427214	N
hsa-mir-3065	1265	225.678141	N
hsa-mir-3074	39	6.957666	N
hsa-mir-30a	138608	24727.901739	Y
hsa-mir-30b	4430	790.319496	Y
hsa-mir-30c-1	2465	439.760171	Y
hsa-mir-30c-2	2713	484.003791	Y
hsa-mir-30d	35397	6314.884695	N
hsa-mir-30e	108223	19307.166325	Y
hsa-mir-31	11	1.962419	N
hsa-mir-3115	1	0.178402	N
hsa-mir-3116-1	1	0.178402	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
